Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback	Tags
uccāsayanamahāsayana	s	nt	comp						large and luxurious beds					uccā + sayana + mahā + sayana	uccā + śayana + mahāśayana			(MNa) <b>uccāsayanaṃ</b> vuccati pamāṇātikkantaṃ. <b>mahāsayanaṃ</b> akappiyattharaṇaṃ. tato paṭivirato'ti attho.					MN 51	kandarakasuttaṃ	<b>uccāsayanamahāsayanā</b> paṭivirato hoti, jātarūpa-rajata-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	uccāsayanamahāsayan	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uccāsayanamahāsayana"">feedback</a>"	Anupubba-sikkhā
uddhacca	ps	nt	abstr, ger	uddharati					agitation; restlessness; distraction; excitement; lit. raised up			√dhar 1 a (to hold, carry, endure)		ud + √dhar + tya	auddhatya	√dhṛ			(CPD) √han<br/>(PED) √dhar	DN 33.8	saṅgītisuttaṃ	“pañca oram’bhāgiyāni saññojanāni — sakkāyadiṭṭhi, vicikicchā, sīlabbataparāmāso, kāmacchando, byāpādo. “pañca uddham’bhāgiyāni saññojanāni — rūparāgo, arūparāgo, māno, <b>uddhaccaṃ</b>, avijjā. 	MN 107	gaṇakamoggallānasuttaṃ	<b>uddhacca</b>-kukkuccaṃ pahāya anuddhato viharati ajjhattaṃ vūpasantacitto, <b>uddhacca</b>-kukkuccā cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	uddhacc	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uddhacca"">feedback</a>"	Anupubba-sikkhā
uddhaccakukkucca	ps	nt	comp						agitation and uneasiness; distraction and worry					uddhacca + kukkucca	auddhatya + ku + utsuka					AN 1.11-20	nīvaraṇappahāna vaggo	avūpasanta-cittassa, bhikkhave, anuppannañ’c’eva <b>uddhaccakukkuccaṃ</b> uppajjati uppannañ’ca <b>uddhaccakukkuccaṃ</b> bhiyyo-bhāvāya vepullāya saṃvattati	MN 107	gaṇakamoggallānasuttaṃ	<b>uddhaccakukkuccaṃ</b> pahāya anuddhato viharati ajjhattaṃ vūpasantacitto, <b>uddhaccakukkuccā</b> cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	uddhaccakukkucc	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uddhaccakukkucca"">feedback</a>"	Anupubba-sikkhā
ukkoṭana	s	nt	act	ukkoṭeti					taking bribes; bribery; corruption; crooked dealing			√kuṭ 1 a (to be crooked, bent)		ud + √kuṭ > koṭ + *ana	utkocaka	√kuṭ							MN 51	kandarakasuttaṃ	<b>ukkoṭana</b>-vañcana-nikati-sāciyogā paṭivirato hoti, chedana-vadha-bandhana-viparāmosa-ālopa-sahasākārā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	ukkoṭan	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ukkoṭana"">feedback</a>"	Anupubba-sikkhā
vicikicchā	ps	fem		vicikicchati		desid			doubt; uncertainty			√cit 8 *e (to think, intend)	√cit + cit + cha > cikiccha (desid)	vi + cikiccha + ā	vicikitsā	√cit				AN 1.11-20	nīvaraṇappahāna vaggo	ayoniso, bhikkhave, manasi karoto anuppannā c’eva <b>vicikicchā</b> uppajjati uppannā ca vicikicchā bhiyyo-bhāvāya vepullāya saṃvattati	MN 107	gaṇakamoggallānasuttaṃ	<b>vicikicchaṃ</b> pahāya tiṇṇavicikiccho viharati akathaṃkathī kusalesu dhammesu, <b>vicikicchāya</b> cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	vicikicch	ā fem	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vicikicchā"">feedback</a>"	Anupubba-sikkhā
vimutta	ps	pp		vimuccati					freed; liberated; emancipated			√muc 2 ṃa (to release, free)		vi + √muc + ta	vimukta	√muc				SN 47.10	bhikkhunupassayasuttaṃ	atha pacchāpure ‘asaṃkhittaṃ <b>vimuttaṃ</b> appaṇihitan’ti pajānāti. atha ca pana ‘kāye kāy’ānupassī viharāmi ātāpī sampajāno satimā sukham’asmī’ti pajānāti.	MN 39	mahāassapurasuttaṃ	<b>vimuttasmiṃ</b> <b>vimuttam</b>’iti ñāṇaṃ hoti — ‘khīṇā jāti, vusitaṃ brahmacariyaṃ, kataṃ karaṇīyaṃ, n’āparaṃ itthattāyā’ti pajānāti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	vimutt	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vimutta"">feedback</a>"	Anupubba-sikkhā
yannūnāhaṃ	s	sandhi	pron + ind + pron						what if I; maybe I should; let me					yaṃ + nūna + ahaṃ	yad + nūnam + aham		yaṃnūnāhaṃ						MN 27	cūḷahatthipadopamasuttaṃ	<b>yan’nūn’āhaṃ</b> kesamassuṃ ohāretvā kāsāyāni vatthāni acchādetvā agārasmā anagāriyaṃ pabbajeyyan’ti.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!	ya nūna ahaṃ	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yannūnāhaṃ"">feedback</a>"	Anupubba-sikkhā
yatvādhikaraṇamenaṃ	s	sandhi	adv + nt + pron						on account of which this; lit. from which reason this					yato + adhikaraṇaṃ + enaṃ	yataḥ + adhikaraṇa + enam								MN 107	gaṇakamoggallānasuttaṃ	<b>yatv’ādhikaraṇam’enaṃ</b> cakkhu’ndriyaṃ asaṃvutaṃ viharantaṃ abhijjhādomanassā pāpakā akusalā dhammā anvāssaveyyuṃ, tassa saṃvarāya paṭipajjāhi;	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!	yato adhikaraṇa ena	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yatvādhikaraṇamenaṃ"">feedback</a>"	Anupubba-sikkhā
āmaka 1	s	adj		āma					raw; uncooked					āma + ka	āmaka								MN 51	kandarakasuttaṃ	<b>āmaka</b>-dhañña-paṭiggahaṇā paṭivirato hoti <b>āmaka</b>-maṃsa-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	āmak	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āmaka 1"">feedback</a>"	Anupubba-sikkhā
āmakadhañña	s	nt	comp						raw grain					āmaka + dhañña	āmaka + dhānya								MN 51	kandarakasuttaṃ	<b>āmakadhañña</b>-paṭiggahaṇā paṭivirato hoti āmakamaṃsa-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	āmakadhaññ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āmakadhañña"">feedback</a>"	Anupubba-sikkhā
āmakamaṃsa	s	nt	comp						raw meat					āmaka + maṃsa	āmaka + māṃsa								MN 51	kandarakasuttaṃ	<b>āmakadhañña</b>-paṭiggahaṇā paṭivirato hoti āmakamaṃsa-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	āmakamaṃs	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āmakamaṃsa"">feedback</a>"	Anupubba-sikkhā
āmakadhaññapaṭiggahaṇa	s	nt	act, comp						accepting uncooked grain					āmaka + dhañña + paṭiggahaṇa	āmaka + dhānya + pratigrahaṇa			(MNa) <b>āmakadhaññapaṭiggahaṇā</b>'ti sālivīhiyavagodhūmakaṅguvarakakudrūsakasaṅkhātassa sattavidhassā'pi āmakadhaññassa paṭiggahaṇā. na kevalañ'ca etesaṃ paṭiggahaṇam'eva, āmasanam'pi bhikkhūnaṃ na vaṭṭati'y'eva.					MN 51	kandarakasuttaṃ	<b>āmakadhaññapaṭiggahaṇā</b> paṭivirato hoti āmakamaṃsa-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	āmakadhaññapaṭiggahaṇ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āmakadhaññapaṭiggahaṇa"">feedback</a>"	Anupubba-sikkhā
brahmacārī 2	ps	masc	agent, comp	brahma + carati					celibate person; one living the holy life			√brah & √car		brahma + cārī						SN 35.241	paṭhamadārukkhandhopamasuttaṃ	idha ekacco dussīlo hoti pāpadhammo asuci-saṅkassara-samācāro paṭicchannakammanto assamaṇo samaṇapaṭiñño abrahmacārī <b>brahmacāri</b>-paṭiñño antopūti avassuto kasambujāto – ‘antopūti-bhāvo’ti.	MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya <b>brahmacārī</b> hoti ārācārī virato methunā gāmadhammā.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	brahmacār	ī masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=brahmacārī 2"">feedback</a>"	Anupubba-sikkhā
ārā 1	ps	ind	adv, abl sg	āra				+abl	far away from			√ar 1 a (to move, attain)		ā + √ar + a + ā	ārāt	√ṛ				SN 35.95	mālukyaputtasuttaṃ	tassa vaḍḍhanti vedanā, anekā rūpa-sambhavā.<br/>abhijjhā ca vihesā ca, cittam’ass’ūpahaññati. <br/>evaṃ ācinato dukkhaṃ, <b>ārā</b> nibbānam’uccati.	MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya brahmacārī hoti <b>ārā</b>-cārī virato methunā gāmadhammā.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ārā 1"">feedback</a>"	Anupubba-sikkhā
ārācārī	s	adj	comp					+abl	living remote; staying well away (from)			& √car		ārā + cārī									MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya brahmacārī hoti <b>ārācārī</b> virato methunā gāmadhammā.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	ārācār	ī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ārācārī"">feedback</a>"	Anupubba-sikkhā
cārī	ps	adj	in comps	carati					living; acting; practising; conducting oneself; behaving; lit. walking			√car 1 a (to move, walk)		√car + *ī	cārin	√car				DHP 240	malavaggo	ayasā’va malaṃ samuṭṭhitaṃ, tat’uṭṭhāya tam’eva khādati. <br/>evaṃ ati-dhona-<b>cārinaṃ</b>, sāni kammāni nayanti duggatiṃ.	MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya brahmacārī hoti ārā-<b>cārī</b> virato methunā gāmadhammā.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	cār	ī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=cārī"">feedback</a>"	Anupubba-sikkhā
virata	ss	pp		viramati				+abl	stopped; abstained (from); given up; desisted (from)			√ram 1 a (to stop, abstain)		vi + √ram + ta	virata	√ram							MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya brahmacārī hoti ārācārī <b>virato</b> methunā gāmadhammā.	Anupubba-sikkhā	The Gradual Training	Teachings	MN 51	kandarakasuttaṃ	so bījagāma-bhūtagāma-samārambhā paṭivirato hoti, ekabhattiko hoti ratt’ūparato <b>virato</b> vikālabhojanā	Anupubba-sikkhā	The Gradual Training	Teachings	18n	virat	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=virata"">feedback</a>"	Anupubba-sikkhā Anupubba-sikkhā
methuna 2	ps	nt		mithuna					sexual intercourse; sexual activity			√mith 1 a (to pair)		√mith + *una	maithuna	√mith				SNP 45	tissametteyyasuttaṃ<br/>aṭṭhakavaggo 7	eko pubbe caritvāna, <b>methunaṃ</b> yo nisevati, <br/>yānaṃ bhantaṃ va taṃ loke, hīnam’āhu puthujjanaṃ.	MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya brahmacārī hoti ārācārī virato <b>methunā</b> gāmadhammā.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	methun	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=methuna 2"">feedback</a>"	Anupubba-sikkhā
gāma 3	s	adj							vulgar; vile; primitive; lit. of the village					gāma + a	grāma								MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya brahmacārī hoti ārācārī virato methunā <b>gāma</b>-dhammā.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	gām	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=gāma 3"">feedback</a>"	Anupubba-sikkhā
gāmadhamma	s	masc	comp, derog						vulgar practice; vile conduct					gāma + dhamma									MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya brahmacārī hoti ārācārī virato methunā <b>gāmadhammā</b>.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	gāmadhamm	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=gāmadhamma"">feedback</a>"	Anupubba-sikkhā
dhamma 4	ps	masc		dharati					act; practice; behaviour			√dhar 1 a (to hold, carry, endure)		√dhar + ma	dharma	√dhṛ				DHP 248	malavaggo	evaṃ bho purisa jānāhi, pāpa-<b>dhammā</b> asaññatā. <br/>mā taṃ lobho adhammo ca, ciraṃ dukkhāya randhayuṃ.	MN 51	kandarakasuttaṃ	abrahmacariyaṃ pahāya brahmacārī hoti ārācārī virato methunā gāma-<b>dhammā</b>.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	dhamm	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dhamma 4"">feedback</a>"	Anupubba-sikkhā
dinnādāyī	s	adj	comp						taking (only) what is given					dinna + ādāyī									MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti <b>dinn’ādāyī</b> dinnapāṭikaṅkhī, athenena sucibhūtena attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	dinnādāy	ī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dinnādāyī"">feedback</a>"	Anupubba-sikkhā
ādāyī	s	masc	agent	ādāti					taker; who takes; who grasps			√ādā 3 ya (to take, seize)		√ādā + [y] + ī	ādāyin	ā√dā							MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’<b>ādāyī</b> dinnapāṭikaṅkhī, athenena sucibhūtena attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	ādāy	ī masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ādāyī"">feedback</a>"	Anupubba-sikkhā
dinnapāṭikaṅkhī	s	adj	comp						expecting (only) what is offered; wanting (only) what is offered					dinna + pāṭikaṅkhī	datta + pratikāṅkṣin	dinnapāṭikankhī							MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’ādāyī <b>dinnapāṭikaṅkhī</b>, athenena sucibhūtena attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	dinnapāṭikaṅkh	ī adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dinnapāṭikaṅkhī"">feedback</a>"	Anupubba-sikkhā
pāṭikaṅkhī	ps	masc	agent	paṭikaṅkhati					who is certain for; expected; anticipated; wishing			√kakh 2 ṃa (to wish for)	√kakh + ṃa > kaṅkha	pati + kaṅkha + ī	pratyākāṅkṣ	√kāṅkṣ				MN 4	bhayabheravasuttaṃ	‘kiṃ nu kho ahaṃ añña'd'atthu bhaya-<b>paṭikaṅkhī</b> viharāmi? yaṃnūn’āhaṃ yathābhūtaṃ yathābhūtassa me taṃ bhayabheravaṃ āgacchati, tathābhūtaṃ tathābhūtova taṃ bhayabheravaṃ paṭivineyyan’ti	MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’ādāyī dinna-<b>pāṭikaṅkhī</b>, athenena sucibhūtena attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	pāṭikaṅkh	ī masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāṭikaṅkhī"">feedback</a>"	Anupubba-sikkhā
athena	s	adj			neg				not stealing			√then 8 *e (to steal)		na + √then + a	na + stena, na + styena	√stena							MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’ādāyī dinnapāṭikaṅkhī, <b>athenena</b> sucibhūtena attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	athen	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=athena"">feedback</a>"	Anupubba-sikkhā
sucibhūta	s	adj	comp						pure; clean; lit. become pure					suci + bhūta	śucībhūta			(MNa) athenattā'y'eva <b>sucibhūtena</b>					MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’ādāyī dinnapāṭikaṅkhī, athenena <b>sucibhūtena</b> attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	sucibhūt	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sucibhūta"">feedback</a>"	Anupubba-sikkhā
attanā	ps	masc	instr sg, atta group	atta					with oneself; by self			√as 1 a (to be)		atta + anā	ātmanā	√as				DHP 66	bālavaggo	caranti bālā dummedhā, amitten'eva <b>attanā</b>,<br/>karontā pāpakaṃ kammaṃ, yaṃ hoti kaṭukapphalaṃ.	MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti dinn’ādāyī dinnapāṭikaṅkhī, athenena sucibhūtena <b>attanā</b> viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	!att	a2 masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=attanā"">feedback</a>"	Anupubba-sikkhā
dinna 1	ps	pp		dadāti, deti					given; offered			√dā 1 a (to give)		√dā > dī + na	dinna	√dā				MN 41	sāleyyakasuttaṃ	sammādiṭṭhiko kho pana hoti aviparīta-dassano — ‘atthi <b>dinnaṃ</b> atthi yiṭṭhaṃ atthi hutaṃ, atthi sukata-dukkaṭānaṃ kammānaṃ phalaṃ vipāko, atthi ayaṃ loko atthi paro loko, atthi mātā atthi pitā, …	MN 51	kandarakasuttaṃ	adinn’ādānaṃ pahāya adinn’ādānā paṭivirato hoti<b> dinn’</b>ādāyī <b>dinna-</b>pāṭikaṅkhī, athenena sucibhūtena attanā viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	dinn	a pp	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dinna 1"">feedback</a>"	Anupubba-sikkhā
eḷaka	ps	masc		eḷa					ram; wild goat; sheep						eḍaka					VIN PAT NP 12	suddhakāḷaka sikkhāpada	yo pana bhikkhu suddhakāḷakānaṃ <b>eḷaka</b>-lomānaṃ santhataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ.	MN 51	kandarakasuttaṃ	aj’<b>eḷaka</b>-paṭiggahaṇā paṭivirato hoti, kukkuṭasūkara-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	eḷak	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=eḷaka"">feedback</a>"	Anupubba-sikkhā
kukkuṭa	ps	masc							cock; chicken						kurkuṭa					AN 2.9	cariyasuttaṃ	ime kho hirī ca ottappañca lokaṃ na pāleyyuṃ, sambhedaṃ loko agamissa, yathā aj’eḷakā <b>kukkuṭa</b>-sūkarā soṇa-siṅgālā.	MN 51	kandarakasuttaṃ	aj’eḷaka-paṭiggahaṇā paṭivirato hoti, <b>kukkuṭa</b>-sūkara-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	kukkuṭ	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kukkuṭa"">feedback</a>"	Anupubba-sikkhā
kukkuṭasūkarā	s	masc	pl, comp						chickens and pigs					kukkuṭa + sūkara + ā	kurkuṭa + sūkara								MN 51	kandarakasuttaṃ	aj’eḷaka-paṭiggahaṇā paṭivirato hoti, <b>kukkuṭasūkara</b>-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	kukkuṭasūkar	a masc pl	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kukkuṭasūkarā"">feedback</a>"	Anupubba-sikkhā
sū	s	ind	onom						oink; squeal; sound of a pig						sū				folk etymology of pig – sūkara, making the sū sound				MN 51	kandarakasuttaṃ	aj’eḷaka-paṭiggahaṇā paṭivirato hoti, kukkuṭa-<b>sū</b>-kara-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	-		99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sū"">feedback</a>"	Anupubba-sikkhā
sūkara	ps	masc	comp						pig; lit. making the sound sū			& √kar		sū + kara	sūkara					AN 2.9	cariyasuttaṃ	ime kho hirī ca ottappañca lokaṃ na pāleyyuṃ, sambhedaṃ loko agamissa, yathā aj’eḷakā kukkuṭa-<b>sūkarā</b> soṇa-siṅgālā.	MN 51	kandarakasuttaṃ	aj’eḷaka-paṭiggahaṇā paṭivirato hoti, kukkuṭa-<b>sūkara</b>-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	sūkar	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sūkara"">feedback</a>"	Anupubba-sikkhā
pīta 2	s	nt	act, pp	pivati					drinking; sipping			√pā 1 a (to drink)		√pā > pī + ta	pīta	√pā							MN 107	gaṇakamoggallānasuttaṃ	asite <b>pīte</b> khāyite sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	pīt	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pīta 2"">feedback</a>"	Anupubba-sikkhā
khāyita 2	s	nt	act, pp	khādati					eating; chewing			√khād 1 a (to chew)		√khād + ita	khādita	√khād							MN 107	gaṇakamoggallānasuttaṃ	asite pīte <b>khāyite</b> sāyite sampajānakārī, uccārapassāvakamme sampajānakārī, gate ṭhite nisinne sutte jāgarite bhāsite tuṇhībhāve sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	khāyit	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=khāyita 2"">feedback</a>"	Anupubba-sikkhā
