Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
uddisati 2	p	pr					trans	+acc	points out; names as			√dis 1 a (to point out, explain)	√dis + a > disa	ud + disa + ti	uddiśati	√diś		(DHPa) kam'uddiseyyan'ti, ayaṃ me upajjhāyo vā ācariyo vā'ti kaṃ nāma uddiseyyan'ti.		DHP 353	taṇhāvaggo	sabb'ābhibhū sabbavidū'ham'asmi, sabbesu dhammesu anūpalitto,<br/>sabbañ'jaho taṇhakkhaye vimutto, sayaṃ abhiññāya kam'<b>uddiseyyaṃ</b>.														uddis	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uddisati 2"">feedback</a>"
uddhaṃsota	p	adj	comp						flowing upstream; going against the flow					uddhaṃ + sota	ūrdhvasrotaḥ (bsk)			(DHPa) uddhaṃsoto'ti evarūpo bhikkhu avihesu nibbattitvā tato paṭṭhāya paṭisandhivasena akaniṭṭhaṃ gacchanto uddhaṃsoto'ti vuccati, tādiso vo upajjhāyo'ti attho.		DHP 218	piyavaggo	chandajāto anakkhāte, manasā ca phuṭo siyā,<br/>kāmesu ca appaṭibaddhacitto, <b>uddhaṃsoto</b>'ti vuccati.														uddhaṃsot	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uddhaṃsota"">feedback</a>"
unnaḷa	p	adj	pp	unnamati					haughty; arrogant; conceited; proud; lit. bent up			√nam 1 a (to bend)		ud + √nam + na	unnata	√nam	unnala	(THa) unnaḷassā'ti uggatatucchamānassa.		DHP 292	pakiṇṇakavaggo	yañ'hi kiccaṃ apaviddhaṃ, akiccaṃ pana kayirati,<br/><b>unnaḷānaṃ</b> pamattānaṃ, tesaṃ vaḍḍhanti āsavā.														unnaḷ	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=unnaḷa"">feedback</a>"
upaga 1	p	adj	in comps	upagacchati					experiencing; living in; undergoing; having; with; lit. going towards			√gam 1 a (to go)		upa + √gam + a	upaga	√gam			normally ūpaga in comps	DHP 341	taṇhāvaggo	saritāni sinehitāni ca, somanassāni bhavanti jantuno,<br/>te sātasitā sukh'esino, te ve jātijar'<b>ūpagā</b> narā.														upag	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upaga 1"">feedback</a>"
upaccagā 3	p	imperf		upātigacchati			trans	+acc	overcame; transcended; lit. went past			√gam 1 a (to go)		upa + ati > aty > acc + a + √gam + ā	upa + atigam	√gam		(SNa) upaccagun'ti atikkamiṃsu.		DHP 412	brāhmaṇavaggo	yo'dha puññañ'ca pāpañ'ca, ubho saṅgam<b>'upaccagā</b>,<br/>asokaṃ virajaṃ suddhaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.														upaccag	ā imperf	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upaccagā 3"">feedback</a>"
upadhāna 1	p	adj	in comps	upadahati					imposing; inflicting; causing; lit. placing near			√dhā 1 a (to place, support)		upa + √dhā + na	upadhana	√dhā				DHP 291	pakiṇṇakavaggo	para-dukkh'<b>ūpadhānena</b>, attano sukham'icchati.<br/>vera-saṃsagga-saṃsaṭṭho, verā so na parimuccati.														upadhān	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upadhāna 1"">feedback</a>"
upanayhati 2	p	pr					trans	+acc	resents; bears a grudge (towards); harbours enmity (towards); lit. binds onto			√nah 3 ya (to bind, to arm)	√nah + ya > nayha	upa + nayha + ti	upanahyati	√ṇah			metathesis nahya > nayha	DHP 3	yamakavaggo	akkocchi maṃ avadhi maṃ, ajini maṃ ahāsi me.<br/>ye ca taṃ <b>upanayhanti</b>, veraṃ tesaṃ na sammati.														upanayh	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upanayhati 2"">feedback</a>"
upanisā 1	p	fem		upanisīdati				+dat	cause (for); precondition (for); prerequisite (for); lit. sitting down near			√si 1 a (to depend on, associate with)		upa + ni + √si + ā	upaniśri	√śri √śṛ			(PED) contracted form of upanissaya	DHP 75	bālavaggo	aññā hi lābha-<b>upanisā</b>, aññā nibbānagāminī,<br/>evam'etaṃ abhiññāya, bhikkhu buddhassa sāvako,<br/>sakkāraṃ n'ābhinandeyya, vivekam'anubrūhaye.														upanis	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upanisā 1"">feedback</a>"
upanītavaya	p	adj	comp						come to the last stage of life; at the end of life; lit. brought to age					upanīta + vayas + a	upanīta + vayas			(DHPa) upanītavayo'ti upā'ti nipātam'attaṃ, nītavayo'ti vigatavayo atikkantavayo, tvañ'c'asi dāni tayo vaye atikkamitvā maraṇamukhe ṭhito'ti attho.		DHP 237	malavaggo	<b>upanītavayo</b> ca dāni'si, sampayāto'si yamassa santike,<br/>vāso te n'atthi antarā, pātheyyam'pi ca te na vijjati.														upanītavay	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upanītavaya"">feedback</a>"
upanīta 1	pp	adj	in comps, pp	upaneti				+loc	led (into); brought (into)			√nī 1 a (to lead, carry)		upa + √nī + ta	upanīta	√nī				DHP 237	malavaggo	<b>upanīta</b>-vayo ca dāni'si, sampayāto'si yamassa santike,<br/>vāso te n'atthi antarā, pātheyyam'pi ca te na vijjati.	SNP 40	guhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 2	kāmesu giddhā pasutā pamūḷhā, avadāniyā te visame niviṭṭhā,<br/>dukkha-<b>upanītā</b> paridevayanti, kiṃ'sū bhavissāma ito cutāse.											upanīt	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upanīta 1"">feedback</a>"
upamā	p	fem		upameti					simile; comparison; parallel			√mā 5 nā (to measure)		upa + √mā + ā	upamā	√mā				DHP 130	daṇḍavaggo	sabbe tasanti daṇḍassa, sabbesaṃ jīvitaṃ piyaṃ.<br/>attānaṃ <b>upamaṃ</b> katvā, na haneyya na ghātaye.														upam	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upamā"">feedback</a>"
upasagga 1	p	masc						+abl	danger (from); trouble (from); misfortune (from)			√sajj 1 a (to relinquish, let loose)		upa + √sajj > sagg + a	upasarga	√sṛj (throw)	upassagga			DHP 139	daṇḍavaggo	rājato vā <b>upasaggaṃ</b>, abbhakkhānañ'ca dāruṇaṃ,<br/>parikkhayañ'ca ñātīnaṃ, bhogānañ'ca pabhaṅguraṃ.														upasagg	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upasagga 1"">feedback</a>"
upasammati	p	pr				pass	intrans		is calmed; is cooled; is settled			√sam 3 ya (to be calm, tired)	√sam + ya > samma (pass)	upa + samma + ti	upaśāmyate	√śam				DHP 101	sahassavaggo	sahassam’api ce gāthā, anatthapada-saṃhitā, <br/>ekaṃ gāthā-padaṃ seyyo, yaṃ sutvā <b>upasammati</b>.														upasamm	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upasammati"">feedback</a>"
upasevī	p	adj		upesevati					who pursues; gets involved with; lit. who associates with			√sev 1 a (to serve, associate)		upa + √sev + ī	upasevin	√sev				DHP 309	nirayavaggo	cattāri ṭhānāni naro pamatto, āpajjati paradāra-<b>upasevī</b>,<br/>apuññalābhaṃ na nikāmaseyyaṃ, nindaṃ tatīyaṃ nirayaṃ catutthaṃ.														upasev	ī adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upasevī"">feedback</a>"
upahata	pp	pp		upahanati					injured; impaired; broken			√han 1 a (to smite, kill)		upa + √han + ta	upahata	√han				DHP 134	daṇḍavaggo	sace n'eresi attānaṃ, kaṃso <b>upahato</b> yathā,<br/>esa patto'si nibbānaṃ, sārambho te na vijjati.	AN 3.51	mahācorasuttaṃ	evam'evaṃ kho, bhikkhave, tīhi aṅgehi samannāgato pāpabhikkhu khataṃ <b>upahataṃ</b> attānaṃ pariharati, sāvajjo ca hoti sānuvajjo ca viññūnaṃ, bahuñ'ca apuññaṃ pasavati.											upahat	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upahata"">feedback</a>"
upeti 1	ps	pr					trans	+acc	comes to; goes to; approaches; enters			√i 1 a (to come, go)	√i + *a > e	upa + e + ti	upeti	√i				DHP 151	jarāvaggo	jīranti ve rājarathā sucittā, atho sarīram'pi jaraṃ <b>upeti</b>,<br/>satañ'ca dhammo na jaraṃ upeti, santo have sabbhi pavedayanti.	TH 251	raṭṭhapālattheragāthā	“rājā ca aññe ca bahū manussā, avītataṇhā maraṇaṃ <b>upenti</b>. <br/>ūnā’va hutvāna jahanti dehaṃ, kāmehi lokamhi na h’atthi titti.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							12n	up	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upeti 1"">feedback</a>"
upeti 3	p	pr					trans	+acc	obtains; gets; experiences; lit. approaches			√i 1 a (to come, go)	√i + a > e	upa + e + ti	upeti	√i				DHP 342	taṇhāvaggo	tasiṇāya purakkhatā pajā, parisappanti saso'va bādhito,<br/>saṃyojanasaṅgasattakā, dukkham'<b>upenti </b>punappunaṃ cirāya.														up	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upeti 3"">feedback</a>"
upehisi	pp	fut	2nd sg	upehiti			trans	+acc	you will approach; you will arrive (at)			√i 1 a (to come, go)	√i + a + ssa > ehi (fut, irreg)	upa + ehi + si	upeṣyasi	√i				DHP 236	malavaggo	so karohi dīpam'attano, khippaṃ vāyama paṇḍito bhava,<br/>niddhantamalo anaṅgaṇo, dibbaṃ ariyabhūmiṃ <b>upehisi</b>.	DHP 348	taṇhāvaggo	muñca pure muñca pacchato, majjhe muñca bhavassa pāragū,<br/>sabbattha vimuttamānaso, na punaṃ jātijaraṃ <b>upehisi</b>.											!upe	hiti fut	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upehisi"">feedback</a>"
uppajja	p	ger		uppajjati			intrans		arising; appearing; springing up			√pad 3 ya (to go, step)		ud + √pad + ya	utpadya	√pad	ubbhijja			DHP 340	taṇhāvaggo	savanti sabbadhi sotā, latā <b>uppajja</b> tiṭṭhati,<br/>tañ'ca disvā lataṃ jātaṃ, mūlaṃ paññāya chindatha.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uppajja"">feedback</a>"
uppajjati 3	p	pr					trans	+acc	is reborn (in); re-arises (in)			√pad 3 ya (to go, step)	√pad + ya > pajja	ud + pajja + ti	utpadyate	√pad				DHP 126	pāpavaggo	gabbham'eke <b>uppajjanti</b>, nirayaṃ pāpakammino,<br/>saggaṃ sugatino yanti, parinibbanti anāsavā.														uppajj	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uppajjati 3"">feedback</a>"
uppatita 2	p	pp		uppatati					occurred; happened; arisen; lit. fallen up			√pat 1 a (to fall)		ud + √pat + ita	utpatita	√pat				DHP 222	kodhavaggo	yo ve <b>uppatitaṃ</b> kodhaṃ, rathaṃ bhantaṃ'va vāraye,<br/>tam'ahaṃ sārathiṃ brūmi, rasmiggāho itaro jano.														uppatit	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uppatita 2"">feedback</a>"
ubbhata 1	pp	pp		uddharati				+abl	lifted up (from); pulled out (from)			√dhar 1 a (to hold, carry, endure)		ud + √dhar + ta	uddhata	√dhṛ	uddhaṭa		dd > bb	DHP 34	cittavaggo	vārijo'va thale khitto, okam'okata'<b>ubbhato</b>,<br/>pariphandat'idaṃ cittaṃ, māradheyyaṃ pahātave.	MN 105	sunakkhattasuttaṃ	anupādiseso'ti maññamāno so evaṃ vadeyya, ambho purisa, <b>ubbhataṃ</b> kho te sallaṃ, apanīto visadoso anupādiseso.											ubbhat	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ubbhata 1"">feedback</a>"
ubbhijja	p	ger		ubbhindati			intrans		sprouting; bursting upwards; breaking upwards (from the ground)			√bhid 2 ṃa (to break, split)		ud + √bhid + ya	udbhidya	√bhid	uppajja			DHP 340	taṇhāvaggo	savanti sabbadhi sotā, latā <b>ubbhijja</b> tiṭṭhati,<br/>tañ'ca disvā lataṃ jātaṃ, mūlaṃ paññāya chindatha.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ubbhijja"">feedback</a>"
ubho	ps	pron	nom & acc	ubha					both						ubhe, ubhān					DHP 74	bālavaggo	mam’eva kata maññantu, gihī-pabbajitā <b>ubho</b>, <br/>mam’ev’ātivasā assu, kicc'ākiccesu kismici. <br/>iti bālassa saṅkappo, icchā māno ca vaḍḍhati.	SN 56.11	dhammacakkappavattanasuttaṃ	ete kho, bhikkhave, <b>ubho</b> ante anupagamma majjhimā paṭipadā tathāgatena abhisambuddhā cakkhukaraṇī ñāṇakaraṇī upasamāya abhiññāya sambodhāya nibbānāya saṃvattati	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings							17n	!	ubha	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ubho"">feedback</a>"
ubhopi	p	sandhi	pron + ind						and both; as well as					ubho + api	ubhe + api					DHP 306	nirayavaggo	abhūtavādī nirayaṃ upeti, yo vā'pi katvā na karomi c'āha,<br/><b>ubho'pi</b> te pecca samā bhavanti, nihīnakammā manujā parattha.														!	ubho api	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ubhopi"">feedback</a>"
uyyogamukha	p	nt	comp						moment of death; door to departure; mouth of death; lit. mouth of departure					uyyoga + mukha	udyoga + mukha			(DHPa) uyyogamukhe'ti parihānimukhe, avuḍḍhimukhe ca ṭhitosī'ti attho.		DHP 235	malavaggo	paṇḍupalāso'va dāni'si, yamapurisā'pi ca te upaṭṭhitā,<br/><b>uyyogamukhe</b> ca tiṭṭhasi, pātheyyam'pi ca te na vijjati.														uyyogamukh	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uyyogamukha"">feedback</a>"
uyyoga 1	p	masc		uyyojeti					departure; leaving; setting out			√yuj 2 *e (to yoke, join)		ud + √yuj > yug > yog + *a	udyoga (exertion)	√yuj				DHP 235	malavaggo	paṇḍupalāso'va dāni'si, yamapurisā'pi ca te upaṭṭhitā,<br/><b>uyyoga</b>-mukhe ca tiṭṭhasi, pātheyyam'pi ca te na vijjati.														uyyog	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uyyoga 1"">feedback</a>"
usabha 2	p	masc							noble being; lit. bull						ṛṣabha					DHP 422	brāhmaṇavaggo	<b>usabhaṃ</b> pavaraṃ vīraṃ, mahesiṃ vijitāvinaṃ,<br/>anejaṃ nhātakaṃ buddhaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.														usabh	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=usabha 2"">feedback</a>"
usīra	p	nt							fragrant root of vetiver grass						uśīra					DHP 337	taṇhāvaggo	taṃ vo vadāmi bhaddaṃ vo, yāvant'ettha samāgatā,<br/>taṇhāya mūlaṃ khaṇatha, <b>usīr'</b>attho'va bīraṇaṃ,<br/>mā vo naḷaṃ'va soto'va, māro bhañji punappunaṃ.														usīr	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=usīra"">feedback</a>"
usukāra	pp	masc	agent, comp						arrow-maker; fletcher					usu + kāra	iṣukāra					DHP 80	paṇḍitavaggo	udakañ'hi nayanti nettikā, <b>usukārā</b> namayanti tejanaṃ,<br/>dāruṃ namayanti tacchakā, attānaṃ damayanti paṇḍitā.	DHP 33	cittavaggo	phandanaṃ capalaṃ cittaṃ, dūrakkhaṃ dunnivārayaṃ,<br/>ujuṃ karoti medhāvī, <b>usukāro</b>'va tejanaṃ.											usukār	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=usukāra"">feedback</a>"
ussuka	ps	adj		ud					zealously desiring; ambitious; anxiously striving; anxious; agitated; stressed					ud + su + ka	utsuka			(DHPa) pañcakāmaguṇapariyesane ussukesu tāya pariyesanāya abhāvena anussukā'ti.	"(MW) restless, uneasy, unquiet, anxious; fr. su, ""well"" , with ud in the sense of ""apart"", and affix ka"	DHP 199	sukhavaggo	susukhaṃ vata jīvāma, <b>ussukesu</b> anussukā,<br/>ussukesu manassesu, viharāma anussukā.	TH 257	pārāpariyattheragāthā	jīvitānaṃ parikkhāre, bhesajje atha paccaye.<br/>na bāḷhaṃ <b>ussukā</b> āsuṃ, yathā te āsavakkhaye	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							13n	ussuk	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ussuka"">feedback</a>"
ussukka	pp	nt	abstr	ussuka					zeal; desire; ambition					ud + su + ka + ya<br/>ussuka + ya	autsukya			(SNa) ussukkajātesū'ti nānākiccajātesu anuppannānaṃ rūp'ādīnaṃ uppādan'atthāya uppannānaṃ anubhavan'atthāya ussukkesu.		DHP 330	nāgavaggo	ekassa caritaṃ seyyo, n'atthi bāle sahāyatā,<br/>eko care na ca pāpāni kayirā, app'<b>ossukko</b> mātaṅg'araññ'eva nāgo.	SN 1.28	mahaddhanasuttaṃ	tesu <b>ussukka</b>-jātesu,<br/>bhavasot'ānusārisu,<br/>ke'dha taṇhaṃ pajahiṃsu,<br/>ke lokasmiṃ anussukā'ti.											ussukk	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ussukka"">feedback</a>"
ekaghana	p	adj	comp						solid; dense; lit. one mass					eka + ghana	eka + ghana		ekagghana			DHP 81	paṇḍitavaggo	selo yathā <b>ekaghano</b>, vātena na samīrati, <br/>evaṃ nindāpasaṃsāsu, na samiñjanti paṇḍitā.														ekaghan	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekaghana"">feedback</a>"
ekacariya	p	nt	comp						living alone; solitude; lit. walking alone					eka + cariya	ekacara		ekaccariya			DHP 61	bālavaggo	carañ'ce n'ādhigaccheyya, seyyaṃ sadisam'attano,<br/><b>ekacariyaṃ</b> daḷhaṃ kayirā, n'atthi bāle sahāyatā.														ekacariy	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekacariya"">feedback</a>"
ekañca	p	sandhi	adj + ind						but one; but a single					eka + aṃ + ca	ekam + ca					DHP 103	sahassavaggo	yo sahassaṃ sahassena, saṅgāme mānuse jine,<br/><b>ekañ'ca</b> jeyya'm'attānaṃ, sa ve saṅgāmaj'uttamo														!	eka aṃ ca	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekañca"">feedback</a>"
ekantaṃ	p	ind	adv, comp, acc sg	ekanta					completely; exclusively; solely; lit. one sidedly					eka + anta + aṃ<br/>ekanta + aṃ	ekāntam					DHP 228	kodhavaggo	na c'āhu na ca bhavissati, na c'eta'r'ahi vijjati,<br/>ek'antaṃ nindito poso, <b>ek'antaṃ</b> vā pasaṃsito.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekantaṃ"">feedback</a>"
ekarajja	p	nt	comp						sole ruler-ship; sole dominion; sovereign power					eka + rajja	eka + rājya					DHP 178	lokavaggo	pathabyā <b>ekarajjena</b>, saggassa gamanena vā, <br/>sabbalok’ādhipaccena, sot’āpatti-phalaṃ varaṃ.														ekarajj	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekarajja"">feedback</a>"
ekaseyya	p	adj	comp						sleeping alone; living alone					eka + seyya	eka + śreyas					DHP 305	pakiṇṇakavaggo	ek'āsanaṃ <b>ekaseyyaṃ</b>, eko caram'atandito,<br/>eko damayam'attānaṃ, van'ante ramito siyā.														ekaseyy	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekaseyya"">feedback</a>"
ekāsana 1	p	adj	comp						sitting alone; lit. one seat					eka + āsana	eka + āsana					DHP 305	pakiṇṇakavaggo	<b>ek'āsanaṃ</b> ekaseyyaṃ, eko caram'atandito,<br/>eko damayam'attānaṃ, van'ante ramito siyā.														ekāsan	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ekāsana 1"">feedback</a>"
etañhi	pp	sandhi	pron + ind						this truly; this indeed					etaṃ + hi	etam + hi					DHP 274	maggavaggo	ese'va maggo n'atth'añño, dassanassa visuddhiyā,<br/><b>etañ'hi</b> tumhe paṭipajjatha, mārass'etaṃ pamohanaṃ.	DHP 275	maggavaggo	<b>etañ'hi</b> tumhe paṭipannā, dukkhass'antaṃ karissatha,<br/>akkhāto vo mayā maggo, aññāya sallakantanaṃ.											!	eta hi	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=etañhi"">feedback</a>"
eti	ps	pr					intrans		goes; comes; comes back; returns			√i 1 a (to come, go)	√i + *a > e	e + ti	eti	√i				DHP 54	pupphavaggo	na pupphagandho paṭivātam'<b>eti</b>, na candanaṃ tagara-mallikā,<br/>satañ'ca gandho paṭivātam'<b>eti</b>, sabbā disā sappuriso pavāyati.	SNP 8	mettasuttaṃ<br/>uragavaggo 8	diṭṭhiñ’ca anupaggamma,   sīlavā dassanena sampanno,  <br/>kāmesu vineyya gedhaṃ,   na hi jātu gabbha-seyyaṃ punar’<b>etī</b>’ti.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations							53n	*	eti pr 2	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=eti"">feedback</a>"
etehi	p	pron	masc & nt instr pl	eta					by these; with these					eta + ehi	etaiḥ					DHP 224	kodhavaggo	saccaṃ bhaṇe na kujjheyya, dajjā appam'pi yācito,<br/><b>etehi</b> tīhi ṭhānehi, gacche devāna santike.														!	eta	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=etehi"">feedback</a>"
