bhikkhupātimokkhapāḷi	pos	grammar	+case	tamil	meaning	lit. meaning	root	rt gp	sign	base	construction	compound type	compound construction	abbrev	source	sentence	aṭṭhakathā	feedback
- - alaṃ	ind	ind, adv			suitable, appropriate	enough								PA4	uttarimanussadhammasikkhāpadaṃ	yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ <b>alam'</b>ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- - alaṃ"">feedback</a>"
- - ariya	noun	masc			enlightened person	noble person								PA4	uttarimanussadhammasikkhāpadaṃ	yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'<b>ariya</b>ñāṇadassanaṃ samudācareyya iti jānāmi, iti passāmī'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- - ariya"">feedback</a>"
- ñāṇadassanaṃ	noun	nt acc sg of ñāṇadassana			wisdom and insight, knowledge and vision	knowing and seeing					ñāṇa + dassana	dvanda	ñāṇa ca dassana ca	PA4	uttarimanussadhammasikkhāpadaṃ	yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariya<b>ñāṇadassanaṃ</b> samudācareyya iti jānāmi, iti passāmī'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- ñāṇadassanaṃ"">feedback</a>"
- - ñāṇa	noun	nt, from jānāti			knowledge, wisdom	knowing	√ñā (know)	5	nā		√ñā + aṇa			PA4	uttarimanussadhammasikkhāpadaṃ	yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariya<b>ñāṇa</b>dassanaṃ samudācareyya iti jānāmi, iti passāmī'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- - ñāṇa"">feedback</a>"
- - dassanaṃ	noun	nt acc sg of dassana, from passati			insight, realization, spiritual vision	seeing	√dis (see)	1	a	√dis + a > dassa	dassa + ana			PA4	uttarimanussadhammasikkhāpadaṃ	yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇa<b>dassanaṃ</b> samudācareyya iti jānāmi, iti passāmī'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- - dassanaṃ"">feedback</a>"
samudācareyya	verb	opt 3rd sg of samudācarati	+acc		he would announce, boast, claim	behaves	√car (walk, behave)	1	a	√car + a > cara	saṃ + ud + ā + cara + ti			PA4	uttarimanussadhammasikkhāpadaṃ	yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ <b>samudācareyya</b> iti jānāmi, iti passāmī'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=samudācareyya"">feedback</a>"
jānāmi	verb	pr 1st sg of jānāti			I know, I understand		√ñā (know)	5	nā	√ñā + nā > jānā	jānā + ti			PA4	uttarimanussadhammasikkhāpadaṃ	yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti <b>jānāmi</b>, iti passāmī'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=jānāmi"">feedback</a>"
- passāmi	verb	pr 1st sg of passati	+acc		I see, I understand		√dis (see)	1	a	√dis + a > passa	passa + ti			PA4	uttarimanussadhammasikkhāpadaṃ	yo pana bhikkhu anabhijānaṃ uttarimanussadhammaṃ att'ūpanāyikaṃ alam'ariyañāṇadassanaṃ samudācareyya iti jānāmi, iti <b>passāmī</b>'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- passāmi"">feedback</a>"
tato	ind	adv, abl sg of ta			after, then	from that					ta + to			PA4	uttarimanussadhammasikkhāpadaṃ	<b>tato</b> aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=tato"">feedback</a>"
aparena	adj	instr sg of apara			at another, at a later	with another					apa + ra			PA4	uttarimanussadhammasikkhāpadaṃ	tato <b>aparena</b> samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=aparena"">feedback</a>"
samayena	noun	masc instr sg of samaya			at time, at occasion	with time, come together	√i (come, go)	1	a		saṃ + √i > ay + *a			PA4	uttarimanussadhammasikkhāpadaṃ	tato aparena <b>samayena</b> samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=samayena"">feedback</a>"
samanuggāhīyamāno	prp	masc nom sg of samanuggāhiyamāna, from samanuggāhīyati			being closely questioned	being dived into	√gāh (dive, plunge)	1	īya	√gāh + īya > gāhīya	saṃ + anu + gāhīya + māna			PA4	uttarimanussadhammasikkhāpadaṃ	tato aparena samayena <b>samanuggāhīyamāno</b> vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=samanuggāhīyamāno"">feedback</a>"
asamanuggāhīyamāno	prp	masc nom sg of na + samanuggāhiyamāna, from samanuggāhīyati			not being closely questioned	not being dived into	√gāh (dive, plunge)	1	īya	√gāh + īya > gāhīya	na + saṃ + anu + gāhīya + māna			PA4	uttarimanussadhammasikkhāpadaṃ	tato aparena samayena samanuggāhīyamāno vā <b>asamanuggāhīyamāno</b> vā āpanno visuddh'āpekkho evaṃ vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=asamanuggāhīyamāno"">feedback</a>"
āpanno	pp	masc nom sg of āpanna, from āpajjati			who has committed	entered, reached	√pad (go, step)	3	ya		ā + √pad + na			PA4	uttarimanussadhammasikkhāpadaṃ	tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā <b>āpanno</b> visuddh'āpekkho evaṃ vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=āpanno"">feedback</a>"
visuddhāpekkho	adj	masc nom sg, comp			looking for purity, wanting purification						visuddhi + apekkha	locative tappurisa	visuddh<b>iyaṃ</b> + apekkha	PA4	uttarimanussadhammasikkhāpadaṃ	tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno <b>visuddh'āpekkho</b> evaṃ vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=visuddhāpekkho"">feedback</a>"
- apekkho	adj	masc nom sg of apekkha, from apekkhati	+loc		seeking, wanting	looking away	√ikkh (see)	1	a		apa + √ikkha + a			PA4	uttarimanussadhammasikkhāpadaṃ	tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'<b>āpekkho</b> evaṃ vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- apekkho"">feedback</a>"
evaṃ	ind	ind, adv			thus, like this									PA4	uttarimanussadhammasikkhāpadaṃ	tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho <b>evaṃ</b> vadeyya		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=evaṃ"">feedback</a>"
vadeyya	verb	opt 3rd sg of vadati			he would say, speak, tell		√vad (speak)	1	a	√vad + a > vada	vada + eyya			PA4	uttarimanussadhammasikkhāpadaṃ	tato aparena samayena samanuggāhīyamāno vā asamanuggāhīyamāno vā āpanno visuddh'āpekkho evaṃ <b>vadeyya</b>		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=vadeyya"">feedback</a>"
ajānamevaṃ	comp	sandhi			not knowing thus						ajānaṃ + evaṃ			PA4	uttarimanussadhammasikkhāpadaṃ	<b>ajānam'evaṃ</b> āvuso avacaṃ jānāmi, apassaṃ passāmi, tucchaṃ musā vilapin'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=ajānamevaṃ"">feedback</a>"
- ajānaṃ	prp	masc nom sg of ajānanta, from ājānāti			not knowing, not understanding		√ñā (know)	5	nā	√ñā + nā > jānā	na + jānā + nta			PA4	uttarimanussadhammasikkhāpadaṃ	<b>ajānam</b>'evaṃ āvuso avacaṃ jānāmi, apassaṃ passāmi, tucchaṃ musā vilapin'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- ajānaṃ"">feedback</a>"
avacaṃ	verb	imperf, 1st sg of avaca, from vacati	+acc		I spoke		√vac (speak)	1	a		a + √vac + ā			PA4	uttarimanussadhammasikkhāpadaṃ	ajānam'evaṃ āvuso <b>avacaṃ</b> jānāmi, apassaṃ passāmi, tucchaṃ musā vilapin'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=avacaṃ"">feedback</a>"
apassaṃ	prp	masc nom sg of na + passati			not seeing		√dis (see)	1	a	√dis + a > passa	a + passa + nta			PA4	uttarimanussadhammasikkhāpadaṃ	ajānam'evaṃ āvuso avacaṃ jānāmi, <b>apassaṃ</b> passāmi, tucchaṃ musā vilapin'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=apassaṃ"">feedback</a>"
passāmi	verb	pr 1st sg of passati	+acc		I see, I understand		√dis (see)	1	a	√dis + a > passa	passa + ti			PA4	uttarimanussadhammasikkhāpadaṃ	ajānam'evaṃ āvuso avacaṃ jānāmi, apassaṃ <b>passāmi</b>, tucchaṃ musā vilapin'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=passāmi"">feedback</a>"
tucchaṃ	ind	adv, acc sg of tuccha			emptily, vainly, without substance						tuccha + aṃ			PA4	uttarimanussadhammasikkhāpadaṃ	ajānam'evaṃ āvuso avacaṃ jānāmi, apassaṃ passāmi, <b>tucchaṃ</b> musā vilapin'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=tucchaṃ"">feedback</a>"
musā	ind	adv			falsely, wrongly		√mus (lie, forget)	3	ya		√mus + ā			PA4	uttarimanussadhammasikkhāpadaṃ	ajānam'evaṃ āvuso avacaṃ jānāmi, apassaṃ passāmi, tucchaṃ <b>musā</b> vilapin'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=musā"">feedback</a>"
- vilapiṃ	verb	aor 1st sg of vilapi	+acc		I talked, spoke rubbish	I spoke wrongly	√lap (chat)	1	a		vi + √lap + i			PA4	uttarimanussadhammasikkhāpadaṃ	ajānam'evaṃ āvuso avacaṃ jānāmi, apassaṃ passāmi, tucchaṃ musā <b>vilapin</b>'ti		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- vilapiṃ"">feedback</a>"
aññatra	ind	ind, adv	+abl		apart (from), except (for)	other than					añña + tra			PA4	uttarimanussadhammasikkhāpadaṃ	<b>aññatra</b> adhimānā, ayam'pi pārājiko hoti asaṃvāso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=aññatra"">feedback</a>"
adhimānā	noun	masc abl sg of adhimāna			from over-estimation, from over-rating	thinking too highly	√man (think)	3	ya		adhi + √man + *a			PA4	uttarimanussadhammasikkhāpadaṃ	aññatra <b>adhimānā</b>, ayam'pi pārājiko hoti asaṃvāso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=adhimānā"">feedback</a>"
uddiṭṭhā	pp	masc nom pl of uddiṭṭha, pp of uddisati			recited, chanted	pointed up	√dis (point out, explain)	1	a		ud + √dis + ta			PA	pārājikuddeso	<b>uddiṭṭhā</b> kho āyasmanto cattāro pārājikā dhammā.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=uddiṭṭhā"">feedback</a>"
yesaṃ	pron	gen pl of ya			of those		of which							PA	pārājikuddeso	<b>yesaṃ</b> bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā na labhati bhikkhūhi saddhiṃ saṃvāsaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=yesaṃ"">feedback</a>"
aññataraṃ	adj	masc acc sg of aññatara			one of, another of	another of					añña + tara			PA	pārājikuddeso	yesaṃ bhikkhu <b>aññataraṃ</b> vā aññataraṃ vā āpajjitvā na labhati bhikkhūhi saddhiṃ saṃvāsaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=aññataraṃ"">feedback</a>"
āpajjitvā	verb	abs of āpajjati			having committed	having reached	√pad (go, step)	3	ya	√pad + ya > pajja	ā + pajja + itvā			PA	pārājikuddeso	yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā <b>āpajjitvā</b> na labhati bhikkhūhi saddhiṃ saṃvāsaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=āpajjitvā"">feedback</a>"
na	ind	neg			not									PA	pārājikuddeso	yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā <b>na</b> labhati bhikkhūhi saddhiṃ saṃvāsaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=na"">feedback</a>"
labhati	verb	pr 3rd sg			he gets, obtains		√labh (get)	1	a	√labh + a > labha	labha + ti			PA	pārājikuddeso	yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā na <b>labhati</b> bhikkhūhi saddhiṃ saṃvāsaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=labhati"">feedback</a>"
bhikkhūhi	noun	masc instr pl of bhikkhu			with monks		√bhikkh (beg)	1	a		√bhikkh + u			PA	pārājikuddeso	yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā na labhati <b>bhikkhūhi</b> saddhiṃ saṃvāsaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=bhikkhūhi"">feedback</a>"
saddhiṃ	ind	prep	+instr		together with									PA	pārājikuddeso	yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā na labhati bhikkhūhi <b>saddhiṃ</b> saṃvāsaṃ		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=saddhiṃ"">feedback</a>"
saṃvāsaṃ	noun	masc acc of saṃvāsa, from saṃvasati			cohabitation, living together		√vas (live)	1	a		saṃ + √vas + *a			PA	pārājikuddeso	yesaṃ bhikkhu aññataraṃ vā aññataraṃ vā āpajjitvā na labhati bhikkhūhi saddhiṃ <b>saṃvāsaṃ</b>		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=saṃvāsaṃ"">feedback</a>"
pure	ind	adv			previously, before									PA	pārājikuddeso	yathā <b>pure</b>, tathā pacchā, pārājiko hoti asaṃvāso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=pure"">feedback</a>"
tathā	ind	adv			like that, such						ta + thā			PA	pārājikuddeso	yathā pure, <b>tathā</b> pacchā, pārājiko hoti asaṃvāso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=tathā"">feedback</a>"
pacchā	ind	adv, abl sg of paccha			afterwards, later	behind					paccha + ā			PA	pārājikuddeso	yathā pure, tathā <b>pacchā</b>, pārājiko hoti asaṃvāso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=pacchā"">feedback</a>"
dhārayāmi	verb	pr 1st sg of dhārayati	+acc		I take, I believe, I keep in mind	bear, carry	√dhar (wear, hold, carry)	8	*aya	√dhar + *aya > dhāraya	dhāraya + ti			PA	pārājikuddeso	parisuddh'etth'āyasmanto, tasmā tuṇhī, evam'etaṃ <b>dhārayāmī'ti</b>.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=dhārayāmi"">feedback</a>"
pārājikuddeso	noun	masc nom sg of pārājikuddesa			recitation of the (matters) related to defeat						pārājika + uddeso	genitive tappurisa	pārājik<b>ānaṃ</b> + uddeso	PA	pārājikuddeso	<b>pārājikuddeso</b> dutiyo		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=pārājikuddeso"">feedback</a>"
- pārājika	noun	masc nom sg of pārājika			defeated, destroyed, disqualified	conquered	√ji (conquer)	1	a		parā > pārā + √ji + *ika			PA	pārājikuddeso	<b>pārājikuddeso</b> dutiyo		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- pārājika"">feedback</a>"
dutiyo	ordinal	masc nom sg of dutiya			second						dvi + tiya			PA	pārājikuddeso	pārājikuddeso <b>dutiyo</b>		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=dutiyo"">feedback</a>"
ime	pron	masc nom pl of ima			these									SA	saṅghādisesuddeso	<b>ime</b> kho pan'āyasmanto terasa saṅghādisesā dhammā uddesaṃ āgacchanti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=ime"">feedback</a>"
terasa	cardinal	x nom pl			thirteen						ti + dasa			SA	saṅghādisesuddeso	ime kho pan'āyasmanto <b>terasa</b> saṅghādisesā dhammā uddesaṃ āgacchanti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=terasa"">feedback</a>"
saṅghādisesā	adj	masc nom pl of saṅghādisesa			(offence) requiring the involvement of the community in the beginning and the rest	with the community in the beginning and the rest					saṅgha + ādi + sesa			SA	saṅghādisesuddeso	ime kho pan'āyasmanto terasa <b>saṅghādisesā</b> dhammā uddesaṃ āgacchanti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=saṅghādisesā"">feedback</a>"
- saṅgha	noun	masc			community, assembly, group	joined together	√ghaṭ (join together)	1	a		saṃ + √ghaṭ + a			SA	saṅghādisesuddeso	ime kho pan'āyasmanto terasa <b>saṅgh</b>ādisesā dhammā uddesaṃ āgacchanti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- saṅgha"">feedback</a>"
- ādi	noun	masc			beginning, starting with									SA	saṅghādisesuddeso	ime kho pan'āyasmanto terasa saṅgh<b>ādi</b>sesā dhammā uddesaṃ āgacchanti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- ādi"">feedback</a>"
- sesā	noun	nt			the remainder, the rest	leftover	√sis (remain)	8	*e		√sis + *a			SA	saṅghādisesuddeso	ime kho pan'āyasmanto terasa saṅghādi<b>sesā</b> dhammā uddesaṃ āgacchanti.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- sesā"">feedback</a>"
sañcetanikā	adj	fem nom sg of sañcetanika			volitional, intentional, purposeful	with mind	√cit (think)	8	*e		saṃ + √cit + *ana + ika			SA1	sukkavissaṭṭhisikkhāpadaṃ	<b>sañcetanikā</b> sukkavissaṭṭhi aññatra supin'antā saṅghādiseso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=sañcetanikā"">feedback</a>"
sukkavissaṭṭhi	noun	fem nom sg, comp			emission of semen, release of sperm						sukka + vissaṭṭhi	genitive tappurisa	sukk<b>assa</b> + vissaṭṭhi	SA1	sukkavissaṭṭhisikkhāpadaṃ	sañcetanikā <b>sukkavissaṭṭhi</b> aññatra supin'antā saṅghādiseso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=sukkavissaṭṭhi"">feedback</a>"
- sukka	noun	nt			semen, sperm	bright, pure	√suc (be pure)	1	a		√suc + ta			SA1	sukkavissaṭṭhisikkhāpadaṃ	sañcetanikā <b>sukka</b>vissaṭṭhi aññatra supin'antā saṅghādiseso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- sukka"">feedback</a>"
- vissaṭṭhi	noun	fem nom sg, from visajjati			emission, discharge	release	√sajj (relinquish, let loose)	1	a		vi + √sajj + ti			SA1	sukkavissaṭṭhisikkhāpadaṃ	sañcetanikā sukka<b>vissaṭṭhi</b> aññatra supin'antā saṅghādiseso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- vissaṭṭhi"">feedback</a>"
supinantā	noun	nt abl sg of supinanta			when dreaming	from inside a dream					supina + anta			SA1	sukkavissaṭṭhisikkhāpadaṃ	sañcetanikā sukkavissaṭṭhi aññatra <b>supin'antā</b> saṅghādiseso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=supinantā"">feedback</a>"
- supina	noun	nt, from supati			dream	sleeping	√sup (lie down, sleep)	1	a		√sup + ina			SA1	sukkavissaṭṭhisikkhāpadaṃ	sañcetanikā sukkavissaṭṭhi aññatra <b>supin</b>'<b>antā</b> saṅghādiseso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- supina"">feedback</a>"
- anta	ind	prep			inside, within									SA1	sukkavissaṭṭhisikkhāpadaṃ	sañcetanikā sukkavissaṭṭhi aññatra <b>supin'antā</b> saṅghādiseso.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- anta"">feedback</a>"
