pali_1,pos,meaning_1,root,pattern,sbs_class
ettha 1,ind,here; in this place; in this case; in this regard,,,8
esī,adj,who is seeking; looking for,√es,ī adj,5
eva 1,ind,only; just; merely; exclusively,,,13
evaṃ 1,ind,thus; this; like this; similarly; in the same manner; just as; such,,,13
ehi,imp,come!,√i 1,eti pr 2,4
oka 1.1,masc,home; abode,√uc,a masc,2
okirati,pr,sprinkles; scatters down (onto),√kir,ati pr,3
ogha 1,masc,(of water) flood; deluge; torrent,,a masc,2
ogha 2,masc,(of defilements) deluge; inundation; torrent,,a masc,2
otarati 2,pr,fits (with); is found (in); cross-references (with),√tar 1,ati pr,3
otāriyamāna,prp,being checked (in); being gone into (in); being cross-referenced (in),√tar 1,māna prp,14
otāretabba,ptp,should be checked (in); should be gone into (in); should be cross-referenced,√tar 1,a ptp,14
ottappa,nt,regret; shame in wrongdoing; respect for others; (comm) originating from outside,√tapp 1,a nt,9
ottappī,adj,afraid of wrong; conscientious,√tapp 1,ī adj,5
odāta 1,pp,white,√dā 2,a pp,11
onaddha,pp,enveloped (with); covered (with); wrapped (with),√nadh,a pp,11
opanayika,adj,pragmatic; applicable; relevant,√nī,a adj,11
obhāsati 1.1,pr,speaks coarsely (to); speaks suggestively (to); talks rudely (to); talks dirty (to),√bhās 1,ati pr,3
obhāsetvā,abs,having lit up; having illuminated,√bhās 2,,14
orena 1,ind,earlier (than); sooner (than),,,13
olokana,nt,looking (at); observing; checking,√lok,a nt,9
ovadati,pr,advises; instructs; admonishes,√vad 1,ati pr,3
ovadita,pp,advised; instructed; taught; admonished,√vad 1,a pp,11
ovāda,masc,advice; instruction encouragement; exhortation,√vad 1,a masc,2
ohāretvā,abs,having shaved; having shaved off,√har 1,,14
oḷārika 1,adj,coarse; gross; substantial; physical; material,√ar,a adj,11
oḷārika 2,adj,(of food) solid; heavy; substantial,√ar,a adj,11
kaṅkhati 1.1,pr,has doubt (about); is uncertain (about),√kaṅkh 2,ati pr,3
kaṅkhituṃ,inf,to doubt; to be uncertain (about),√kaṅkh 2,,9
kaccāna,masc,family name,,a masc,2
kaṭāha 1,masc,pot; pan; cauldron,,a masc,2
kaṇha 1,adj,dark; black,,a adj,11
kata 1,pp,done; did; completed,√kar,a pp,11
katama,pron,what?; which (of the many)?,,a pron,9
kati,pron,how many?,,kati pron pl,9
kattar 1,masc,creator; maker,√kar,ar masc,6
katvāna 1,abs,having done,√kar,,8
kathaṃ 1,ind,how?,,,9
kathā 1,fem,talk; speech; conversation; discussion,√kath,ā fem,7
kanta 1.1,pp,charming (to); pleasant (to); desirable; agreeable (to),√kam 2,a pp,11
kappati,pr,it is suitable (for); it is proper (for); it is fitting (for); it is allowable,√kapp 1,ati pr,3
kappeti 1,pr,prepares; arranges; forms; fashions; constructs,√kapp 1,eti pr,14
kampati,pr,shakes; trembles; wavers; is disturbed,√kamp,ati pr,3
kammaniya,adj,ready; workable; suitable for use; functional,√kar,a adj,11
karaṇīya 2,ptp,should be done; must be done; ought to be made; to be observed,√kar,a ptp,14
karitvā 2,abs,having made,√kar,,8
karuṇā,fem,compassion; sympathy; kindness (towards unfortunate beings),,ā fem,7
kareyya 1,opt,could do; would do; could make,√kar,karoti pr,7
karoti 1,pr,does; acts; performs,√kar,karoti pr,3
karohi,imp,do!; make!,√kar,karoti pr,4
kalyāṇa 1,adj,good; favourable; propitious; beneficial; lovely,,aī adj,11
kalyāṇamitta 2,masc,excellent friend; good spiritual companion,,a masc,2
kallaṃ,ind,it is suitable (to); it is proper (to); it is fit (for),√kal 2,,9
kassaka,masc,farmer; ploughman,√kass,a masc,2
kassapa 1,masc,name of the 1st previous Buddha,,a masc,2
kātabba 2,ptp,should be made,√kar,a ptp,14
kātuṃ 1,inf,to do; to perform,√kar,,9
kāma 3,masc,sense desire (of); sensual pleasure (of),√kam 2,a masc,2
kāya 1.1,masc,body; physical body; physical process,√ci 1,a masc,2
kāya 1.2,masc,group; host; company; collection; multitude; mass,√ci 1,a masc,2
kāra 1,masc,deed; action; service,√kar,a masc,2
kāraka 2,masc,builder,√kar,a masc,2
kārayamāna 2,prp,building,√kar,māna prp,14
kārāpesi 1,aor,had (something) built (for); had (something) made (for),√kar,esi aor,14
kāretabba 1,ptp,should be made,√kar,a ptp,14
kāreti 4,pr,builds; has constructed,√kar,eti pr,14
kāla 1.1,masc,time; occasion,√kal 1,a masc,2
kālena,ind,timely; at the right time; at an appropriate moment,√kal 1,,6
kāsāya 1,adj,organic brown; colour of Buddhist monks’ robes,,a adj,11
kāḷaka 2,nt,stain; dirt; dirty mark,,a nt,9
kittāvatā,ind,in what way?; to what extent?; in what respect?,,,9
kira 1,ind,really; truly; definitely,,,13
kiṃ 2,ind,how?; what?,,,9
kukkuṭī,fem,hen; chicken,,ī fem,8
kucchi 1,masc,stomach; belly,√kus 2,i masc,4
kujjhati,pr,is angry (with); gets angry (with); is enraged (with),√kudh,ati pr,13
kujjhi,aor,,√kudh,i aor,13
kuṭi 1,fem,hut; simple monastic dwelling,√kuṭ 1,i fem,8
kuto 1,ind,from where?; where?,,,8
kupita,pp,indignant; angry; annoyed; outraged; offended,√kup,a pp,11
kumāra 2,masc,prince,√kumār,a masc,2
kula 1,nt,family; house; household; respectable family,√kul,a nt,9
kula 2,nt,supporter; supporting family,√kul,a nt,9
kusala 1,adj,healthy; beneficial; useful; good; wholesome,,a adj,11
kusala 4,nt,good; benefit; merit; good deed; doing good,,a nt,9
kuhiṃ,ind,where?,,,8
kesa,masc,(head) hair,,a masc,2
kevala 1,adj,all; whole lot; altogether; total; entire; complete,,a adj,11
kosalā,masc,name of the people of Kosala; Kosalans,,a masc pl,2
khajjati 1,pr,is being eaten (by); is being nibbled (by),√khād,ati pr,13
khajjamāna,prp,being eaten (by); being devoured (by),√khād,māna prp,13
khajji,aor,was being eaten (by),√khād,i aor,13
khaṇati,pr,digs; digs up; uproots,√khaṇ,ati pr,3
khaṇḍicca,nt,brokenness; (comm) broken teeth,√khaṇḍ,a nt,9
khata 1.1,pp,hurt; injured,√khan,a pp,11
khattiya 2,masc,man of the ruling caste; high caste man; nobleman,,a masc,2
khandha 1,masc,mass; heap; pile; volume; aggregation,√khand,a masc,2
khandha 3,masc,aggregate; combination; conglomeration,√khand,a masc,2
khama 2,adj,fit (for); capable (of); suitable (for),√kham,a adj,11
khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); destruction (of),√khī,a masc,2
khādati,pr,chews; devours; eats,√khād,ati pr,3
khāyita 1,pp,chewed (by); bitten (by); gnawed (by),√khād,a pp,11
khāyita 2,nt,eating; chewing,√khād,a nt,11
khipi 1.1,aor,threw; tossed; hurled,√khip 1,i aor,4
khīṇa 1,pp,consumed; spent; finished; exhausted; slowly destroyed,√khī,a pp,11
khudda,adj,small; minute; tiny,,a adj,11
khuddā 1,fem,hunger,√khud,ā fem,7
khema 1,adj,well; safe; secure; at peace; at rest,√khi,a adj,11
khemī,adj,at peace; safe; secure,√khi,ī adj,5
kho,ind,indeed; surely; certainly; truly,,,13
gaccha 1,imp,go!; begone!; away with you!,√gam,ati pr,4
gacchati 1,pr,goes; walks; moves; wanders around,√gam,ati pr,3
gacchanta,prp,going; walking; travelling,√gam,anta prp,10
gaccheyya,opt,could go; would move; would walk,√gam,ati pr,7
gaṇḍa 1,masc,boil; abscess,,a masc,2
gaṇḍato,ind,as a boil; as an abscess,,,11
gaṇhati 1,pr,grabs hold (of); seizes; takes,√gah,ati pr,3
gantukāma,adj,wishing to go (to); wanting to go (to),,a adj,9
gantuṃ,inf,to go (to); to travel (to),√gam,,9
gandha 1,masc,smell; scent; odour,√ghā,a masc,2
gabbha 3,masc,room; inside room; inner chamber,,a masc,2
gamanāya,nt,to go (to); for going to see; for visiting,√gam,a nt,9
gamissati,fut,will go,√gam,issati fut,5
gayā 1,fem,name of a village,,ā fem,7
garu 3,adj,respected; esteemed,√gar 1,u adj,11
garu 5,masc,respect; honour,√gar 1,u masc,6
gavesanta,prp,seeking; searching (for); looking (for),√gaves,anta prp,10
gavesī 1,adj,seeking; searching for; looking for,√gaves,ī adj,5
gaha 2,nt,house,√gah,a nt,9
gahapati,masc,householder; landowner,,i masc,4
gahetvā 1,abs,having taken; having grabbed hold (of); having seized,√gah,,8
gahetvā 5,abs,having arrested; having taken prisoner,√gah,,8
gaḷanta,prp,flowing; dripping; trickling; oozing,√gal 1,anta prp,10
gāthā 1,fem,verse; poem; stanza,√gā,ā fem,7
gāma 1,masc,village; hamlet,,a masc,2
gāmaṇi,masc,chief; chieftain; headman; leader,,i masc,4
gāmī 2,adj,going; moving; who goes,√gam,ī adj,5
gāha 2.2,masc,hiding place,√gāh,a masc,2
gimha,masc,heat; warmth,,a masc,2
gimhāna,nt,hot season; summer,,a nt,9
gotama 1,masc,family name of the Buddha,,a masc,2
ghāna,nt,nose,√ghā,a nt,9
ca 2.1,ind,and; both,,,6
cakkhu 1,nt,eye,√cakkh,u nt,9
cakkhumant 2,masc,person with sight; who can see,√cakkh,ant masc,6
caṅkama 1,masc,walking meditation; walking up and down (in meditation),√kam 1,a masc,2
catu,card,four (4),,catu card,12
catukkhattuṃ,ind,four times,,,13
catuttha 1,ordin,fourth (4th),,aī ordin,12
caturāsīti,card,eighty four (84),,i card,12
cattārīsā,card,forty (40),,ā card,12
cattālīsā,card,forty (40),,ā card,12
carati 1.1,pr,walks; wanders; goes around; travels; fares on,√car 1,ati pr,3
caramāna,prp,walking (in); walking about (in); wandering around (in); going around (in),√car 1,māna prp,10
carituṃ 1.2,inf,to walk (in); to wander (in),√car 1,,9
caritvā 1.1,abs,having walked; having wandered,√car 1,,8
cavamāna,prp,falling away; dying,√cu,māna prp,10
cāga 1,masc,giving up; relinquishing; abandoning,√caj,a masc,2
cāga 2,masc,generosity; sharing; liberality,√caj,a masc,2
citta 1.1,nt,mind; heart,√cit 1,a nt,9
cira,adj,(of time) long,,a adj,11
cīvara,nt,robe; cloth; robe-cloth,,a nt,9
cuta 1.1,pp,passed away; died,√cu,a pp,11
ce 1,ind,if,,,13
ceteti 2,pr,intends; wills (to),√cit 1,eti pr,3
cela 2,nt,clothes; garment,√cil,a nt,9
cora,masc,thief; robber,√cur,a masc,2
cha 2.1,card,six (6),,a1 card,12
chakkhattuṃ,ind,six times,,,13
chaṭṭha,ordin,sixth (6th),,aī ordin,12
chaḍḍita,pp,thrown away; discarded; abandoned; disposed of,√chaḍḍ,a pp,11
chattiṃsā,card,thirty six (36),,ā card,12
chanda 1,masc,interest (in); desire (for); wish (for); intention (to); impulse (for),√chand,a masc,2
chanda 2,masc,(vinaya) consent; agreement; approval,√chand,a masc,2
chijjati 1,pr,is cut off; is severed,√chid,ati pr,13
chetvā 1,abs,having cut off; having severed; (comm) having killed,√chid,,8
janeti,pr,generates; produces,√jan,eti pr,14
jaya 1,nt,victory; conquest; winning,√ji 1,a nt,9
jarā,fem,old age; ageing,√jar,ā fem,7
jahati 1,pr,gives up; leaves; abandons; deserts,√hā 1,ati pr,3
jāgara,adj,awake; alert; lucid,√jāgar 1,a adj,11
jāgaranta,prp,awake; staying awake; alert; watchful; lucid,√jāgar 1,anta prp,10
jānanta,prp,knowing; being aware (of),√ñā,anta prp,10
jānāti 1,pr,knows; understands,√ñā,āti pr,3
jāneyya,opt,should know; should understand; should find out,√ñā,āti pr,7
jāyati 2,pr,arises (in); is produced (from),√jan,ati pr,13
jina 1,masc,conqueror; victor; champion; epithet of the Buddha,√ji 2,a masc,11
jināti 1,pr,conquers; overcomes; defeats,√ji 2,āti pr,3
jināti 2,pr,surpasses; beats; wins (over),√ji 2,āti pr,3
jivhā,fem,tongue,,ā fem,7
jīraṇatā,fem,old age; decrepitude; deterioration,√jīr,ā fem,7
jīrati,pr,ages; grows old; gets worn out; declines,√jīr,ati pr,3
jīvita 1,nt,life; existence,√jīv,a nt,11
jīvitukāma,adj,wishing to live; wanting to stay alive,,a adj,9
jegucchī 1,adj,who is disgusted (to); recoiling (from); who hates (to); who detests,√gup 1,ī adj,5
jhāna 2,nt,meditation; stage of meditation,√jhā,a nt,9
jhāyati 1.2,pr,meditates; contemplates,√jhā,ati pr,3
ñatvā,abs,having known; having found out; having understood,√ñā,,8
ñāṇa 2,nt,knowing (of); understanding (of); insight (into),√ñā,a nt,9
ñāti,masc,family; relative; kinsman,√ñā,i masc,4
ñāya,masc,way; means; method; system,√i 1,a masc,2
ñāyati 1,pr,is known; is evident; is perceived,√ñā,ati pr,13
ṭīkā,fem,sub-commentary; commentary on a commentary,,ā fem,7
ṭhapanīya,ptp,should be set aside; should be placed aside; should be left alone,√ṭhā,a ptp,14
ṭhassati,fut,will stand; will stay; will remain; will last,√ṭhā,ssati fut,5
ṭhāna 02,nt,reason; grounds; basis; cause,√ṭhā,a nt,9
ṭhānaso 1,ind,on the spot; right there; immediately,√ṭhā,,13
ṭhita 2,pp,stationary; stable; stabilised; motionless; immovable,√ṭhā,a pp,11
ṭhita 3,pp,remained; stayed; was,√ṭhā,a pp,11
ṭhiti 1,fem,stability; constancy; continuity; endurance; persistence; longevity,√ṭhā,i fem,8
ḍeti,pr,flies; flies up,√ḍi 1,eti pr,3
taca 1,masc,(of a humna) skin,,a masc,2
taṇḍula 1,masc,dehusked rice; (comm) grain from grass,,a masc,2
taṇhā 1,fem,craving (for); wanting; desire (for),√tas 2,ā fem,7
tatiya 1.1,ordin,third (3rd),,a ordin,12
tato 4,ind,therefore; thereupon; thereby; because of that; after that,,,8
tattha 1,ind,there; in that place,,,8
tattha 2,ind,in that regard; in that case; regarding that matter,,,8
tatra 1,ind,there; in that place,,,8
tathā,ind,so; thus; in such a way; likewise; similarly,,,13
tathāgata,masc,Such Become; Realised; being in such a state; arrived at the truth; epithet of the Buddha,,a masc,2
tayā 1,pron,by you; with you,,tvaṃ pron,5
tasa,adj,moving; mobile; (comm) with craving,√tas 1,a adj,11
tasati 1.1,pr,is afraid (of); fears,√tas 1,ati pr,3
tasmā 2,ind,therefore; that is why,,,13
tasmiṃ samaye,idiom,then; on that occasion; at that time,,,10
tasmiṃ 2,pron,when that,,ta pron,10
tassa 3,pron,when he; when it,,ta pron,10
tassa 4,ind,therefore; thus; so; because of that; regarding that,,,13
taṃ 2.1,pron,you (object),,tvaṃ pron,5
tārituṃ,inf,to cross; to cross over,√tar 1,,9
tāreti,pr,saves; rescues; helps across,√tar 1,eti pr,14
tāva 1,ind,that much; that far; as long as; to that extent; until; at least,,,9
ti 1,card,three (3),,ti card,12
tiṭṭhati 3,pr,remains; persists; lasts,√ṭhā,ati pr,3
tiṭṭhanta 1,prp,standing (in); standing still,√ṭhā,anta prp,10
tiṭṭhanta 2,prp,lasting; remaining; persisting,√ṭhā,anta prp,10
tiṭṭhamāna,prp,standing; remaining,√ṭhā,māna prp,10
tiṇa 1,nt,grass; straw,,a nt,9
tiriyaṃ 1,ind,across,√tir,,13
tila,nt,sesame seed,,a nt,9
tīra,nt,shore; riverbank; beach,√tir,a nt,9
tucchā,ind,baselessly; groundlessly; emptily,,,13
tuṇhī 3,ind,silent; quiet,,,13
tumhākaṃ 2,pron,for you all; to you all,,tvaṃ pron,5
tumhākaṃ 3,pron,of you all; yours,,tvaṃ pron,5
tumhe 1,pron,you all,,tvaṃ pron,5
tumhe 2,pron,(object) you all,,tvaṃ pron,5
tuvaṃ 1,pron,you,,tvaṃ pron,5
te 2.3,pron,for you; to you,,tvaṃ pron,5
te 2.4,pron,your; of you,,tvaṃ pron,5
tena 2,ind,thereby; because of that; on that account,,,9
tena 3,ind,there,,,9
tvaṃ 1,pron,you (subject),,tvaṃ pron,5
thāvara,adj,stationary; stable; immobile; arahant; (comm) without craving,√ṭhā,a adj,11
thullaccaya,nt,(vinaya) heavy offence; grave transgression; class of serious offences,,a nt,2
thūla 1,adj,massive; large,√thūl,a adj,11
thūla 2,adj,gross; coarse,√thūl,a adj,11
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk,√ṭhā,a masc,2
dakkha,adj,expert; skilled; able; adroit,√dakkh,a adj,11
dakkhiṇa 1,adj,right (hand side),√dakkh,a adj,11
dakkhiṇā 1,fem,gift; donation,√dakkh,ā fem,7
daṭṭhabba 1,ptp,should be seen; should be regarded as; should be understood,√dis 1,a ptp,14
daṇḍa 1,masc,stick; truncheon; nightstick; club,,a masc,2
dadāti,pr,gives (to); offers (to); donates (to),√dā 1,āti pr,3
danta 1.1,masc,tooth,,a masc,2
dasa 1.1,card,ten (10),,a1 card,12
dasama 1,ordin,tenth (10th),,aī ordin,12
dassati 1.1,fut,will give (to),√dā 1,ssati fut,5
dassanāya 2,nt,in order to visit; for the purpose of seeing,√dis 1,a nt,9
dassī 2,adj,who sees; who knows; who perceives; who understands,√dis 1,ī adj,5
dava 1.1,masc,fun; joke; play; sport; pleasure,√dū,a masc,2
dātar 1,masc,giver; donor; bestower (of),√dā 1,ar masc,6
dāna 1.1,nt,giving; offering; charity; generosity,√dā 1,a nt,9
dāna 1.2,nt,,√dā 1,a nt,9
dāni,ind,now; immediately,,,6
dāra,masc,wife,,a masc,2
dārikā,fem,girl; daughter,,ā fem,7
diṭṭha 1.1,pp,seen; found; visible,√dis 1,a pp,11
diṭṭhi 1,fem,view; belief; opinion; concept; theory; attitude,√dis 1,i fem,8
dinna 1,pp,given (to); offered (to),√dā 1,a pp,11
dinna 2,nt,offering (to); gift (to),√dā 1,a nt,11
dibba,adj,divine; heavenly; celestial,√div,a adj,11
disā 1,fem,direction; cardinal point,√dis 2,ā fem,7
dissati 1,pr,is seen; is observed; is manifest,√dis 1,ati pr,13
dissati 2,pr,seems,√dis 1,ati pr,13
disvā,abs,having seen; having understood; having found out,√dis 1,,8
divasaṃ,ind,by day; during the day; for a day,√div,,13
divā,ind,by day; during the day,√div,,13
dīghaṃ,ind,(of breathing) for a long time; deeply,,,13
dukkaṭa 3,nt,class of vinaya offence; wrong-doing,√kar,a nt,9
dukkha 2,adj,painful,√dukkh,a adj,11
dukkha 3,nt,discomfort; suffering; unease; unpleasantness; something unsatisfactory; trouble; a bummer; stress,√dukkh,a nt east,9
dukkhato 2,ind,as suffering; as pain; as discomfort,√dukkh,,11
dukkhita 1,pp,afflicted; miserable; suffering,√dukkh,a pp,11
duccarita 2,nt,misconduct; misbehaviour; bad behaviour,√car 2,a nt,9
duṭṭha 1,pp,wicked; evil; bad; corrupt,√dus 1,a pp,11
duṭṭhulla 2,adj,(of speech) rude; obscene; vulgar; coarse,√thūl,a adj,11
dutiya 1,ordin,second (2nd),,a ordin,12
dubbalya,nt,weakness; lack of strength; feebleness; incapability,√bal,a nt,9
dubbhāsita 1,adj,badly spoken; incorrectly said,√bhās 1,a adj,11
dūrato,ind,from far away; from afar,√dū,,11
dūrama,adj,difficult to delight (in); hard to enjoy,√ram 1,a adj,11
dūre 2,ind,away (from); far away (from); distant (from),√dū,,13
deti 1,pr,gives (to); donates (to); offers (to); hands (to),√dā 1,eti pr,3
desanā 3,fem,(vinaya) appointing; allocating; indicating; designating; showing,√dis 2,ā fem,14
desita 1,pp,preached (by); taught (by); explained (by); instructed (by),√dis 2,a pp,14
deseti 1,pr,preach (to); teaches (to); explains (to),√dis 2,eti pr,14
desetuṃ,inf,to preach (to); to teach (to); to explain (to),√dis 2,,14
desenta 1,prp,preaching (to); teaching (to); explaining (to); pointing out (to),√dis 2,enta prp,14
deva 1,masc,deity; god,√div,a masc,2
devatā,fem,deity; god,√div,ā fem,7
domanassa,nt,(mental) suffering; distress; dissatisfaction; dejection; depression; unhappiness; grief; negative state of mind,√man,a nt,9
dosa 1.1,masc,aversion; ill-will; hate; hatred,√dus 2,a masc,2
dvādasa 1,card,twelve (12),,a1 card,12
dhaja 1,masc,flag; banner,√dhaj,a masc,2
dhana 1,nt,wealth; riches; treasure,√dhan 1,a nt,9
dhamma 1.01,masc,nature; character,√dhar 1,a masc,2
dhamma 1.02,masc,quality; characteristic; trait; inherent quality,√dhar 1,a masc,2
dhamma 1.03,masc,teaching; discourse; doctrine,√dhar 1,a masc,2
dhamma 1.05,masc,mental states,√dhar 1,a masc,2
dhamma 1.06,masc,matter; thing; phenomena,√dhar 1,a masc,2
dhamma 1.09,masc,law; case; rule; legal process,√dhar 1,a masc,2
dhamma 1.14,masc,act; practice,√dhar 1,a masc,2
dhammika 2,adj,righteous; just,√dhar 1,a adj,11
dhammī 1,adj,righteous; religious; moral; related to the Dhamma,√dhar 1,ī adj,5
dhātu 1,fem,state; property; condition; element,√dhā,u fem,8
dhāretabba 2,ptp,should be kept; should be stored,√dhar 2,a ptp,14
dhāreti 3,pr,bears in mind; keeps in mind; remembers,√dhar 2,eti pr,3
dhāressati,fut,will bear in mind; will keep in mind; will remembers,√dhar 2,eti pr,5
dhītar,fem,daughter,,ar fem,8
dhuva 1,adj,stable; enduring; permanent; eternal; everlasting,√dhuv,a adj,11
dhūta 1,nt,ascetic practice,√dhū,a nt,11
dheyya 1,nt,realm (of); sphere (of); power (of); influence (of),√dhā,a nt,14
na sukaraṃ,idiom,it is not easy (to); it is not easy to make,,,9
na 1,ind,no; not; neither; nor,,,5
nakkhatta 1,nt,constellation; zodiac; celestial object,√nakkh,a nt,9
nakha 1,masc,fingernail; toenail,,a masc,2
natthi 1,pr,is not; it is not; there is not; there is no; there is nothing,√as 1,natthi pr,5
natthi 2,pr,does not exist; no longer exists,√as 1,natthi pr,5
natthitā,fem,nonexistence; idea of nonexistence; absence,√as 1,ā fem,7
nanu,ind,surely?; but wouldn’t?; is it true?; wasn’t?,,,9
nanvāgameti,pr,does not follow around; does not return (to); does not revive; does not relive,√gam,eti pr,14
nappaṭikaṅkhati,pr,does not anticipate; does not expect; does not await; does not personally wish (for),√kaṅkh 1,ati pr,5
nappaṭikaroti,pr,does not make amends; does not redress; does not remedy; does not correct oneself,√kar,oti pr,5
nara,masc,man; person,,a masc,2
nava 1.1,adj,new; fresh,,a adj,11
nava 2.1,card,nine (9),,a1 card,12
navama,ordin,ninth (9th),,aī ordin,12
nahāyati,pr,takes a bath; bathes; washes,√nhā,ati pr,3
nahāru,masc,tendon; sinew,√nah,u masc,6
nādhiṭṭhāti,pr,does not stand firmly; does not take a stand; does not make up one’s mind; does not fixate,√ṭhā,āti pr,5
nādhivāseti,pr,does not tolerate; does not accept; does not endure,√vas 1,eti pr,14
nānvāgameti,pr,does not follow around; does not return (to); does not revive; does not relive,√gam,eti pr,14
nābhijānāti 1,pr,does not know; does not understand,√ñā,āti pr,5
nāma 2,ind,called; means; by the name of; namely,,,13
nāma 4,nt,name,,a nt,9
nāma 5,nt,"mental objects of consciousness; mentality; mental factors of feeling, perception, intention, contact and attention",,a nt,9
nārī,fem,woman,,ī fem,8
nāsakkhi,aor,was unable (to); was incapable (of); was not possible (to),√sak,i aor issaṃ,5
nikkhāmetvā,abs,having ejected (from); having expelled (from),√kam 1,,14
nikkhipati 2,pr,puts down; places down; lays down,√khip 1,ati pr,3
nikkhipati 3,pr,keeps; stores; saves; sets aside; lays aside,√khip 1,ati pr,3
nicca 1,adj,permanent; lasting; continuous; ordered; stable; reliable; regular; immutable,,a adj,11
nidāna 1,nt,source; origin; foundation; cause; reason,√dā 3,a nt,9
niddā,fem,sleep; (comm) sleeping too much,√dā 5,ā fem,7
niddisi 1,aor,indicated; pointed out; designated; appointed,√dis 2,i aor,4
nidhi 1,masc,treasure; trove; hoard,√dhā,i masc,4
nipāteti 1,pr,lets fall; drops,√pat 1,eti pr,14
nibbāna 2,nt,(of mental defilement) complete quenching; total emancipation; complete cooling,√vā,a nt,9
nibbidā,fem,dis-enchantment (towards); de-illusionment (with); disinterest (in); dispassion (towards),√vid 3,ā fem,7
nibbindati 1,pr,is dis-enchanted (with); is disinterested (in); is disillusioned (by); loses interest (in); is dispassionate (towards),√vid 3,ati pr,3
nibbindanta,prp,being disenchanted (by); being disinterested (in); being disillusioned (by); losing interest (in),√vid 3,anta prp,10
nibbindituṃ,inf,to become dis-enchanted (with); to become disinterested (in); to be disillusioned (with); to lose interest (in),√vid 3,,9
nimitta 1,nt,mark; sign; symbol; indication,√mā,a nt,9
niraya,masc,hell; hell realm,√i 1,a masc,5
nirujjhati,pr,dissolves; finishes; stops; ceases; vanishes,√rudh 1,ati pr,13
nirujjhamāna,prp,dissolving; stopping; ending; ceasing; disappearing; vanishing,√rudh 1,māna prp,13
nirodha,masc,ending (of); cessation (of); termination (of); finishing (of),√rudh 1,a masc,2
nisajja,ger,sitting down,√sad,,8
nisajjā 1,fem,sitting; sitting down,√sad,ā fem,7
nisinna 1,pp,seated,√sad,a pp,11
nisīdati,pr,sits (on); sits down (in),√sad,ati pr,3
nisīdi,aor,sat (on); sat down (in),√sad,i aor isuṃ,4
nissaggiya 1,ptp,involving relinquishment; to be given up; to be forfeited,√sajj 1,a ptp,14
nissajjitabba,ptp,should be given up (to); to be handed over (to); should be relinquished (to),√sajj 1,a ptp,14
nissaya 1,masc,dependency; physical support; reliance; something one depends on,√si 1,a masc,2
nivāsa 1.3,masc,life; existence,√vas 1,a masc,2
nīyati 1.1,pr,is led (by); is led astray (by); is led about (by),√nī,ati pr,13
nīvaraṇa 1,masc,obstacle; obstruction; barrier; hindrance,√var 1,a masc,2
nu,ind,(adds a question mark) surely?; didn’t?; wouldn't?; which?,,,9
neti 1.1,pr,leads; carries away; takes away,√nī,eti pr,3
no 1.1,ind,no; not,,,5
no 1.3,ind,then; now; indeed,,,5
no 2.1,pron,us (object),,ahaṃ pron,5
no 2.3,pron,for us; to us,,ahaṃ pron,5
no 2.4,pron,our,,ahaṃ pron,5
pakāseti 2,pr,explains; illustrates; illuminates; reveals; teaches,√kās 1,eti pr,14
pakkamati 1,pr,goes (from); goes away (from); leaves (from),√kam 1,ati pr,3
pakkamanta,prp,going away (from); leaving (from); departing (from),√kam 1,anta prp,10
pakkāmi 1,aor,left; set off (from); went away (from),√kam 1,i aor isuṃ,4
pakkhandati 1,pr,takes to it; gets it; gains confidence; is inspired; is eager,√khand,ati pr,3
pakkhī,masc,bird,,ī masc,5
paggaṇhāti 2,pr,holds up; raises up,√gah,āti pr,3
paggaṇhāti 3,pr,applies effort; strives on; goes for it; endeavours,√gah,āti pr,3
paggaha 3,masc,donation; handout; give-away,√gah,a masc,2
paggahetvā 2,abs,having raised up; having lifted up,√gah,,8
pacālaka 1,adj,swinging; swaying; shaking; nodding,√cal,a adj,11
paccakkhāna,nt,denial; refusal; rejection,√khā,a nt,9
paccattaṃ,ind,for oneself; individually; personally; exclusively,,,13
paccaya 1,masc,support; requisite; necessity,√i 1,a masc,2
paccaya 2,masc,cause (for); reason (for); supporting condition (for); requirement (for),√i 1,a masc,2
paccassosi,aor,replied (to); agreed (with),√su 1,i aor,4
paccavekkhitabba,ptp,should be considered; should be reviewed; should be contemplated; should be reflected (on),√ikkh,a ptp,14
paccāsā,fem,expectation; hope; anticipation,√is,ā fem,7
pacchato 2,ind,behind; backwards,,,11
pacchā 1,ind,afterwards; later; in the future,,,6
pajahati,pr,gives up; abandons; lets go (of),√hā 1,ati pr,3
pajā 2,fem,people; population; generation; mankind,√jan,ā fem,7
pajānāti,pr,knows; knows clearly; understands; distinguishes,√ñā,āti pr,3
pajjunna,masc,name of a deity; god of rain; rain cloud,,a masc,2
pañca,card,five (5),,a1 card,12
pañcakkhattuṃ,ind,five times,,,13
pañcama,ordin,fifth (5th),,aī ordin,12
paññatta 2,pp,(of a rule) formulated; prescribed; decreed; declared,√ñā,a pp,14
paññapetuṃ,inf,to define; to delineate; to describe,√ñā,,14
paññavant,adj,wise; intelligent; discerning; insightful; percipient,√ñā,ant adj,6
paññā 1,fem,wisdom; knowledge; understanding; insight; distinctive knowledge,√ñā,ā fem,7
paññāpeti 3,pr,is evident,√ñā,eti pr,14
paññāsā,card,fifty (50),,ā card,12
