pali_1,pos,meaning_1,root,pattern,sbs_class
paccakkhāna,nt,denial; refusal; rejection,√khā,a nt,9
paccaya 1,masc,support; requisite; necessity,√i 1,a masc,2
paccaya 2,masc,cause (for); reason (for); supporting condition (for); requirement (for),√i 1,a masc,2
paccassosi,aor,replied (to); agreed (with),√su 1,i aor,4
paccāsā,fem,expectation; hope; anticipation,√is,ā fem,7
pacchā 1,ind,afterwards; later; in the future,,,6
pajahati,pr,gives up; abandons; lets go (of),√hā 1,ati pr,3
pajā 2,fem,people; population; generation; mankind,√jan,ā fem,7
pajānāti,pr,knows; knows clearly; understands; distinguishes,√ñā,āti pr,3
pajjunna,masc,name of a deity; god of rain; rain cloud,,a masc,2
paññavant,adj,wise; intelligent; discerning; insightful; percipient,√ñā,ant adj,6
paññā 1,fem,wisdom; knowledge; understanding; insight; distinctive knowledge,√ñā,ā fem,7
pañha 2,masc,question; enquiry,√pañh,a masc,2
paṭiggaṇhāti 1,pr,takes; accepts; receives,√gah,āti pr,3
paṭiggaheti,pr,takes; accepts; receives,√gah,eti pr,3
paṭiggahetvā 2,abs,having received; having accepted,√gah,,8
paṭighāta 1,masc,warding off; repelling; driving off,√ghaṭ 1,a masc,2
paṭijānāti 3,pr,makes the claim (of); claims (to be),√ñā,āti pr,3
paṭinissagga,masc,giving up (of); relinquishing (of); dropping (of); abandoning (of),√sajj 1,a masc,2
paṭinivattitvā,abs,having turned around and come back (from),√vatt,,8
paṭipajjati 2,pr,practices; follows a course of action; follows a method,√pad,ati pr,3
paṭibhāti,pr,comes to mind; occurs (to),√bhā,āti pr,3
paṭilabhati 1,pr,obtains; gets; receives; personally experiences,√labh,ati pr,3
paṭisaṃvedī,adj,experiencing; feeling; sensitive to,√vid 1,ī adj,5
paṭisaṃvedeti,pr,personally experiences; undergoes; feels,√vid 1,eti pr,3
paṭisevati 1,pr,practices; indulges (in); engages (in),√sev,ati pr,3
paṭisevati 2,pr,uses; makes use (of),√sev,ati pr,3
paṭisevanta 1,prp,practising; indulging (in); engaging (in),√sev,anta prp,10
paṭivineti,pr,drives out; dispels; gets rid of; subdues,√nī,eti pr,3
paṭhavī,fem,earth; world,√path 2,ī fem,8
paṇidhāya 1,ger,guiding; directing; determining; setting,√dhā,,8
paṇḍita 2,masc,sage; intelligent person; wise man; smart person,,a masc east,2
patta 1.1,masc,bowl; alms bowl; begging bowl,√pā 1,a masc,2
patthayamāna 1,prp,wishing (for); aspiring (for),√atth,māna prp,10
patvā 1,abs,having reached; having arrived (at),√ap,,8
patha 2,masc,range; mode; way,√path 1,a masc,2
padahati 1,pr,exerts oneself; strives; applies oneself; endeavours,√dhā,ati pr,3
panūdati,pr,dispels; drives out; rejects; pushes away,√nud,ati pr,3
papañca,masc,various opinions; proliferation; endless conceptualization,√pañc,a masc,2
pabbajati,pr,ordains as a monastic; renounces the household life,√vaj,ati pr,3
pabbajjā,fem,(vinaya) ordination; renunciation; becoming a monastic,√vaj,ā fem,7
pamāṇa 3,nt,measure; measurement; length; size; amount; quantity,√mā,a nt,9
pamāda,masc,carelessness; negligence; heedlessness,√mad,a masc,2
para 1,pron,other; another (person),,a pron,10
parikkhāra 1,masc,requisite; requirement; necessity; accessory; everyday item,√kar,a masc,2
paricarati 3,pr,enjoys; indulges; has sex with,√car 1,ati pr,3
pariṇāyaka 2,masc,leader; who shows the way,√nī,a masc,2
parideva,masc,lamentation; wailing; crying,√dev,a masc,2
paridevi,aor,mourned; lamented; wailed,√dev,i aor,4
parinibbāna 1,nt,(of mental defilement) complete quenching; total emancipation; complete cooling,√vā,a nt,9
parinibbāyati 1,pr,(of mental defilement) is completely quenched; is entirely emancipated; is completely cooled,√vā,ati pr,3
paripāka 1,masc,decay; deterioration,√pac,a masc,2
paripucchati,pr,asks about; questions; interrogates; enquires,√pucch,ati pr,3
paribbājaka,masc,homeless spiritual seeker; wandering ascetic,√vaj,a masc,2
pariyāya 4,masc,way; nature; habit; property; quality,√i 1,a masc,2
parivīmaṃsā,fem,thorough investigation; complete examination,√man,ā fem,7
pallaṅka 2,masc,cross-legged sitting position; meditation posture,√añc,a masc,2
passa 1.1,nt,(of the body) side; rib,,a nt,9
passa 2.1,imp,see!; look (at)!,√dis 1,ati pr,4
passati 1,pr,sees,√dis 1,ati pr,3
passati 2,pr,understands; gets,√dis 1,ati pr,3
passaddhi,fem,calm; tranquillity; tranquillization; peace; stillness; serenity,√sambh 1,i fem,8
passanta 1,prp,seeing,√dis 1,anta prp,10
passasati,pr,exhales; breathes out,√sas 1,ati pr,3
passasanta,prp,exhaling; breathing out,√sas 1,anta prp,10
passasissati,fut,will exhale; will breathe out,√sas 1,ati pr,5
passāva,masc,urine,√su 2,a masc,2
passeyya 1,opt,could see; would see,√dis 1,ati pr,7
pavaḍḍhati 1,pr,increases; develops; grows,√vaḍḍh,ati pr,3
pavattar 1,masc,proclaimer (of); who tells about; who points out,√vac,ar masc,6
pavana 1.1,nt,woodland; forest,,a nt,9
pavāraṇā 2,fem,(vinaya) invitation ceremony at the end of the rains retreat,√var 2,ā fem,7
pavicaranta,prp,,√car 1,anta prp,10
pavisati,pr,enters; goes (into),√vis 1,ati pr,3
pahoti 2,pr,is able (to); is capable (of); is qualified (to),√hū,hoti pr,4
pācittiya 1,nt,(vinaya) offence requiring confession,,a nt,9
pātimokkha 2,masc,(vinaya) precepts for Buddhist monastics,√mokkh,a masc,2
pāturahosi,aor,appeared; manifested,,hosi aor,4
pāda 1,masc,foot,√pad,a masc,2
pāpuṇāti 1,pr,reaches; arrives (at); comes (to),√ap,āti pr,3
pāmojja,nt,joy; happiness; gladness,√mud,a nt,9
pāra 1.1,nt,far side; far shore; bank on the other side; epithet of Nibbāna,,a nt,9
pārājika 3,nt,(vinaya) offence involving defeat; transgression requiring expulsion,√ji 1,a nt,9
pāripūrī,fem,,√pūr,ī fem,8
pālicca,nt,hoariness; grey hair,,a nt,9
piṇḍāya,masc,for alms; to collect alms food,√piṇḍ,a masc,9
pitar,masc,father,,ar2 masc,6
pipāsā,fem,thirst (for),√pā 1,ā fem,7
pīti 1.1,fem,delight; heartfelt joy; pleasure; feeling of love,√pī,i fem,8
puggala,masc,person; individual,,a masc,2
pucchati,pr,asks; enquires; questions,√pucch,ati pr,3
pucchi,aor,asked; enquired; questioned,√pucch,i aor,4
puñña 1,nt,merit; good deed; spiritual wealth,√puṇ,a nt,9
putta 1,masc,son; child,,a masc,2
puthujjana,masc,common man; ordinary man; normal person; man in the street,,a masc,2
punabbhava,masc,appearing again; renewed existence; rebirth; future life,,a masc,3
puppha 1,nt,flower,√pupph,a nt,9
pubbe 1,ind,before; previously; formerly; in the past,,,6
purato,ind,in front (of),,,8
purisa 1,masc,man; person,,a masc,2
pure 2,ind,formerly; previously; in the past,,,6
pūjeti 1,pr,worships; honours; respects,√pūj,eti pr,3
petī,fem,female ghost; female spirit,√i 1,ī fem,8
pessaka,masc,messenger,√pis 1,a masc,2
phassa 1,masc,contact; sense impingement; raw experience; touch,√phus 1,a masc,2
phāsu 2,masc,ease (for); comfort (for),√phus 1,u masc,6
bandhati 1,pr,binds; ties up; imprisons; confines,√bandh,ati pr,3
bala 1,nt,strength; power; might,√bal,a nt,9
bala 2,nt,mental power; Dhamma strength,√bal,a nt,9
balavant 1,adj,strong; powerful,√bal,ant adj,6
balibadda,masc,ox; bull,,a masc,2
balibaddha,masc,ox; bull,,a masc,2
bahujanasukhāya,nt,for the comfort of many people; for the ease of the masses,,a nt,9
bahujanahitāya,nt,for the benefit of many people; for the good of the population,,a nt,9
bārāṇasī 1,fem,name of a city; modern Varanasi,,ī fem,8
bāla 2,masc,fool; idiot; immature person,,a masc east,2
bāhā 1,fem,arm; forearm,√bah 2,ā fem,7
bāhu,masc,arm; forearm,√bah 2,u masc,6
bojjhaṅga 1,masc,element of awakening; factor of enlightenment,,a masc,2
byākarissati,fut,will explain; will define; will describe,√kar,oti pr,5
byākāsi 1,aor,answered; replied,√kar,āsi aor,4
byādhi,masc,sickness; disease; illness,√dhā,i masc,4
brahmacariya 1,nt,spiritual path; spiritual practice; holy life; celibacy,,a nt,9
brahmacārī 2,masc,celibate man; who abstains from sexual intercourse,,ī masc,5
brāhmaṇa 1,masc,Brahman; priest; man of the Brahman caste,√brah,a masc,2
brāhmaṇa 2,masc,arahant; awakened being; saint; paragon,√brah,a masc,2
brūhi,imp,say!; tell!; speak!,√brū,brūti pr,4
bhagavant 1,masc,Sublime One; Blessed One; Fortunate One; Auspicious One; epithet of the Buddha,√bhaj 1,ant masc,6
bhajati 1.1,pr,associates (with); keeps company (with),√bhaj 2,ati pr,3
bhaṇati 1,pr,speaks; says; tells,√bhaṇ,ati pr,3
bhaya 3,nt,danger (of; from); peril (of; from),√bhī,a nt,9
bhava 2,masc,being; becoming; existence,√bhū,a masc,2
bhavati 1,pr,is; is being; becomes,√bhū,ati pr,3
bhavissati 1,fut,could be; should be,√bhū,issati fut,5
bhātar,masc,brother,,ar2 masc,6
bhāsati 1.1,pr,speaks (about); talks (about),√bhās 1,ati pr,3
bhikkhu,masc,monk; monastic; mendicant; fully ordained monk,√bhikkh,u masc,6
bhikkhunī,fem,nun; fully ordained nun,√bhikkh,ī fem,8
bhuñjati 1,pr,eats; consumes,√bhuj 1,ati pr,3
bheda 1,masc,death,√bhid,a masc,2
bheda 2,masc,(vinaya) schism; split; breakup,√bhid,a masc,2
bhesajja,nt,medicine; remedy; tonic; drug,,a nt,9
bhoga 1.1,masc,wealth; possessions; property; riches,√bhuj 1,a masc,2
bhogī 1.1,adj,enjoying; using; experiencing; partaking in,√bhuj 1,ī adj,5
bhojana 2,nt,eating; taking food,√bhuj 1,a nt,9
makkaṭa,masc,monkey; ape,,a masc,2
magga 1,masc,road; path; track; way,√magg,a masc,2
magga 2,masc,way; means; method,√magg,a masc,2
maṅgala 1,nt,what is auspicious; blessing; good omen; prosperity,√maṅg,a nt,9
maccu,masc,death; Death,√mar,u masc,6
maññati 1,pr,thinks; imagines; conceives; presumes; supposes,√man,ati pr,3
maṇḍana,nt,adorning; embellishing; beautifying oneself,√maṇḍ,a nt,9
mattaññū,adj,knowing the correct measure (in); knowing the limit (in); moderate (in),,ū adj,6
mada 1,masc,excess; pleasure; indulgence,√mad,a masc,2
manasikāra,masc,attention; bringing-to-mind; observation; noticing; focussing,,a masc,2
manussa,masc,human being; man; person,,a masc,2
mama 2,pron,my; mine; of me,,ahaṃ pron,5
mayaṃ 1,pron,we,,ahaṃ pron,5
mayā 1,pron,by me; with me,,ahaṃ pron,5
maraṇa,nt,death; dying,√mar,a nt,9
mallā,masc,name of the people of Malla; Mallans,,a masc pl,2
maṃ 1,pron,me (object),,ahaṃ pron,5
maṃsa 1,nt,meat; flesh,,a nt,9
mā 1.1,ind,do not; may one not; don’t let,,,5
māṇava 1,masc,young man; young gentleman; young Brahman,,a masc,2
mātar,fem,mother,,mātar fem,8
mātāpitar,masc,mother and father; parents,,ar2 masc,6
māna 1.1,masc,pride; conceit; egotism; superiority; comparing oneself,√man,a masc,2
māra,masc,death; Death; death personified,√mar,a masc,2
māsa 2.1,masc,bean,,a masc,2
mugga,masc,mung beans,√mud,a masc,2
muñcitvā 1,abs,having released; having let go,√muc,,8
muditā,fem,happiness (for); appreciation; sympathetic joy,√mud,ā fem,7
muni 1,masc,monk; sage; seer; hermit; silent sage,√mun,i masc,4
mūla 1,nt,(of a tree) root; base; foot,√mūl,a nt,9
mūla 2,nt,source; origin; root,√mūl,a nt,9
me 2,pron,by me,,ahaṃ pron,5
me 3,pron,to me; for me,,ahaṃ pron,5
me 5,pron,my; mine,,ahaṃ pron,5
mettā,fem,goodwill (towards); friendliness (to); benevolence (for),√mitt,ā fem,7
medhāvī,masc,intelligent man; wise man; who has good judgment,√medh 1,ī masc,5
moggallāna 1,masc,name of a monk; chief disciple; great disciple of the Buddha; foremost disciple in psychic power,,a masc,2
moha 1,masc,illusion; delusion; hallucination,√muh,a masc,2
yakkhī,fem,female supernatural being; female spirit; daemoness,√yakkh,ī fem,8
yato 2,ind,since; because; due to the fact that,,,8
yattha,ind,wherever; where; when; in which,,,8
yadā,ind,when; whenever,,,6
yamaka 2,masc,name of a monk,√yam 2,a masc,2
yasassī 1,adj,famous; renowned; illustrious; celebrated,,ī adj,5
yasmiṃ samaye,idiom,whenever; at whichever time,,,10
yāgu,fem,rice gruel; congee,,u fem,8
yācati 1,pr,asks (for); begs (for); requests,√yāc,ati pr,3
yāma 1,masc,watch (of the night); one eighth of the day; about three hours,√yam 1,a masc,2
yāva 1,ind,as long as; as far as; so much so; up to; until; from … to,,,9
yena 2,ind,because of; because of which,,,9
yena 3,ind,where; wherever; in which direction; to; towards,,,9
yogī,masc,meditator; practitioner,√yuj,ī masc,5
rakkhati 1,pr,protects; guards; watches over,√rakkh,ati pr,3
rattaññū,adj,old; experienced; of long standing,,ū adj,6
rasa 1,masc,taste; flavour,√ras,a masc,2
rāga 1.1,masc,desire (for); passion (for); infatuation (with); lust (for),√raj 1,a masc,2
rāhula,masc,name of an arahant monk; Buddha's son,,a masc,2
rukkha 1,masc,tree,,a masc,2
ruci,fem,liking; preference; choice; inclination; approval,√ruc,i fem,8
rūpa 1,nt,matter; material thing; materiality; experience of material world; physical objects of consciousness; first of the five aggregates,√rūp,a nt,9
rūpa 3,nt,(object of the eye) form; material form; shape; sight,√rūp,a nt,9
labhati 1,pr,gets; receives; obtains,√labh,ati pr,3
loka 1,masc,world; universe; cosmos,√lok,a masc,2
loka 2,masc,world; plane of existence,√lok,a masc,2
lokavidū,masc,who understands the world; who knows the world; epithet of the Buddha,,ū masc,6
loma 1,masc,body hair,,a masc,2
lohita 1,nt,blood,,a nt,9
sakadāgāmī,adj,once-returner; who has attained the second stage of the path,,ī adj,5
sakuṇa,masc,bird,,a masc,2
sakka 3,masc,Sakyan; man of the Sakyan race,√sak,a masc,2
sakkaroti,pr,honours; esteems; respects,,oti pr,4
sakkā nu,idiom,is it possible (to)?; is one able (to)?,,,9
sakkā 1,ind,it is possible (to); one is able (to),√sak,,9
sakkuṇāti,pr,is able (to),√sak,āti pr,3
sakkoti,pr,is able (to),√sak,oti pr,3
saṅkhāra 1,masc,intention; volitional formation; choice; karmic activity,√kar,a masc,2
saṅkhāra 3,masc,mental formation; mental activity; thought processes; fourth of the five aggregates,√kar,a masc,2
saṅgara 1,masc,dealing; bargaining; negotiating; transacting,√gir 2,a masc,2
saṅgaha 1,masc,support (of); maintenance (of); looking after,√gah,a masc,2
saṅgha 1,masc,community; monastic order; assembly of monks,√ghaṭ 2,a masc,2
saṅghāṭi 1,fem,outer robe; double robe; patchwork robe,√ghaṭ 2,i fem,8
saṅghādisesa 2,masc,offence requiring suspension,,a masc,2
sacca 2,nt,truth,√as 1,a nt,9
sacchikiriyā,fem,personal experience (of); intimate experience (of); personal realization (of),,ā fem,7
sañcaritta,nt,matchmaking; carrying proposals,√car 1,a nt,9
saññā 1,fem,perception; conception; recognition; third of the five aggregates,√ñā,ā fem,7
sati 1.2,fem,mindfulness; presence; recollection; awareness,√sar 2,i fem,8
sati 2.1,prp,when is; when exists,√as 1,santa prp,10
satipaṭṭhāna 1,masc,attending mindfully; being present with mindfulness,,a masc,2
satimant 1,adj,mindful; fully present; attentive,√sar 2,ant adj,6
sato,prp,when being; when is; when are,√as 1,santa prp,10
satta 2.1,masc,being; living being; creature,√as 1,a masc,2
satthar 1,masc,master; teacher,√sās,ar masc,6
sadā,ind,always; ever; all the time,,,6
saddhā 1,fem,faith (in); belief (in); trust (in),√dhā,ā fem,7
saddhiṃ,ind,together (with); with,,,5
santa 1.1,prp,existing; being; there is,√as 1,santa prp,10
sabba 1,pron,all; every,,a pron,10
sabbattha 1,ind,everywhere; every place,,,8
sabbavidū 1,adj,all-knowing; omniscient,,ū adj,6
sabbābhibhū,adj,all conquering; victorious over everything,,ū adj,6
sabrahmacārī,masc,fellow monk; spiritual companion,,ī masc,5
samaṇa 1,masc,ascetic; renunciant; holy man; monk; recluse,√sam 2,a masc,2
samatikkama,masc,surpassing (of); overcoming (of); going beyond; transcendence,√kam 1,a masc,2
samatha 1.1,masc,stilling (of); serenity (of); calming (of); settling (of); peace (of); (comm) mental unification,√sam 1,a masc,2
samanupassanta,prp,seeing; perceiving,√dis 1,anta prp,10
samanupassituṃ,inf,to see (as); to regard (as); to consider (as),√dis 1,,9
samaya 1.1,masc,time; occasion,√i 1,a masc,2
samācare,opt,,√car 2,ati pr,7
samādāya 2,ger,undertaking; taking up; accepting,√ādā,,8
samādhi 1,masc,perfect peace of mind; stability of mind; stillness of mind; mental composure,√dhā,i masc,4
samāpajjati 2,pr,engages (in); practices; performs,√pad,ati pr,3
samāpajjitvā,abs,having entered; having attained,√pad,,8
samāpatti 1,fem,attainment; meditation attainment,√pad,i fem,8
samuttejetvā,abs,having fired up; having enthused,√tij 1,,8
samudaya 1,masc,source; origination; appearance,√i 1,a masc,2
samudda,masc,sea; ocean,√ud,a masc,2
samuppāda 2,masc,issue; conflict; something which arises,√pad,a masc,2
sameti 2.2,pr,agrees (with); matches (with); fits (with); fits in (with),√i 1,eti pr,3
sampajañña 1,nt,attentiveness; clear awareness; full comprehension,√ñā,a nt,9
sampassamāna,prp,seeing; observing; considering,√dis 1,māna prp,10
sambodha,masc,full awakening; perfect understanding; enlightenment,√budh,a masc,2
sammodamāna,prp,being friendly; being on good terms,√mud,māna prp,10
sammodi,aor,greeted; exchanged pleasantries; had a friendly conversation (with),√mud,i aor,4
sayāna,prp,lying down,√sī,āna prp,10
saraṇa 2.1,nt,shelter; refuge; help,√sar 1,a nt,9
saritvā 1.1,abs,having remembered; having recollected,√sar 2,,8
sarīra 1,nt,body,,a nt,9
saha 1.2,ind,with; together (with); accompanied (by),,,5
sahāya,masc,friend; companion; ally; fellow traveller,,a masc,2
saṃvattati,pr,leads (to); results (in); causes,√vatt,ati pr,3
saṃvara 1,masc,control (according to); restraint (according to); holding back (according to),√var 1,a masc,2
saṃvara 2,masc,control (over); restraint (of); holding back (of),√var 1,a masc,2
saṃvidhātuṃ,inf,to organize; to arrange; to take care of,√dhā,,9
sākhā 1,fem,branch,,ā fem,7
sāyitvā,abs,having tasted,√sāy,,8
sāriputta,masc,name of an arahant monk; chief disciple; great disciple of the Buddha; foremost disciple in great wisdom,,a masc,2
sāli,masc,fine rice,,i masc,4
sāsana 1,nt,message; letter,√sās,a nt,9
sāvaka,masc,disciple; pupil; follower,√su 1,a masc,2
sāvatthī,fem,name of a city; capital of Kosala,√su 2,ī fem,8
sikkhati 2,pr,trains (in); trains (for the purpose of); practices (for the sake of); practice (to),√sikkh,ati pr,3
sikkhā 2,fem,training (in); practice (in),√sikkh,ā fem,7
sikkhāpada,nt,precept; instruction; training rule,,a nt,9
sippika 1.1,masc,craftsman; artisan,,a masc,2
siyaṃ,opt,I could be; may I be; I might be; I should be,√as 1,siyā opt,7
siyā 2,opt,there could be,√as 1,siyā opt,7
siyuṃ,opt,they would be; there could be,√as 1,siyā opt,7
sīmā 2,fem,(vinaya) boundary in which legal procedures are performed,,ā fem,7
sīla 1,nt,ethical conduct; virtue; moral integrity,√sīl,a nt,9
sīlavant,adj,virtuous; ethical; moral,√sīl,ant adj,6
sīha 1,masc,lion,,a masc,2
sukha 2,nt,ease; comfort; happiness; pleasure; contentment,√sukh,a nt east,9
sukhakāma,adj,wishing for ease; desiring comfort,,a adj,9
sukhāya,nt,comfortable (for),√sukh,a nt,9
sukhī 2,masc,happy one; who is at ease; who is happy; who is comfortable,√sukh,ī masc,5
sugata 2,masc,Accomplished One; Fortunate One; epithet of the Buddha,√gam,a masc,2
sugati,fem,good destination; happy fate,√gam,i fem,8
suṇāti 1,pr,hears,√su 1,āti pr,3
suṇātu,imp,one must listen!; it must hear!,√su 1,āti pr,4
sutta 2.1,nt,scripture; discourse; sacred text,√siv 1,a nt,9
sutvā,abs,having heard; having listened (to),√su 1,,8
suriya 1,masc,sun,√sur,a masc,2
suve,ind,tomorrow,,,6
sekkha,masc,trainee; apprentice; learner; (comm) seven stages of a noble person before arahantship,√sikkh,a masc,2
sekha,masc,trainee; apprentice; learner; initiate; (comm) seven stages of a noble person before arahantship,√sikkh,a masc,2
seti 2,pr,sleeps,√sī,eti pr,3
senā,fem,army; military,,ā fem,7
soka,masc,grief; sorrow; sadness,√suc 1,a masc,2
soci,aor,grieved; was sad,√suc 1,i aor,4
sota 1.1,masc,stream; river; current,√su 2,a masc,2
sotthāna,nt,safety; sanctuary; well-fare; well-being; blessing,√as 1,a nt,9
sobhati 2,pr,looks beautiful (in),√subh,ati pr,3
somanassa,nt,(mental) pleasure; happiness; gladness; joy; positive state of mind,√man,a nt,9
soracca,nt,kindness; gentleness; compassion; (comm) good conduct,√ram 1,a nt,9
vaccha 1.1,masc,calf; yearling; young animal,,a masc,2
vajjavant,adj,,√vajj,ant adj,6
vaḍḍhati,pr,increases (in); grows (in); develops (in),√vaḍḍh,ati pr,3
vatta 1.1,nt,custom; practice; way of life; behaviour,√vatt,a nt,9
vattati 1,pr,proceeds; continues; goes forward; practices,√vatt,ati pr,3
vattha 1.1,nt,cloth; clothes; robe,√vas 2,a nt,9
vatthu 2,nt,site; location; base; grounds,√vas 1,u nt,9
vadati 1,pr,says (to); speaks (to); tells (to),√vad 1,ati pr,3
vadeyya,opt,,√vad 1,ati pr,7
vanatha 2.1,masc,desire; craving,√van,a masc,2
vasa 1.2,masc,control (over); authority (over); power (over); mastery (over),√vas 3,a masc,2
vassa 2,masc,rainy season; monsoon,√vass 1,a masc,2
vā 1,ind,or; either or,,,6
vāṇija,masc,trader; dealer,,a masc,2
vādī 1,adj,speaking; saying; telling,√vad 1,ī adj,5
vāyamati,pr,tries (to); makes an effort (to); strives (for); exerts oneself (to),√yam 1,ati pr,3
vikappa 1.1,masc,alteration (to); improvement (to); distinction (regarding),√kapp 1,a masc,2
vicikicchituṃ,inf,to doubt; to be uncertain,√cit 1,,9
vijjā 1,fem,knowledge; wisdom; understanding,√vid 5,ā fem,7
viññāṇa 1,nt,awareness; consciousness; mind; fifth of the five aggregates,√ñā,a nt,9
viññū 1,adj,wise; intelligent; discerning; knowledgeable,√ñā,ū adj,6
vitakka 1,masc,thought; reflection; pondering,√takk,a masc,2
vidū 1,adj,wise; knowing; understanding,√vid 2,ū adj,6
vinaya 1,masc,discipline; training,√nī,a masc,2
vinipāta,masc,state of suffering; purgatory; underworld,√pat 1,a masc,2
vineyya 1,ger,removing; getting rid (of),√nī,,8
vipassanā,fem,insight; penetrating internal vision; introspection,√dis 1,ā fem,7
vipāka 1,masc,(of an action) result; outcome; consequence; fruit,√pac,a masc,2
vippaṭisārī,adj,remorseful; regretful; repentant; sorry,√sar 2,ī adj,5
vippahāya,ger,completely abandoning; totally renouncing,√hā 1,,8
vibhaṅga 1,masc,analysis; classification; breakdown,√bhañj,a masc,2
vibhūsana,nt,decorating; adorning,√bhūs,a nt,9
vimutti,fem,release; liberation; deliverance; freedom; emancipation,√muc,i fem,8
virāga 1.1,masc,fading of desire (for); dispassion (towards); detachment (from); indifference (to),√raj 1,a masc,5
virāga 2.1,masc,fading (of); disappearance (of); cessation (of); destruction (of),√raj 2,a masc,2
viriya,nt,effort; energy; might; power,√vīr,a nt,9
visahati 1.1,pr,is able (to),√sah 2,ati pr,3
visuddhi 1.1,fem,purity (of); purification (of); holiness,√sudh,i fem,8
visesa 1,masc,distinction; attainment; superior state; eminence,√sis,a masc,2
vivicca,ger,separating (from); aloof (from),√vic,,8
viveka 1,masc,seclusion; solitude; detachment; disengagement; independence,√vic,a masc,2
viharati 1,pr,lives (in); dwells (in); stays (in),√har 3,ati pr,3
viharanta,prp,living (in); dwelling (in); staying (at); remaining (in); continuing (in),√har 3,anta prp,10
vihārī,adj,(of a state of being) living in; who has; being,√har 3,ī adj,5
viheṭhayanta,prp,harming; vexing; annoying; troubling,√heṭh,anta prp,10
vīmaṃsā 1,fem,inquiry; judgement; investigation; discrimination,√man,ā fem,7
vīriya 1,nt,effort; energy; might; power,√vīr,a nt,9
vīhi,masc,rice paddy; Oryza sativa,,i masc,4
vūpasama 1,masc,peace (of); calming (of); subsiding (of); settling (of),√sam 1,a masc,2
vedanā 1,fem,"(pleasant, unpleasant or neutral) felt experience; feeling; sensation; second of the five aggregates",√vid 1,ā fem,7
vedeti 1,pr,feels; experiences; senses,√vid 1,eti pr,3
vepulla 1,nt,expansion; full development; maturity,√pul,a nt,9
vesālī,fem,name of a city; capital of the Licchavis,,ī fem,8
vo 1.2,pron,by you all; with you all,,tvaṃ pron,5
vo 1.3,pron,to you all; for you all,,tvaṃ pron,5
vo 1.4,pron,of you all; your,,tvaṃ pron,5
vosāna 1,nt,perfecting; accomplishing; attaining; mastering,√sā,a nt,9
voharati 1,pr,speaks; communicates; gives expression; uses language,√har 1,ati pr,3
vyākaraṇa 1,nt,answering; replying,√kar,a nt,9
hattha 1,masc,hand,,a masc,2
hanati 2,pr,kills; executes,√han,hanati pr,7
harati 2,pr,takes; steals; robs,√har 1,ati pr,3
hāraka 1,masc,carrier; bearer,√har 1,a masc,2
hitāya,nt,beneficial (for); advantageous (for),√dhā,a nt,9
hitvā,abs,having left; having left behind; having abandoned,√hā 1,,8
hiri,fem,sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) originating from inside,√hir,i fem,8
hirimant,adj,having a conscience; with scruples; with an internal sense of right and wrong,√hir,ant adj,6
hoti 1,pr,is; becomes,√hū,hoti pr,4
hotu 1,imp,may it be (for)!,√hū,hoti pr,4
hotha,imp,may you all be!; I pray you all may be!,√hū,hoti pr,4
hontu,imp,may they be!; they must be!,√hū,hoti pr,4
adhigama 2,masc,attainment (of); achievement (of),√gam,a masc,2
pūjā 1,fem,veneration (of); homage (to); honour (for),√pūj,ā fem,7
