pali_1,pos,meaning_1,pattern,sbs_class
rukkha,masc,tree,a-masc,2
kāya 1.1,masc,body; physical body; physical process,a-masc,2
deva 1,masc,deity; god,a-masc,2
sāvaka,masc,disciple; pupil; follower; lit. hearer,a-masc,2
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); lit. sleeping alongside,a-masc,2
virāga 2.1,masc,fading (of); disappearance (of); cessation (of); destruction (of),a-masc,2
sāmika 1,masc,owner,a-masc,2
gandha 1,masc,smell; scent; odour,a-masc,2
ārāma 3,masc,park; parkland; nature reserve,a-masc,2
samaya 1.1,masc,time; occasion; lit. come together,a-masc,2
dhamma 1.14,masc,act; practice,a-masc,2
saṅgha 1,masc,community; monastic order; assembly of monks,a-masc,2
sīha 1,masc,lion,a-masc,2
ogha 1,masc,(of water) flood; deluge; torrent,a-masc,2
pabbata 2,masc,mountain; hill,a-masc,2
dhamma 1.05,masc,mental states,a-masc,2
āhāra 1,masc,food (for); fuel (for); sustenance (for); nutriment (for); (comm) condition,a-masc,2
anta 3,masc,end; side; extreme,a-masc,2
bheda 1,masc,death; lit. breakup,a-masc,2
māṇava,masc,young man; young gentleman; young Brahman,a-masc,2
kāma 3,masc,sense desire (of); sensual pleasure (of),a-masc,2
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction; lit. pointing up,a-masc,2
ānisaṃsa 1,masc,profit (in); benefit (in); advantage (of); good result (of),a-masc,2
sambodha,masc,enlightenment; full awakening; perfect understanding,a-masc,2
brāhmaṇa 2,masc,arahant; enlightened being; saint; paragon,a-masc,2
sota 1.1,masc,stream; river; current,a-masc,2
apāya 1,masc,state of loss; state of misery; lit. going away,a-masc,2
bojjhaṅga,masc,element of awakening; factor of enlightenment,a-masc,2
māra,masc,death; Death; death personified,a-masc,2
sakuṇa,masc,bird,a-masc,2
vipāka 1,masc,(of actions) result; outcome; consequence; fruit; lit. ripening,a-masc,2
patta 1.1,masc,bowl; alms bowl; begging bowl,a-masc,2
nīvaraṇa 1,masc,obstacle; obstruction; barrier; hindrance; lit. blocking,a-masc,2
loka 2,masc,world; plane of existence,a-masc,2
danta 1.1,masc,tooth,a-masc,2
satipaṭṭhāna 1,masc,attending mindfully; being present with mindfulness,a-masc,2
samudda,masc,sea; ocean,a-masc,2
asura,masc,titan; enemy of the devas; lit. anti-hero,a-masc,2
kesa,masc,(head) hair,a-masc,2
pāda 1,masc,foot,a-masc,2
magga 2,masc,way; means; method,a-masc,2
saṅkhāra 1,masc,intention; volitional formation; choice; karmic activity; lit. making together,a-masc,2
phassa 1,masc,contact; sense impingement; raw experience; touch,a-masc,2
kāla 1.1,masc,time; occasion,a-masc,2
visesa 1,masc,distinction; attainment; superior state; eminence,a-masc,2
pañha 2,masc,question; enquiry,a-masc,2
sahāya,masc,friend; companion; ally; fellow traveller; lit. going with,a-masc,2
pāsāda,masc,mansion; stately home; palace; building with pillars,a-masc,2
paribbājaka,masc,homeless spiritual seeker; wandering ascetic; lit. who goes around,a-masc,2
sunakkhatta 2,masc,name of a former monk; lit. good star sign,a-masc,2
āvāsa 1,masc,home (of); dwelling place (of); residence (of),a-masc,2
viveka 1,masc,seclusion; solitude; detachment; disengagement; independence,a-masc,2
anta 2,masc,end (of); limit (of); finish (of); conclusion (of),a-masc,2
chanda 1,masc,interest (in); desire (for); wish (for); intention (to); impulse (for),a-masc,2
vūpasama 1,masc,peace (of); calming (of); subsiding (of); settling (of),a-masc,2
uppāda 1.1,masc,arising (of); appearing (of); coming into being (of); lit. fall up,a-masc,2
kaccāna,masc,family name; lit. descendant of Kati,a-masc,2
vitakka 1,masc,thought; reflection; pondering,a-masc,2
paṭinissagga,masc,giving up (of); relinquishing (of); dropping (of); abandoning (of),a-masc,2
pamāda,masc,carelessness; negligence; heedlessness,a-masc,2
nissaya 1,masc,dependency; physical support; reliance; something one depends on,a-masc,2
nirodha,masc,ending (of); cessation (of); termination (of); finishing (of),a-masc,2
khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); slow destruction (of),a-masc,2
byāpāda,masc,dislike; ill-will; hatred; hostility; enmity; malevolence; lit. going wrong,a-masc,2
attha 2.1,masc,need (for); want (for); lit. want,a-masc,2
adhigama 1,masc,discovery (of); finding (of); attainment (of); achievement (of); lit. arrival,a-masc,2
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck,a-masc,2
amanasikāra 1,masc,non-attention; ignoring; lit. not making in mind,a-masc,2
udapāna,masc,well; (comm) pond; pool; lit. water drinking,a-masc,2
kalyāṇamitta 2,masc,excellent friend; good spiritual companion,a-masc,2
kassapa 1,masc,name of the 1st previous Buddha; lit. descendant of Kassapa,a-masc,2
kumāra 2,masc,prince,a-masc,2
gabbha 3,masc,room; inside room; inner chamber; lit. womb,a-masc,2
cāga 1,masc,giving up; relinquishing; abandoning,a-masc,2
thullaccaya,masc,(vinaya) heavy offence; grave transgression; class of serious offences,a-masc,2
nigaṇṭha 1,masc,Jain; naked ascetic; lit. free from ties,a-masc,2
pariyāya 4,masc,way; nature; habit; property; quality; lit. going around,a-masc,2
putta 2,masc,(used to form diminutives) young man; descendent; son of,a-masc,2
majjha 2,masc,middle,a-masc,2
māsa 2.1,masc,bean,a-masc,2
moggallāna 1,masc,name of a monk; chief disciple; great disciple of the Buddha; foremost disciple in psychic power; lit. descendent of Muggala,a-masc,2
yāma 1,masc,watch (of the night); one eighth of the day; about three hours,a-masc,2
rājañña,masc,man of the ruling class; young noble,a-masc,2
sakka 3,masc,Sakyan; of the Sakyan people,a-masc,2
saṃvara 1,masc,control (according to); restraint (according to); holding back (according to),a-masc,2
paṇḍita 2,masc,sage; intelligent person; wise man; smart person,a-masc-east,2
bāla 2,masc,fool; idiot; immature person,a-masc-east,2
mallā,masc,name of the people of Malla; Mallans; lit. wrestlers,a-masc-pl,2
kosalā,masc,name of the people of Kosala; Kosalans,a-masc-pl,2
punabbhava,masc,appearing again; renewed existence; rebirth; future life,a-masc,3
vibhaṅga 1,masc,analysis; classification; breakdown; lit. division,a-masc,3
pātimokkha 2,masc,(vinaya) precepts for Buddhist monastics,a-masc,3
pajahati,pr,gives up; abandons; lets go (of),ati-pr,3
paṭisevati 1,pr,practices; indulges (in); engages (in); lit. associates,ati-pr,3
pariyesati,pr,searches; seeks; seeks out; looks (for),ati-pr,3
bandhati 1,pr,binds; ties up; imprisons; confines,ati-pr,3
pasavati 2,pr,produces; generates; makes; gives birth to; lit. flows forth,ati-pr,3
vattati 1,pr,proceeds; continues; goes forward; practices,ati-pr,3
bhavati 1,pr,is; is being; becomes,ati-pr,3
passati 2,pr,understands; gets; lit. sees,ati-pr,3
vadati 1,pr,says (to); speaks (to); tells (to),ati-pr,3
abhivaḍḍhati,pr,increases more and more; surpasses; outgrows,ati-pr,3
samudācarati 2.1,pr,overwhelms; assails; assaults; (comm) occurs; lit. walks all over,ati-pr,3
jahati 1,pr,gives up; leaves; abandons; deserts,ati-pr,3
ārabhati 1.1,pr,begins; starts; undertakes; arouses oneself (to); makes an effort (to),ati-pr,3
rakkhati 1,pr,protects; guards; watches over,ati-pr,3
gaccha 1,imp,go!; begone!,ati-pr,3
upasaṅkamati,pr,approaches; goes (to); visits; lit. goes near,ati-pr,3
yācati 1,pr,asks (for); begs (for); requests,ati-pr,3
samanupassati 2,pr,regards; considers; recognises (as); sees (as),ati-pr,3
harati 2,pr,takes; steals; robs,ati-pr,3
anussarati 1.1,pr,remembers; recollects; bears in mind,ati-pr,3
paṭisañcikkhati,pr,reflects; considers; discerns,ati-pr,3
paṭilabhati,pr,obtains; gets; receives; personally experiences,ati-pr,3
pakkamati 1,pr,goes (from); goes away (from); leaves (from),ati-pr,3
ākaṅkhati,pr,wishes (for); wants; desires; aspires (for),ati-pr,3
nisīdati,pr,sits (on); sits down (in),ati-pr,3
gaṇhati 1,pr,grabs hold (of); seizes; takes,ati-pr,3
phusati 1,pr,touches; contacts; feels; experiences,ati-pr,3
uddharati 1,pr,pulls up; pulls out; lifts up; raises,ati-pr,3
nikkhipati 2,pr,puts down; places down; lays down; lit. throws down,ati-pr,3
paṭinissajjati,pr,gives up; relinquishes; drops; abandons,ati-pr,3
sikkhati 2,pr,trains (in); trains (for the purpose of); practices (for the sake of); practice (to); lit. trains,ati-pr,3
bhaṇati 1,pr,speaks; says; tells,ati-pr,3
nikkhipati 3,pr,keeps; stores; saves; sets aside; lays aside; lit. throws down,ati-pr,3
bhajati 1.1,pr,associates (with); keeps company (with),ati-pr,3
icchati 1.1,pr,wishes; wants; desires,ati-pr,3
bhāsati 1.1,pr,speaks (about); talks (about),ati-pr,3
abhiramati,pr,enjoys; delights (in); takes pleasure (in),ati-pr,3
saṃvattati,pr,leads (to); results (in); causes,ati-pr,3
payirupāsati 1,pr,associates closely (with); attends closely (to); sits at the feet (of); lit. sits around near,ati-pr,3
khādati,pr,chews; devours; eats,ati-pr,3
pucchati,pr,asks; enquires; questions,ati-pr,3
gacchati 1,pr,goes; walks; moves; wanders around,ati-pr,3
tiṭṭhati 1,pr,stands,ati-pr,3
vāyamati,pr,tries (to); makes an effort (to); strives (for); exerts oneself (to),ati-pr,3
adhigacchati,pr,gets to; attains; finds; acquires; obtains; lit. arrives at,ati-pr,3
padahati 1,pr,exerts oneself; strives; applies oneself; endeavours; lit. put forward,ati-pr,3
pavisati,pr,enters; goes (into),ati-pr,3
viharati 1,pr,lives (in); dwells (in),ati-pr,3
labhati 1,pr,gets; receives; obtains,ati-pr,3
kappati,pr,it is suitable (for); it is proper (for); it is fitting (for); it is allowable,ati-pr,3
pariharati 3,pr,takes care (of); looks after; maintains; lit. carries around,ati-pr,3
pavaḍḍhati 1,pr,increases; develops; grows,ati-pr,3
vaḍḍhati,pr,increases (in); grows (in); develops (in); lit. increases,ati-pr,3
passati 1,pr,sees,ati-pr,3
arahati 3,pr,should; ought (to); is suitable (for); it is befitting (for),ati-pr,3
assasati,pr,inhales; breathes in,ati-pr,3
uddisati 1,pr,recites; chants; lit. points up,ati-pr,3
uddharati 2,pr,removes; takes away; packs up,ati-pr,3
ovadati,pr,advises; instructs; admonishes,ati-pr,3
kaṅkhati 1,pr,has doubt (about); is uncertain (about),ati-pr,3
carati 1.1,pr,walks; wanders; goes around; travels; fares on,ati-pr,3
tiṭṭhati 3,pr,remains; persists; lasts; lit. stands,ati-pr,3
pakkhandati 1,pr,takes to it; gets it; gains confidence; is inspired; is eager; lit. jumps forward,ati-pr,3
paṭisevati 2,pr,uses; makes use (of); lit. associates,ati-pr,3
pabbajati,pr,ordains as monk; renounces the household life; lit. goes into exile,ati-pr,3
passasati,pr,exhales; breathes out,ati-pr,3
passa 2.1,imp,see!; look (at)!,ati-pr,3
vasati,pr,lives; stays; resides (in),ati-pr,3
pūjeti 1,pr,worships; honours; respects,eti-pr,3
upeti 2,pr,enters; gets involved (with); engages (in); lit. approaches,eti-pr,3
paṭisaṃvedeti,pr,personally experiences; undergoes; feels,eti-pr,3
ceteti 2,pr,intends; will (to),eti-pr,3
deti 1,pr,gives (to); donates (to); offers (to); hands (to),eti-pr,3
vedeti 1,pr,feels; experiences; senses; notices,eti-pr,3
seti 2,pr,sleeps,eti-pr,3
dhāreti 3,pr,bears in mind; keeps in mind; remembers; lit. carries,eti-pr,3
vitakketi,pr,thinks (about); reflects (on); ponders (over),eti-pr,3
eti 1,pr,comes (to),eti-pr-2,3
ehi,imp,come!,eti-pr-2,3
sakkoti,pr,is able (to),oti-pr,3
pāpuṇāti 1,pr,reaches; arrives (at); comes (to),āti-pr,3
paṭiggaṇhāti 2,pr,(of an apology) accepts,āti-pr,3
suṇāti 1,pr,hears,āti-pr,3
suṇātu,imp,one must listen!; it must hear!,āti-pr,3
pajānāti,pr,knows; knows clearly; understands; distinguishes,āti-pr,3
paṭibhāti,pr,comes to mind; occurs (to),āti-pr,3
paṭijānāti 3,pr,makes the claim (of); claims (to be),āti-pr,3
dadāti,pr,gives (to); offers (to); donates (to),āti-pr,3
jānāti 1,pr,knows; understands,āti-pr,3
vijānāti 1,pr,comprehends; understands; recognises; distinguishes; is aware (of),āti-pr,3
paṭiggaṇhāti 1,pr,takes; accepts; receives,āti-pr,3
ājānāti 1,pr,knows; understands,āti-pr,3
saṇṭhāti,pr,remains (in); continues (in); persists (in); is established (in); stands firm (in); lit. stands together,āti-pr,3
paggaṇhāti 2,pr,holds up; raises up,āti-pr,3
paggaṇhāti 3,pr,applies effort; strives on; goes for it; endeavours,āti-pr,3
kassaka,masc,farmer; ploughman,a-masc,4
vāṇija,masc,trader; dealer,a-masc,4
samāpajjati 2,pr,engages (in); practices; performs,ati-pr,4
ādiyati 1,pr,takes; grasps; embraces,ati-pr,4
upādiyati,pr,grasps; holds (onto); clings (to); takes possession (of); lit. takes near,ati-pr,4
paṭipajjati 2,pr,practices; follows a course of action; follows a method,ati-pr,4
uppajjati 1,pr,appears; arises; takes place,ati-pr,4
āpajjati 2,pr,arouses; exhibits; produces; brings into being,ati-pr,4
bhuñjati 1,pr,eats; consumes,ati-pr,4
nibbindati 1,pr,is dis-enchanted (with); is disinterested (in); is disillusioned (by); loses interest (in); is dispassionate (towards),ati-pr,4
upapajjati 1,pr,is reborn (in); re-arises (in); lit. goes towards,ati-pr,4
maññati 1,pr,thinks; imagines; conceives: presumes; supposes,ati-pr,4
jhāyati 2,pr,meditates; contemplates; lit. thinks,ati-pr,4
chindati 1,pr,cuts off; severs,ati-pr,4
anuyuñjati 2,pr,indulges (in); is addicted (to); lit. yokes near,ati-pr,4
āpajjati 5,pr,causes; effects,ati-pr,4
ujjhāyati,pr,finds fault; thinks badly of,ati-pr,4
muñcati 2,pr,gets angry (with); lit. releases,ati-pr,4
atthi 1,pr,there is; there exists,atthi-pr,4
amha 1.1,pr,we are,atthi-pr,4
asi 2.1,pr,you are,atthi-pr,4
attha 4.2,imp,you (all) must be; may you (all) be,atthi-pr,4
atthi 2,pr,there are; they are,atthi-pr,4
amhi,pr,I am,atthi-pr,4
āmantesi,aor,addressed; said (to); advised,esi-aor,4
ahosi,aor,was; existed; became,hosi-aor,4
pāturahosi,aor,appeared; manifested; lit. was visible,hosi-aor,4
hoti 1,pr,is; becomes,hoti-pr,4
hotu 1,imp,may it be (for)!,hoti-pr,4
pahoti 2,pr,is able (to); is capable (of); is qualified (to),hoti-pr,4
hotha,imp,may you all be!; I pray you all may be!,hoti-pr,4
ajjhabhāsi,aor,addressed; spoke (to),i-aor,4
udapādi 1,aor,arose (for); sprung up (for),i-aor,4
abhinandi 1,aor,delighted (in); was pleased (with); approved (of); was happy (with); relished,i-aor,4
upasaṅkami,aor,approached; drew near; went (to); lit. went near,i-aor,4
pucchi,aor,asked; enquired; questioned,i-aor,4
abhāsi 1,aor,spoke; said,i-aor,4
paccassosi,aor,replied (to); agreed (with),i-aor,4
sammodi,aor,greeted; exchanged pleasantries; had a friendly conversation (with),i-aor,4
apucchi,aor,asked; enquired,i-aor-isuṃ,4
nisīdi,aor,sat (on); sat down (in),i-aor-isuṃ,4
pakkāmi 1,aor,left; set off (from); went away (from),i-aor-isuṃ,4
santi 3,fem,virtuous woman; good woman,i-fem,4
samādhi 1,masc,perfect peace of mind; stability of mind; stillness of mind; mental composure,i-masc,4
añjali 1,masc,palms placed together (as a token of respect),i-masc,4
gahapati,masc,householder; landowner; lit. house master,i-masc,4
muni 1,masc,monk; sage; seer; hermit; silent sage,i-masc,4
aggi,masc,fire,i-masc,4
sārathi 2,masc,(horse or elephant) trainer,i-masc,4
kucchi 1,masc,stomach; belly,i-masc,4
isi,masc,seer; sage,i-masc,4
licchavi,masc,name of a prominent group of Khattiyas based in Vesālī,i-masc,4
gāmaṇi,masc,chief; chieftain; headman; leader,i-masc,4
ñāti,masc,family; relative; kinsman; lit. known,i-masc,4
byādhi,masc,sickness; disease; illness; lit. upset,i-masc,4
sāli,masc,fine rice,i-masc,4
karoti 1,pr,does; acts; performs,karoti-pr,4
karohi,imp,do!; make!,karoti-pr,4
sakkaroti,pr,honours; esteems; respects,oti-pr,4
abhisaṅkharoti 1,pr,creates; constructs; generates; forms; fabricates,oti-pr,4
abhisaṅkharoti 2,pr,does; performs; lit. constructs,oti-pr,4
aṭṭhāsi 1,aor,stood; stayed; remained,āsi-aor,4
byākāsi 1,aor,answered; replied; lit. made distinct,āsi-aor,4
āsiṃ,aor,I was,āsi-aor-irreg,4
āsi 1.1,aor,was,āsi-aor-irreg,4
sambuddha 1,masc,Awakened One; Buddha; who is wide awake; who has completely understood,a-masc,5
appaccaya 2,masc,indignation; outrage; bitterness,a-masc,5
taca 1,masc,skin,a-masc,5
adhamma 1,masc,misconduct; moral behaviour; unjust means; cheating,a-masc,5
adhamma 2,masc,false teaching; something opposed to the teaching,a-masc,5
appamāda,masc,alertness; care; carefulness; caution; vigilance; diligence; conscientiousness; heedfulness; lit. not heedless,a-masc,5
ājīva,masc,livelihood; mode of living; way of life; way of earning a living,a-masc,5
abhisamaya,masc,complete comprehension (of); total understanding (of); completely getting (of); breakthrough (to); lit. arriving,a-masc,5
mada 1,masc,excess; pleasure; indulgence,a-masc,5
mama 2,pron,my; mine; of me,ahaṃ-pron,5
me 5,pron,my; mine,ahaṃ-pron,5
no 2.1,pron,us (object),ahaṃ-pron,5
ahaṃ,pron,I,ahaṃ-pron,5
no 2.3,pron,for us; to us,ahaṃ-pron,5
me 3,pron,to me; for me,ahaṃ-pron,5
no 2.4,pron,our,ahaṃ-pron,5
maṃ 1,pron,me (object),ahaṃ-pron,5
mayā 1,pron,by me; with me,ahaṃ-pron,5
amhākaṃ 3,pron,our; of us; my (royal plural),ahaṃ-pron,5
me 2,pron,by me,ahaṃ-pron,5
mayaṃ,pron,we; I (royal plural),ahaṃ-pron,5
sobhati 2,pr,looks beautiful (in); lit. shines,ati-pr,5
assasissati,fut,will breathe; will inhale,ati-pr,5
passasissati,fut,will exhale; will breathe out,ati-pr,5
neti 1.1,pr,leads; carries away; takes away,eti-pr,5
dhāressati,fut,will bear in mind; will keep in mind; will remembers; lit. will hold,eti-pr,5
no 1.1,ind,no; not,ind,5
saha 2,ind,with; together (with); accompanied (by),ind,5
no 1.2,ind,surely?; didn't?; isn't it?; definitely,ind,5
mā 1,ind,do not; may one not; don't let,ind,5
na 1,ind,no; not; neither; nor,ind,5
saddhiṃ,ind,together (with); with,ind,5
no 1.3,ind,then; now; indeed,ind,5
bhavissati 1,fut,could be; should be; lit. will be,issati-fut,5
gamissati,fut,will go,issati-fut,5
natthi 1,pr,is not; it is not; there is not; there is no; there is nothing,natthi-pr,5
byākarissati,fut,will explain; will define; will describes,oti-pr,5
ṭhassati,fut,will stand; will stay; will remain; will last,ssati-fut,5
dassati 1.1,fut,will give (to),ssati-fut,5
taṃ 2.1,pron,you (object),tvaṃ-pron,5
tayā 1,pron,by you,tvaṃ-pron,5
tumhe 1,pron,you all; you (royal plural),tvaṃ-pron,5
vo 1.4,pron,of you all; your,tvaṃ-pron,5
te 2.4,pron,your; of you,tvaṃ-pron,5
vo 1.3,pron,to you all; for you all,tvaṃ-pron,5
tvaṃ 1,pron,you (subject),tvaṃ-pron,5
vo 1.2,pron,by you all; with you all,tvaṃ-pron,5
te 2.3,pron,for you; to you,tvaṃ-pron,5
tumhākaṃ 2,pron,for you all; to you all,tvaṃ-pron,5
tuvaṃ 1,pron,you,tvaṃ-pron,5
tumhākaṃ 3,pron,of you all; yours,tvaṃ-pron,5
tumhe 2,pron,(object) you all; you (royal plural),tvaṃ-pron,5
nābhijānāti 1,pr,does not know; does not understand; lit. does not completely know,āti-pr,5
ottappī,adj,afraid of wrong; conscientious,ī-adj,5
vādī 1,adj,speaking; saying; telling,ī-adj,5
vihārī,adj,(of a state of being) living in; who has,ī-adj,5
dassī 2,adj,who sees; who knows; who perceives; who understands,ī-adj,5
anupassī 1,adj,looking (at); observing; following; noticing; witnessing; watching,ī-adj,5
dhammī 1,adj,righteous; religious; moral; related to the Dhamma,ī-adj,5
gavesī 1,adj,seeking; searching for; looking for,ī-adj,5
anāgāmī,adj,who does not return; non-returning,ī-adj,5
bhogī 1.1,adj,enjoying; using; experiencing; partaking in,ī-adj,5
sakadāgāmī,adj,once-returner; who has attained the second stage of the path,ī-adj,5
vippaṭisārī,adj,remorseful; regretful; repentant; sorry; lit. remembering back negatively,ī-adj,5
sukhī 2,masc,happy one; who is at ease; who is happy; who is comfortable,ī-masc,5
sabrahmacārī,masc,fellow monk; spiritual companion,ī-masc,5
medhāvī,masc,intelligent man; wise man; who has good judgment; lit. who has wisdom,ī-masc,5
vipassī 1,masc,name of the 7th previous Buddha; lit. insightful; who sees distinctly,ī-masc,5
brahmacārī 2,masc,celibate man; who abstains from sexual intercourse,ī-masc,5
tapassī 1,masc,ascetic; lit. who burns,ī-masc,5
pakkhī,masc,bird; lit. with wings,ī-masc,5
saṅgaha 1,masc,support (of); maintenance (of); looking after; lit. holding together,a-masc,6
saṅgaha 3,masc,friendliness; collaboration; mutual assistance; good relationship; lit. holding together,a-masc,6
paññavant,adj,wise; intelligent; insightful; percipient; lit. having wisdom quality,ant-adj,6
balavant 1,adj,strong; powerful; lit. having strength quality,ant-adj,6
sabbāvant,adj,entire; whole; complete; lit. having everything quality,ant-adj,6
satimant 1,adj,mindful; fully present; attentive; lit. having memory quality,ant-adj,6
sīlavant,adj,virtuous; ethical; moral; lit. having conduct quality,ant-adj,6
assutavant,adj,unlearned; untaught; uninitiated; untrained; lit. having not heard quality,ant-adj,6
cakkhumant 2,masc,person with sight; who can see; lit. having eyes quality,ant-masc,6
āyasmant 1,masc,venerable; reverend; lit. having age quality,ant-masc,6
bhagavant 1,masc,Sublime One; Blessed One; Fortunate One; Auspicious One; epithet of the Buddha; lit. having good fortune quality,ant-masc,6
iddhimant,masc,who has psychic powers; possessing supernatural ability; lit. having power quality,ant-masc,6
akkhātar,masc,speaker (of); who tells (about); who speaks (about); who expresses (about),ar-masc,6
bhāsitar,masc,speaker; who talks (about),ar-masc,6
satthar 1,masc,master; teacher,ar-masc,6
dātar 1,masc,giver; donor; bestower,ar-masc,6
kattar 1,masc,creator; maker,ar-masc,6
bhātar,masc,brother,ar2-masc,6
pitar,masc,father,ar2-masc,6
mātāpitar,masc,mother and father; parents,ar2-masc,6
paricarati 3,pr,enjoys; indulges; has sex with; lit. walks around,ati-pr,6
sabbadā,ind,always; at all times,ind,6
dāni,ind,now; immediately,ind,6
pacchā 1,ind,afterwards; later; in the future,ind,6
pubbe 1,ind,before; previously; formerly; in the past,ind,6
āyatiṃ,ind,in future,ind,6
ca 1,ind,and; both,ind,6
kālena,ind,timely; at the right moment; at a suitable time; at the proper time,ind,6
vā 1,ind,or; either or,ind,6
pure 2,ind,formerly; previously; in the past,ind,6
sadā,ind,always; ever; all the time,ind,6
yadā,ind,when; whenever,ind,6
ajja,ind,today; now,ind,6
phāsu 2,masc,ease (for); comfort (for),u-masc,6
bhikkhu,masc,monk; fully ordained monk; mendicant; lit. beggar,u-masc,6
maccu,masc,death; Death,u-masc,6
garu 5,masc,respect; honour,u-masc,6
khemī,adj,at peace; safe; at rest,ī-adj,6
mattaññū,adj,knowing the correct measure (in); knowing the limit (in); moderate (in); lit. measure knowing,ū-adj,6
rattaññū,adj,old; experienced; of long standing; lit. knowing nights,ū-adj,6
vidū 1,adj,wise; knowing; understanding,ū-adj,6
abhibhū 1,masc,conqueror; victor; vanquisher; master,ū-masc,6
lokavidū,masc,who understands the world; who knows the world; epithet of the Buddha,ū-masc,6
gāha 2.2,masc,hiding place; lit. dive,a-masc,7
paṭighāta 1,masc,warding off; repelling; driving off,a-masc,7
gaccheyya,opt,could go; would move; would walk,ati-pr,7
passeyya 1,opt,could see; would see,ati-pr,7
vadeyya,opt,should say; could speak,ati-pr,7
adhigaccheyya,opt,could get; would experience; would come across; lit. could arrive at,ati-pr,7
vihareyya,opt,could live; could stay (in),ati-pr,7
upapajjeyya,opt,would be reborn (in); would re-arise (in); lit. could go towards,ati-pr,7
uppajjeyya,opt,would become available (for); would accrue (to); could crop up (for); lit. would arise (for),ati-pr,7
nahāyati,pr,takes a bath; bathes; washes,ati-pr,7
āgaccheyya,opt,could come; would come along; could approach; would arrive,eyya-opt,7
hanati 2,pr,kills; executes,hanati-pr,7
kareyya 1,opt,could do; would do; could make,karoti-pr,7
siyā 1,opt,could be; may be; might be; should be,siyā-opt,7
siyā 2,opt,there could be,siyā-opt,7
assa 3.1,opt,may be; could be; should be,ssa-opt,7
saddhā 2,fem,confidence (in); assurance (in); conviction (in); lit. putting heart,ā-fem,7
taṇhā 1,fem,craving (for); wanting; desire (for); lit. thirst,ā-fem,7
sākhā 1,fem,branch,ā-fem,7
paṭipadā 1,fem,way; path of progress; path of practice,ā-fem,7
disā 1,fem,direction; cardinal point,ā-fem,7
abhijjhā,fem,wishing; wanting; covetousness; greed; lit. over thinking,ā-fem,7
nisajjā 1,fem,sitting; sitting down,ā-fem,7
kathā 1,fem,talk; speech; conversation; discussion,ā-fem,7
mettā,fem,goodwill (towards); friendliness (to); benevolence (for),ā-fem,7
sacchikiriyā,fem,personal experience (of); intimate experience (of); personal realization (of); lit. personally doing,ā-fem,7
upekkhā,fem,looking on; mental poise; mental balance; equanimity; equipoise; non-reactivity; composure,ā-fem,7
saddhā 1,fem,faith (in); belief (in); trust (in); lit. putting heart,ā-fem,7
bāhā 1,fem,arm; forearm,ā-fem,7
vedanā 1,fem,felt experience; feeling; sensation; second of the five aggregates,ā-fem,7
pabbajjā,fem,(vinaya) ordination; renunciation; becoming a monastic; lit. exile,ā-fem,7
kiriyā 1,fem,act; action; activity; performance,ā-fem,7
sikkhā 2,fem,training; practice,ā-fem,7
senā,fem,army; military,ā-fem,7
saṅkhā 2,fem,definition; classification; concept; category,ā-fem,7
pajā 2,fem,people; population; generation; mankind,ā-fem,7
vipassanā,fem,insight; penetrating internal vision; introspection; lit. seeing distinctly,ā-fem,7
jarā,fem,old age; ageing,ā-fem,7
nibbidā,fem,dis-enchantment (towards); de-illusionment (with); disinterest (in); dispassion (towards),ā-fem,7
upāsikā,fem,female disciple; laywomen; female devotee; lit. sitting near,ā-fem,7
paññā 1,fem,wisdom; knowledge; understanding; insight; distinctive knowledge,ā-fem,7
gāthā 1,fem,verse; poem; stanza; lit. song,ā-fem,7
vācā 1,fem,speech; words; statement; talk,ā-fem,7
devatā,fem,deity; god,ā-fem,7
vijjā 1,fem,knowledge; wisdom; understanding,ā-fem,7
saññā 1,fem,perception; conception; recognition; third of the five aggregates,ā-fem,7
jivhā,fem,tongue,ā-fem,7
avijjā,fem,ignorance; illusion; not knowing; not understanding,ā-fem,7
abhiññā 1,fem,direct knowledge; higher understanding; specialized knowledge; lit. complete knowledge,ā-fem,7
upasampadā 2,fem,(vinaya) higher ordination as monastic,ā-fem,7
ṭīkā,fem,sub-commentary; commentary on a commentary,ā-fem,7
desanā 3,fem,(vinaya) appointing; allocating; indicating; designating; showing; lit. pointing out,ā-fem,7
vīmaṃsā 1,fem,inquiry; judgement; investigation; discrimination,ā-fem,7
jāneyya,opt,should know; should understand; should find out,āti-pr,7
ovāda,masc,advice; instruction encouragement; exhortation,a-masc,8
asammosa,masc,not forgetting; non-confusion,a-masc,8
disvāna,abs,having seen,abs,8
hitvā,abs,having left; having left behind; having abandoned,abs,8
disvā,abs,having seen; having understood; having found out,abs,8
sāyitvā,abs,having tasted,abs,8
ñatvā,abs,having known; having found out; having understood,abs,8
sutvā,abs,having heard; having listened (to),abs,8
chetvā 1,abs,having cut off; having severed; (comm) having killed; lit. having cut,abs,8
ābhujitvā,abs,having bent; having folded,abs,8
gahetvā 1,abs,having taken; having grabbed hold (of); having seized,abs,8
pharitvā 1,abs,having suffused; having pervaded; having filled,abs,8
