pali_1,pos,meaning_1,root,pattern,sbs_class
dadāti,pr,gives (to); offers (to); donates (to),√dā 1,āti pr,3
danta 1.1,masc,tooth,,a masc,2
dasa 1.1,card,ten (10),,a1 card,12
dasama 1,ordin,tenth (10th),,aī ordin,12
dassati 1.1,fut,will give (to),√dā 1,ssati fut,5
dassanāya 2,nt,in order to visit; for the purpose of seeing,√dis 1,a nt,9
dassī 2,adj,who sees; who knows; who perceives; who understands,√dis 1,ī adj,5
daḷha 1,pp,strong; firm; steady,√dah,a pp,11
dātar 1,masc,giver; donor; bestower (of),√dā 1,ar masc,6
dāna 1.1,nt,giving; offering; charity; generosity,√dā 1,a nt,9
dāna 1.2,nt,,√dā 1,a nt,9
dāni,ind,now; immediately,,,6
diṭṭha 1.1,pp,seen; found; visible,√dis 1,a pp,11
diṭṭhi 1,fem,view; belief; opinion; concept; theory; attitude,√dis 1,i fem,8
dinna 1,pp,given (to); offered (to),√dā 1,a pp,11
dibba,adj,divine; heavenly; celestial,√div,a adj,11
disā 1,fem,direction; cardinal point,√dis 2,ā fem,7
dissati 1,pr,is seen; is observed; is manifest,√dis 1,ati pr,13
dissati 2,pr,seems,√dis 1,ati pr,13
disvā,abs,having seen; having understood; having found out,√dis 1,,8
disvāna,abs,having seen,√dis 1,,8
divasaṃ,ind,by day; during the day; for a day,√div,,13
dukkaṭa 3,nt,class of vinaya offence; wrong-doing,√kar,a nt,9
dukkha 1,adj,uncomfortable; unpleasant,√dukkh,a adj,11
dukkha 2,adj,painful,√dukkh,a adj,11
dukkha 3,nt,discomfort; suffering; unease; unpleasantness; something unsatisfactory; trouble; a bummer; stress,√dukkh,a nt east,9
dukkhita 1,pp,afflicted; miserable; suffering,√dukkh,a pp,11
dutiya 1,ordin,second (2nd),,a ordin,12
dullabha 1,adj,difficult to find (for); hard to obtain (for); rare (for),√labh,a adj,11
dussīla 1,adj,unprincipled; immoral; of bad behaviour,√sīl,a adj,11
dūra 1,adj,far away (from); distant (from),√dū,a adj,11
dūrato,ind,from far away; from afar,√dū,,13
dūre 2,ind,away (from); far away (from); distant (from),√dū,,13
deti 1,pr,gives (to); donates (to); offers (to); hands (to),√dā 1,eti pr,3
desanā 3,fem,(vinaya) appointing; allocating; indicating; designating; showing,√dis 2,ā fem,7
desita 1,pp,preached (by); taught (by); explained (by); instructed (by),√dis 2,a pp,11
deseti 1,pr,preach (to); teaches (to); explains (to),√dis 2,eti pr,14
desetuṃ,inf,to preach (to); to teach (to); to explain (to),√dis 2,,14
desenta 1,prp,preaching (to); teaching (to); explaining (to); pointing out (to),√dis 2,enta prp,10
deva 1,masc,deity; god,√div,a masc,2
devatā,fem,deity; god,√div,ā fem,7
domanassa,nt,(mental) suffering; distress; dissatisfaction; dejection; depression; unhappiness; grief; negative state of mind,√man,a nt,9
dosa 1.1,masc,aversion; ill-will; hate; hatred,√dus 2,a masc,2
dvi,card,two (2),,dvi card,12
dhana 1,nt,wealth; riches; treasure,√dhan 1,a nt,9
dhamma 1.01,masc,nature; character,√dhar 1,a masc,2
dhamma 1.02,masc,quality; characteristic; trait; inherent quality,√dhar 1,a masc,2
dhamma 1.03,masc,teaching; discourse; doctrine,√dhar 1,a masc,2
dhamma 1.05,masc,mental states,√dhar 1,a masc,2
dhamma 1.06,masc,matter; thing; phenomena,√dhar 1,a masc,2
dhamma 1.09,masc,law; case; rule; legal process,√dhar 1,a masc,2
dhamma 1.14,masc,act; practice,√dhar 1,a masc,2
dhammika 2,adj,righteous; just,√dhar 1,a adj,11
dhammī 1,adj,righteous; religious; moral; related to the Dhamma,√dhar 1,ī adj,5
dhātu 1,fem,state; property; condition; element,√dhā,u fem,8
dhāreti 3,pr,bears in mind; keeps in mind; remembers,√dhar 2,eti pr,3
dhāressati,fut,will bear in mind; will keep in mind; will remembers,√dhar 2,eti pr,5
dhītar,fem,daughter,,ar fem,8
dhuva 1,adj,stable; enduring; permanent; eternal; everlasting,√dhuv,a adj,11
na 1,ind,no; not; neither; nor,,,5
natthi 1,pr,is not; it is not; there is not; there is no; there is nothing,√as 1,natthi pr,5
nara,masc,man; person,,a masc,2
nava 1.1,adj,new; fresh,,a adj,11
nava 2.1,card,nine (9),,a1 card,12
navama,ordin,ninth (9th),,aī ordin,12
nahāyati,pr,takes a bath; bathes; washes,√nhā,ati pr,7
nāga 2,masc,tusker; bull elephant,,a masc,2
nābhijānāti 1,pr,does not know; does not understand,√ñā,āti pr,5
nāma 4,nt,name,,a nt,9
nāma 5,nt,"mental objects of consciousness; mentality; mental factors of feeling, perception, intention, contact and attention",,a nt,9
nārī,fem,woman,,ī fem,8
nikkhipati 2,pr,puts down; places down; lays down,√khip 1,ati pr,3
nikkhipati 3,pr,keeps; stores; saves; sets aside; lays aside,√khip 1,ati pr,3
nicca 1,adj,permanent; lasting; continuous; ordered; stable; reliable; regular; immutable,,a adj,11
nidāna 1,nt,source; origin; foundation; cause; reason,√dā 3,a nt,9
nibbāna 2,nt,(of mental defilement) complete quenching; total emancipation; complete cooling,√vā,a nt,9
nibbidā,fem,dis-enchantment (towards); de-illusionment (with); disinterest (in); dispassion (towards),√vid 3,ā fem,7
nibbindati 1,pr,is dis-enchanted (with); is disinterested (in); is disillusioned (by); loses interest (in); is dispassionate (towards),√vid 3,ati pr,4
nimitta 1,nt,mark; sign; symbol; indication,√mā,a nt,9
niraya,masc,hell; hell realm,√i 1,a masc,2
nirujjhati,pr,dissolves; finishes; stops; ceases; vanishes,√rudh 1,ati pr,13
nirodha,masc,ending (of); cessation (of); termination (of); finishing (of),√rudh 1,a masc,2
nisajja,ger,sitting down,√sad,,8
nisajjā 1,fem,sitting; sitting down,√sad,ā fem,7
nisinna 1,pp,seated,√sad,a pp,11
nisīdati,pr,sits (on); sits down (in),√sad,ati pr,3
nisīdi,aor,sat (on); sat down (in),√sad,i aor isuṃ,4
nissajjitabba,ptp,should be given up (to); to be handed over (to); should be relinquished (to),√sajj 1,a ptp,14
nissaya 1,masc,dependency; physical support; reliance; something one depends on,√si 1,a masc,2
nissāya 1,ger,leaning (on); depending (on); being supported (by),√si 1,,8
nīvaraṇa 1,masc,obstacle; obstruction; barrier; hindrance,√var 1,a masc,2
nu,ind,(adds a question mark) surely?; didn’t?; wouldn't?; which?,,,9
nūna 2,ind,could it be?; what if?; shall?; let’s?; perhaps?,,,9
neti 1.1,pr,leads; carries away; takes away,√nī,eti pr,5
no 1.1,ind,no; not,,,5
no 1.2,ind,(adds a question mark) surely?; didn’t?; isn't it?; definitely,,,5
no 1.3,ind,then; now; indeed,,,5
no 2.1,pron,us (object),,ahaṃ pron,5
no 2.3,pron,for us; to us,,ahaṃ pron,5
no 2.4,pron,our,,ahaṃ pron,5
pakāseti 2,pr,explains; illustrates; illuminates; reveals; teaches,√kās 1,eti pr,14
pakkamati 1,pr,goes (from); goes away (from); leaves (from),√kam 1,ati pr,3
pakkāmi 1,aor,left; set off (from); went away (from),√kam 1,i aor isuṃ,4
pakkhandati 1,pr,takes to it; gets it; gains confidence; is inspired; is eager,√khand,ati pr,3
pakkhī,masc,bird,,ī masc,5
paggaṇhāti 2,pr,holds up; raises up,√gah,āti pr,3
paggaṇhāti 3,pr,applies effort; strives on; goes for it; endeavours,√gah,āti pr,3
paggahetvā 2,abs,having raised up; having lifted up,√gah,,8
paccaya 1,masc,support; requisite; necessity,√i 1,a masc,2
paccaya 2,masc,cause (for); reason (for); supporting condition (for); requirement (for),√i 1,a masc,2
paccassosi,aor,replied (to); agreed (with),√su 1,i aor,4
paccuppanna 1,pp,present; presently arisen; existing; current,√pad,a pp,11
pacchato 2,ind,behind; backwards,,,13
pacchā 1,ind,afterwards; later; in the future,,,6
pajahati,pr,gives up; abandons; lets go (of),√hā 1,ati pr,3
pajā 2,fem,people; population; generation; mankind,√jan,ā fem,7
pajānāti,pr,knows; knows clearly; understands; distinguishes,√ñā,āti pr,3
pañca,card,five (5),,a1 card,12
pañcama,ordin,fifth (5th),,aī ordin,12
paññatta 2,pp,(of a rule) formulated; prescribed; decreed; declared,√ñā,a pp,14
paññavant,adj,wise; intelligent; discerning; insightful; percipient,√ñā,ant adj,6
paññā 1,fem,wisdom; knowledge; understanding; insight; distinctive knowledge,√ñā,ā fem,7
paññāpeti 3,pr,is evident,√ñā,eti pr,14
paññāyati 1,pr,is clearly known; is evident; is perceived; there is,√ñā,ati pr,13
pañha 2,masc,question; enquiry,√pañh,a masc,2
paṭiggaṇhāti 1,pr,takes; accepts; receives,√gah,āti pr,3
paṭiggaṇhāti 2,pr,(of an apology) accepts,√gah,āti pr,3
paṭighāta 1,masc,warding off; repelling; driving off,√ghaṭ 1,a masc,7
paṭijānāti 3,pr,makes the claim (of); claims (to be),√ñā,āti pr,3
paṭinissagga,masc,giving up (of); relinquishing (of); dropping (of); abandoning (of),√sajj 1,a masc,2
paṭinissajjati,pr,gives up; relinquishes; drops; abandons,√sajj 1,ati pr,3
paṭipajjati 2,pr,practices; follows a course of action; follows a method,√pad,ati pr,4
paṭipadā 1,fem,way; path of progress; path of practice,√pad,ā fem,7
paṭibhāti,pr,comes to mind; occurs (to),√bhā,āti pr,3
paṭilabhati 1,pr,obtains; gets; receives; personally experiences,√labh,ati pr,3
paṭilābha,masc,obtaining (of); acquiring (of); gaining (of); personal acquisition (of),√labh,a masc,2
paṭisañcikkhati,pr,reflects; considers; discerns,√cikkh,ati pr,3
paṭisaṃvedeti,pr,personally experiences; undergoes; feels,√vid 1,eti pr,3
paṭisevati 1,pr,practices; indulges (in); engages (in),√sev,ati pr,3
paṭisevati 2,pr,uses; makes use (of),√sev,ati pr,3
paṭissutvā,abs,having agreed (with); having responded in agreement (to),√su 1,,8
paṭhama 1,ordin,first (1st); prime,,a ordin,12
paṇāmetvā 2,abs,(of hands) having stretched out (in reverential salutation),√nam,,14
paṇidhāya 1,ger,guiding; directing; determining; setting,√dhā,,8
paṇīta 2,pp,fine; refined; excellent; superior; sublime,√nī,a pp,11
paṇḍita 2,masc,sage; intelligent person; wise man; smart person,,a masc east,2
patta 1.1,masc,bowl; alms bowl; begging bowl,√pā 1,a masc,2
patta 3.1,pp,reached; attained; gained; accomplished; found,√ap,a pp,11
patha 2,masc,range; mode; way,√path 1,a masc,2
pathavī 2,fem,earth; ground,√path 2,ī fem,8
pada 12,nt,footprint; footstep,√pad,a nt,9
padahati 1,pr,exerts oneself; strives; applies oneself; endeavours,√dhā,ati pr,3
padesa 1,masc,place; location; region; area,√dis 2,a masc,2
padhāna 1,nt,making effort; exerting; striving; trying (to),√dhā,a nt,9
pana,ind,moreover; and so; but; or; however,,,13
panta 2,adj,secluded; isolated; solitary,,a adj,11
papañca,masc,various opinions; proliferation; endless conceptualization,√pañc,a masc,2
pabbajati,pr,ordains as a monastic; renounces the household life,√vaj,ati pr,3
pabbajita 2,pp,ordained (from); renounced (from),√vaj,a pp,11
pabbajjā,fem,(vinaya) ordination; renunciation; becoming a monastic,√vaj,ā fem,7
pabbājeti 1,pr,banishes (from); exiles (from); drives away (from),√vaj,eti pr,14
pamatta 1,pp,careless; heedless; negligent; inattentive,√mad,a pp,11
pamāṇa 3,nt,measure; measurement; length; size; amount; quantity,√mā,a nt,9
pamāda,masc,carelessness; negligence; heedlessness,√mad,a masc,2
pamādi,aor,was careless (about); neglected; was negligent (with); was heedless (about),√mad,i aor,14
para 1,pron,other; another (person),,a pron,10
parama 1,adj,highest; most extreme; very best; ultimate; superior; sublime,,a adj,11
parikkhāra 1,masc,requisite; requirement; necessity; accessory; everyday item,√kar,a masc,2
paricarati 3,pr,enjoys; indulges; has sex with,√car 1,ati pr,6
paricita 1,pp,practised; rehearsed; consolidated; familiarized,√ci 1,a pp,11
paritassati,pr,is perturbed; is shaken; is agitated; is anguished,√tas 3,ati pr,13
parideva,masc,lamentation; wailing; crying,√dev,a masc,2
parinibbāna 1,nt,(of mental defilement) complete quenching; total emancipation; complete cooling,√vā,a nt,9
parinibbāyati 1,pr,(of mental defilement) is completely quenched; is entirely emancipated; is completely cooled,√vā,ati pr,13
paripūra 1,adj,full; filled up; complete,√pūr,a adj,11
paripūreti 1,pr,fills up; fills out,√pūr,eti pr,14
paribbājaka,masc,homeless spiritual seeker; wandering ascetic,√vaj,a masc,2
parimuccati,pr,is completely freed (from); is totally liberated (from); escapes (from),√muc,ati pr,13
pariyāya 4,masc,way; nature; habit; property; quality,√i 1,a masc,2
pariyesati,pr,searches; seeks; seeks out; looks (for),√es,ati pr,3
pariyodāta 1,pp,pure; clean; shiny; bright,√dā 2,a pp,11
parisandeti,pr,soaks; drenches,√sand,eti pr,14
parisodheti,pr,cleans (from); purifies (of),√sudh,eti pr,14
pariharati 3,pr,takes care (of); looks after; maintains,√har 1,ati pr,3
pallaṅka 2,masc,cross-legged sitting position; meditation posture,√añc,a masc,2
pasavati 2,pr,produces; generates; makes; gives birth to,√su 2,ati pr,3
pasāreti,pr,stretches out; straightens; extends,√sar 1,eti pr,14
passa 1.1,nt,(of the body) side; rib,,a nt,9
passa 2.1,imp,see!; look (at)!,√dis 1,ati pr,3
passati 1,pr,sees,√dis 1,ati pr,3
passati 2,pr,understands; gets,√dis 1,ati pr,3
passaddhi,fem,calm; tranquillity; tranquillization; peace; stillness; serenity,√sambh 1,i fem,8
passanta 1,prp,seeing,√dis 1,anta prp,10
passasati,pr,exhales; breathes out,√sas 1,ati pr,3
passasissati,fut,will exhale; will breathe out,√sas 1,ati pr,5
passāva,masc,urine,√su 2,a masc,2
passeyya 1,opt,could see; would see,√dis 1,ati pr,7
pavaḍḍhati 1,pr,increases; develops; grows,√vaḍḍh,ati pr,3
pavisati,pr,enters; goes (into),√vis 1,ati pr,3
pavuccati,pr,is called; is named; is said to be,√vac,ati pr,13
pahātabba,ptp,should be given up (by); should be abandoned (by),√hā 1,a ptp,14
pahīna,pp,abandoned; dispelled; eliminated; removed; given up,√hā 1,a pp,11
pahīyati 1.1,pr,is abandoned; is given up,√hā 1,ati pr,13
pahoti 2,pr,is able (to); is capable (of); is qualified (to),√hū,hoti pr,4
pācittiya 1,nt,(vinaya) offence requiring confession,,a nt,9
pāṭikaṅkha,ptp,to be expected (for); certain (for); can be anticipated,√kaṅkh 1,a ptp,11
pāṇa 3,masc,being; living being,√an,a masc,2
pātimokkha 2,masc,(vinaya) precepts for Buddhist monastics,√mokkh,a masc,3
pāturahosi,aor,appeared; manifested,,hosi aor,4
pāda 1,masc,foot,√pad,a masc,2
pāpa 3,nt,evil action (in); crime (in); sin (in); wrongdoing (in); misdeed (in),,a nt,9
pāpaka 1.1,adj,bad; wicked; evil; wrong; worthless; harmful,,aka adj,11
pāpuṇāti 1,pr,reaches; arrives (at); comes (to),√ap,āti pr,3
pāmojja,nt,joy; happiness; gladness,√mud,a nt,9
pāra 1.1,nt,far side; far shore; bank on the other side; epithet of Nibbāna,,a nt,9
pārājika 3,nt,(vinaya) offence involving defeat; transgression requiring expulsion,√ji 1,a nt,9
pāripūrī,fem,,√pūr,ī fem,8
pāsāda,masc,mansion; stately home; palace; building with pillars,√sad,a masc,2
piṇḍāya,masc,for alms; to collect alms food,√piṇḍ,a masc,9
pitar,masc,father,,ar2 masc,6
pipāsā,fem,thirst (for),√pā 1,ā fem,8
piya 1,adj,dear (to); beloved (by); loved (by),√pī,a adj,11
piya 2,adj,liked; pleasant; agreeable,√pī,a adj,11
pīti 1.1,fem,delight; heartfelt joy; pleasure; feeling of love,√pī,i fem,8
puggala,masc,person; individual,,a masc,2
pucchati,pr,asks; enquires; questions,√pucch,ati pr,3
pucchi,aor,asked; enquired; questioned,√pucch,i aor,4
puñña 1,nt,merit; good deed; spiritual wealth,√puṇ,a nt,9
puṭṭha 1.1,pp,asked; questioned,√pucch,a pp,11
putta 1,masc,son; child,,a masc,2
puthujjana,masc,common man; ordinary man; normal person; man in the street,,a masc,2
puna,ind,again; once more,,,13
punabbhava,masc,appearing again; renewed existence; rebirth; future life,,a masc,3
pubba 1.1,adj,before; previous; earlier; former,,a adj,11
pubbe 1,ind,before; previously; formerly; in the past,,,6
purato,ind,in front (of),,,8
purima 1,adj,earlier; past; former; previous,,a adj,11
purisa 1,masc,man; person,,a masc,2
pure 2,ind,formerly; previously; in the past,,,6
pūjeti 1,pr,worships; honours; respects,√pūj,eti pr,3
pharitvā 1,abs,having suffused; having pervaded; having filled,√phar,,8
phala 1.1,nt,fruit; nut; berry,√phal 2,a nt,9
phassa 1,masc,contact; sense impingement; raw experience; touch,√phus 1,a masc,2
phāsu 2,masc,ease (for); comfort (for),√phus 1,u masc,6
phuṭṭha 2,pp,afflicted (with); suffering (from),√phus 1,a pp,11
phusati 1,pr,touches; contacts; feels; experiences,√phus 1,ati pr,3
bandhati 1,pr,binds; ties up; imprisons; confines,√bandh,ati pr,3
bala 1,nt,strength; power; might,√bal,a nt,9
bala 2,nt,mental power; Dhamma strength,√bal,a nt,9
balavant 1,adj,strong; powerful,√bal,ant adj,6
bahiddhā 1,ind,externally; outwardly,√bah 1,,13
bahu,adj,many; much; lots (of); a lot (of); great; large,√bah 2,u adj,11
bārāṇasī 1,fem,name of a city; modern Varanasi,,ī fem,8
bāla 2,masc,fool; idiot; immature person,,a masc east,2
bāhā 1,fem,arm; forearm,√bah 2,ā fem,7
buddha 1,masc,Buddha; Awakened One,√budh,a masc,2
bojjhaṅga 1,masc,element of awakening; factor of enlightenment,,a masc,2
byatta,pp,experienced; learned; competent; trained,√añj 1,a pp,11
byākarissati,fut,will explain; will define; will describe,√kar,oti pr,5
byākāsi 1,aor,answered; replied,√kar,āsi aor,4
byādhi,masc,sickness; disease; illness,√dhā,i masc,4
byāpāda,masc,dislike; ill-will; hatred; hostility; enmity; malevolence,√pad,a masc,2
brahmacariya 1,nt,spiritual path; spiritual practice; holy life; celibacy,,a nt,9
brahmacārī 2,masc,celibate man; who abstains from sexual intercourse,,ī masc,5
brāhmaṇa 1,masc,Brahman; priest; man of the Brahman caste,√brah,a masc,2
brāhmaṇa 2,masc,arahant; awakened being; saint; paragon,√brah,a masc,2
bhagavant 1,masc,Sublime One; Blessed One; Fortunate One; Auspicious One; epithet of the Buddha,√bhaj 1,ant masc,6
bhajati 1.1,pr,associates (with); keeps company (with),√bhaj 2,ati pr,3
bhaṇati 1,pr,speaks; says; tells,√bhaṇ,ati pr,3
bhatta 1.1,nt,food; boiled rice,√bhaj 1,a nt,9
bhaya 3,nt,danger (of; from); peril (of; from),√bhī,a nt,9
bhayato,ind,,√bhī,,11
bhava 2,masc,being; becoming; existence,√bhū,a masc,2
bhava 3,masc,state of existence; form of becoming,√bhū,a masc,2
bhavati 1,pr,is; is being; becomes,√bhū,ati pr,3
bhavissati 1,fut,could be; should be,√bhū,issati fut,5
bhātar,masc,brother,,ar2 masc,6
bhāsati 1.1,pr,speaks (about); talks (about),√bhās 1,ati pr,3
bhāsita 1,nt,saying; speech; statement; utterance; talk; words,√bhās 1,a nt,9
bhāva 1,masc,state; condition; characteristic; nature,√bhū,a masc,2
bhāvanā 1,fem,developing; cultivating; meditating,√bhū,ā fem,14
bhāvita 1,pp,cultivated; developed,√bhū,a pp,14
bhāvetabba,ptp,should be cultivated; should be developed,√bhū,a ptp,14
bhāveti,pr,cultivates; develops,√bhū,eti pr,14
bhikkhu,masc,monk; monastic; mendicant; fully ordained monk,√bhikkh,u masc,6
bhikkhunī,fem,nun; fully ordained nun,√bhikkh,ī fem,8
bhuñjati 1,pr,eats; consumes,√bhuj 1,ati pr,4
bhūta 1,pp,existing; born; living,√bhū,a pp,11
bhūta 3,nt,being; living being; entity,√bhū,a nt,9
bheda 1,masc,death,√bhid,a masc,2
bheda 2,masc,(vinaya) schism; split; breakup,√bhid,a masc,2
bhesajja,nt,medicine; remedy; tonic; drug,,a nt,9
bhoga 1.1,masc,wealth; possessions; property; riches,√bhuj 1,a masc,2
bhogī 1.1,adj,enjoying; using; experiencing; partaking in,√bhuj 1,ī adj,5
bhojana 2,nt,eating; taking food,√bhuj 1,a nt,9
magga 1,masc,road; path; track; way,√magg,a masc,2
magga 2,masc,way; means; method,√magg,a masc,2
maccu,masc,death; Death,√mar,u masc,6
majjha 2,masc,middle,,a masc,2
majjhima 1,adj,middle; middling; medium; medium-sized; moderate,,a adj,11
maññati 1,pr,thinks; imagines; conceives; presumes; supposes,√man,ati pr,4
mattaññū,adj,knowing the correct measure (in); knowing the limit (in); moderate (in),,ū adj,6
mada 1,masc,excess; pleasure; indulgence,√mad,a masc,5
manas,masc,mind; mental faculty; intellect,√man,as masc,18
manasikāra,masc,attention; bringing-to-mind; observation; noticing; focussing,,a masc,2
manāpa 1,adj,pleasant; likeable; attractive; agreeable,,a adj,11
manussa,masc,human being; man; person,,a masc,2
mama 2,pron,my; mine; of me,,ahaṃ pron,5
mayaṃ 1,pron,we,,ahaṃ pron,5
mayā 1,pron,by me; with me,,ahaṃ pron,5
maraṇa,nt,death; dying,√mar,a nt,9
mallā,masc,name of the people of Malla; Mallans,,a masc pl,2
mahanta 1,adj,big; great; large; grand; vast; extensive,√mah 1,anta adj,11
maṃ 1,pron,me (object),,ahaṃ pron,5
maṃsa 1,nt,meat; flesh,,a nt,9
mā 1.1,ind,do not; may one not; don’t let,,,5
māṇava 1,masc,young man; young gentleman; young Brahman,,a masc,2
mātar,fem,mother,,mātar fem,8
mātāpitar,masc,mother and father; parents,,ar2 masc,6
māna 1.1,masc,pride; conceit; egotism; superiority; comparing oneself,√man,a masc,2
māneti,pr,honours; reveres; holds in high esteem; (comm) loves,√man,eti pr,14
māra,masc,death; Death; death personified,√mar,a masc,2
māsa 1.1,masc,month,√mā,a masc,2
māsa 2.1,masc,bean,,a masc,2
muccati 1.1,pr,is free (from); becomes free (from); is released (from),√muc,ati pr,13
muñcati 2,pr,gets angry (with),√muc,ati pr,4
muni 1,masc,monk; sage; seer; hermit; silent sage,√mun,i masc,4
mūla 1,nt,(of a tree) root; base; foot,√mūl,a nt,9
mūla 2,nt,source; origin; root,√mūl,a nt,9
me 2,pron,by me,,ahaṃ pron,5
me 3,pron,to me; for me,,ahaṃ pron,5
me 5,pron,my; mine,,ahaṃ pron,5
mettā,fem,goodwill (towards); friendliness (to); benevolence (for),√mitt,ā fem,7
methuna 1,adj,sexual,√mith,a adj,11
medhāvī,masc,intelligent man; wise man; who has good judgment,√medh 1,ī masc,5
moggallāna 1,masc,name of a monk; chief disciple; great disciple of the Buddha; foremost disciple in psychic power,,a masc,2
mogha,adj,useless; pointless; futile; ineffective; unprofitable; vain,√muh,a adj,11
moghapurisa,masc,fool; worthless man; useless person; stupid person,,a masc,2
moha 1,masc,illusion; delusion; hallucination,√muh,a masc,2
yato 2,ind,since; because; due to the fact that,,,8
yattha,ind,wherever; where; when; in which,,,8
yathā 1,ind,like; as; as per; according to; how; in whatever way,,,13
yadā,ind,when; whenever,,,6
yasassī 1,adj,famous; renowned; illustrious; celebrated,,ī adj,11
yācati 1,pr,asks (for); begs (for); requests,√yāc,ati pr,3
yāma 1,masc,watch (of the night); one eighth of the day; about three hours,√yam 1,a masc,2
yāva 1,ind,as long as; as far as; so much so; up to; until; from … to,,,9
yāvataka,adj,as much as; as long as; as big as; as far as,,a adj,11
yebhuyyena,ind,mostly; almost all; more or less; generally; largely; by and large; for the most part,,,13
yoniso,ind,properly; prudently; thoroughly; carefully; intelligently,√yu,,13
rakkhati 1,pr,protects; guards; watches over,√rakkh,ati pr,3
rajas 2,masc,dust; dirt,√raj 2,as masc,18
raṭṭha,nt,country; land; kingdom; realm,√rāj,a nt,9
ratana 1,nt,jewel; gem; gemstone,,a nt,9
rattaññū,adj,old; experienced; of long standing,,ū adj,6
rasa 1,masc,taste; flavour,√ras,a masc,2
rāga 1.1,masc,desire (for); passion (for); infatuation (with); lust (for),√raj 1,a masc,2
rāja 1,masc,king; ruler,√rāj,rāja masc,18
rājañña,masc,man of the ruling class; young noble,√rāj,a masc,2
rāhula,masc,name of an arahant monk; Buddha's son,,a masc,2
rukkha 1,masc,tree,,a masc,2
ruci,fem,liking; preference; choice; inclination; approval,√ruc,i fem,8
rūpa 1,nt,matter; material thing; materiality; experience of material world; physical objects of consciousness; first of the five aggregates,√rūp,a nt,9
rūpa 3,nt,(object of the eye) form; material form; shape; sight,√rūp,a nt,9
laddha 1,pp,obtained; gained; won; received,√labh,a pp,11
labhati 1,pr,gets; receives; obtains,√labh,ati pr,3
loka 1,masc,world; universe; cosmos,√lok,a masc,2
loka 2,masc,world; plane of existence,√lok,a masc,2
lokavidū,masc,who understands the world; who knows the world; epithet of the Buddha,,ū masc,6
loma 1,masc,body hair,,a masc,2
sakadāgāmī,adj,once-returner; who has attained the second stage of the path,,ī adj,5
sakuṇa,masc,bird,,a masc,2
sakka 3,masc,Sakyan; man of the Sakyan race,√sak,a masc,2
sakkaroti,pr,honours; esteems; respects,,oti pr,4
sakkā 1,ind,it is possible (to); one is able (to),√sak,,9
sakkoti,pr,is able (to),√sak,oti pr,3
sagga 1.1,adj,heavenly,√sar 4,a adj,11
saṅkhā 2,fem,definition; classification; concept; category,√khā,ā fem,7
saṅkhāra 1,masc,intention; volitional formation; choice; karmic activity,√kar,a masc,2
saṅkhāra 3,masc,mental formation; mental activity; thought processes; fourth of the five aggregates,√kar,a masc,2
saṅgaha 1,masc,support (of); maintenance (of); looking after,√gah,a masc,6
saṅgaha 3,masc,friendliness; collaboration; mutual assistance; good relationship,√gah,a masc,6
saṅgha 1,masc,community; monastic order; assembly of monks,√ghaṭ 2,a masc,2
saṅghāṭi 1,fem,outer robe; double robe; patchwork robe,√ghaṭ 2,i fem,8
saṅghādisesa 2,masc,offence requiring suspension,,a masc,2
sace,ind,if,,,13
sacca 1,adj,true; correct; accurate; honest; reliable,√as 1,a adj,11
sacca 2,nt,truth,√as 1,a nt,9
saccaṃ,ind,truly; really,√as 1,,13
sacchikiriyā,fem,personal experience (of); intimate experience (of); personal realization (of),,ā fem,7
saññā 1,fem,perception; conception; recognition; third of the five aggregates,√ñā,ā fem,7
saṇṭhāti,pr,remains (in); continues (in); persists (in); is established (in); stands firm (in),√ṭhā,āti pr,3
sata 1.1,pp,mindful; present; attentive,√sar 2,a pp,11
sata 2.1,card,one hundred (100),,a2 card,12
sati 1.2,fem,mindfulness; presence; recollection; awareness,√sar 2,i fem,8
satipaṭṭhāna 1,masc,attending mindfully; being present with mindfulness,,a masc,2
satimant 1,adj,mindful; fully present; attentive,√sar 2,ant adj,6
satta 1.1,card,seven (7),,a1 card,12
satta 2.1,masc,being; living being; creature,√as 1,a masc,2
satthar 1,masc,master; teacher,√sās,ar masc,6
sadā,ind,always; ever; all the time,,,6
saddhā 1,fem,faith (in); belief (in); trust (in),√dhā,ā fem,7
saddhā 2,fem,confidence (in); assurance (in); conviction (in),√dhā,ā fem,7
saddhiṃ,ind,together (with); with,,,5
santike 1,ind,to; in the presence (of); near (to); nearby; close (to); on the verge (of),,,13
santuṭṭha 1,pp,satisfied; pleased; content; happy with,√tus,a pp,11
santhata 1,nt,spread; bedspread; coverlet; counterpane,√thar,a nt,9
sandassetvā,abs,having instructed; having explained,√dis 1,,14
sandiṭṭhika,adj,directly visible; evident; real; perceivable; (comm) able to be seen by oneself,√dis 1,a adj,11
sabba 1,pron,all; every,,a pron,10
sabba 2,pron,everything; everyone; all,,a pron,10
sabbattha 1,ind,everywhere; every place,,,8
sabbadā,ind,always; at all times,,,6
sabbaso 1,ind,in every way; completely; altogether,,,13
sabbāvant,adj,entire; whole; complete,,ant adj,6
sabyañjana,adj,in letter; (or) well phrased,√añj 1,a adj,11
sabrahmacārī,masc,fellow monk; spiritual companion,,ī masc,5
samaṇa 1,masc,ascetic; renunciant; holy man; monk; recluse,√sam 2,a masc,2
samatikkama,masc,surpassing (of); overcoming (of); going beyond; transcendence,√kam 1,a masc,2
