Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	ID	Tags
carituṃ 1	inf		carati			trans	+acc	to live			√car 1 a (to move, walk)		√car + ituṃ	caritum	√car										MN 27	cūḷahatthipadopamasuttaṃ	na’y’idaṃ sukaraṃ agāraṃ ajjhāvasatā ek’anta-paripuṇṇaṃ ek’anta-parisuddhaṃ saṅkhalikhitaṃ brahmacariyaṃ <b>carituṃ</b>.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:carituṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=carituṃ 1&entry.1433863141=Anki"">Fix it here</a>."	16026	 Anupubba-sikkhā 
daṇḍa 1	masc							stick; truncheon; nightstick; club						daṇḍa											MN 51	kandarakasuttaṃ	nihita-<b>daṇḍo</b> nihita-sattho, lajjī day’āpanno sabbapāṇabhūtahit’ānukampī viharati.	Anupubba-sikkhā	The Gradual Training	Teachings	DHP 130	daṇḍavaggo	sabbe tasanti <b>daṇḍassa</b>, sabbesaṃ jīvitaṃ piyaṃ,<br/>attānaṃ upamaṃ katvā, na haneyya na ghātaye.				18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=daṇḍa 1&entry.1433863141=Anki"">Fix it here</a>."	17949	 Anupubba-sikkhā 
sattha 2	nt							weapon; knife; sword			√sas 1 a (to slaughter)		√sas + ta	śastra	√śas				AN 11.15	mettāsuttaṃ	amanussānaṃ piyo hoti, devatā rakkhanti, n’āssa aggi vā visaṃ vā <b>satthaṃ</b> vā kamati, tuvaṭaṃ cittaṃ samādhiyati				MN 51	kandarakasuttaṃ	nihita-daṇḍo nihita-<b>sattho</b>, lajjī day’āpanno sabbapāṇabhūtahit’ānukampī viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sattha 2&entry.1433863141=Anki"">Fix it here</a>."	55139	 Anupubba-sikkhā 
lajjī	adj		lajjati					who has conscience; conscientious; lit. who is ashamed			√lajj 1 a (to be ashamed)		√lajj + ī	lajjā	√laj √lajj										MN 51	kandarakasuttaṃ	nihita-daṇḍo nihita-sattho, <b>lajjī</b> day’āpanno sabbapāṇabhūtahit’ānukampī viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=lajjī&entry.1433863141=Anki"">Fix it here</a>."	31112	 Anupubba-sikkhā 
dayā	fem							kindness; mercy; pity			√day 1 a (to be kind, have pity)		√day + ā	dayā	√day										MN 51	kandarakasuttaṃ	nihita-daṇḍo nihita-sattho, lajjī <b>day’</b>āpanno sabbapāṇabhūtahit’ānukampī viharati.	Anupubba-sikkhā	The Gradual Training	Teachings	SNP 7	vasalasuttaṃ<br/>uragavaggo	ekajaṃ vā dvijaṃ vā’pi, yo’dha pāṇaṃ vihiṃsati, <br/>yassa pāṇe <b>dayā</b> n’atthi, taṃ jaññā vasalo iti.				18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dayā&entry.1433863141=Anki"">Fix it here</a>."	18389	 Anupubba-sikkhā 
dayāpanna	adj	comp						compassionate; sympathetic; full of kindness					dayā + āpanna	dayā + āpad											MN 51	kandarakasuttaṃ	nihita-daṇḍo nihita-sattho, lajjī <b>day’āpanno</b> sabbapāṇabhūtahit’ānukampī viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dayāpanna&entry.1433863141=Anki"">Fix it here</a>."	18404	 Anupubba-sikkhā 
āpanna 2	pp		āpajjati					possessed of; filled with; lit. arrived			√pad 3 ya (to go, step)		ā + √pad + na	āpanna	√pad				DN 14.11	mahāpadānasuttaṃ	kicchaṃ vat’āyaṃ loko <b>āpanno</b>, jāyati ca jīyati ca mīyati ca cavati ca upapajjati ca, atha ca pan’imassa dukkhassa nissaraṇaṃ nappajānāti jarāmaraṇassa				MN 51	kandarakasuttaṃ	nihita-daṇḍo nihita-sattho, lajjī day’<b>āpanno</b> sabbapāṇabhūtahit’ānukampī viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=āpanna 2&entry.1433863141=Anki"">Fix it here</a>."	8301	 Anupubba-sikkhā 
nihitasattha	adj	comp						non-violent; lit. put down the weapon					nihita + sattha	nihita + śastra					AN 10.176	cundasuttaṃ	idha cunda ekacco pāṇ'ātipātaṃ pahāya pāṇ'ātipātā paṭivirato hoti nihitadaṇḍo <b>nihitasattho</b> lajjī day'āpanno sabbapāṇabhūtahit'ānukampī viharati				MN 51	kandarakasuttaṃ	nihitadaṇḍo <b>nihitasattho</b>, lajjī day’āpanno sabbapāṇabhūtahit’ānukampī viharati.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nihitasattha&entry.1433863141=Anki"">Fix it here</a>."	37026	 Anupubba-sikkhā 
sakkā 1	ind	adv	sakkoti		impers		+inf	it is possible (to); one is able (to)			√sak 4 ṇo (to be able, powerful)		√sak + yā	śakya	√śak				DHP 196	buddhavaggo	te tādise pūjayato, nibbute akutobhaye,<br/>na <b>sakkā</b> puññaṃ saṅkhātuṃ, im'ettam'api kenaci.				AN 2.19	adhikaraṇa vaggo	no ce'daṃ, bhikkhave, <b>sakkā</b> abhavissa kusalaṃ bhāvetuṃ, n'āhaṃ evaṃ vadeyyaṃ, kusalaṃ, bhikkhave, bhāvethā'ti.				MN 107	gaṇakamoggallānasuttaṃ	<b>sakkā</b> nu kho, bho gotama, imasmim’pi dhammavinaye evam’eva anupubbasikkhā anupubbakiriyā anupubbapaṭipadā paññapetun’ti	Anupubba-sikkhā	The Gradual Training	Teachings	18n	55	[sound:sakkā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sakkā 1&entry.1433863141=Anki"">Fix it here</a>."	50278	  Anupubba-sikkhā
yena yeneva	idiom	adv + adv + ind						anywhere; lit. wherever wherever just					yena + yena + eva												MN 51	kandarakasuttaṃ	pakkhī sakuṇo <b>yena yen’eva</b> ḍeti, sa-patta-bhāro’va ḍeti. evam’eva kho bhikkhu santuṭṭho hoti kāya-parihārikena cīvarena kucchi-parihārikena piṇḍapātena.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yena yeneva&entry.1433863141=Anki"">Fix it here</a>."	69977	 Anupubba-sikkhā 
sa 3	pron	reflx	sa					one's own						sva					Thai		tam’mayaṃ bhagavantaṃ <b>sa</b>’dhammaṃ <b>sa</b>’saṅghaṃ	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	MN 51	kandarakasuttaṃ	pakkhī sakuṇo yena yen'eva ḍeti, <b>sa-</b>patta-bhāro’va ḍeti. evam’eva kho bhikkhu santuṭṭho hoti kāya-parihārikena cīvarena kucchi-parihārikena piṇḍapātena. 	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sa 3&entry.1433863141=Anki"">Fix it here</a>."	49145	Buddh'ādi-āmisa-pūjā Anupubba-sikkhā 
sapattabhāra	adj	comp						with the weight of the wings; carrying one's own wings					sa + patta + bhāra	sva + patra + bhāra											MN 51	kandarakasuttaṃ	pakkhī sakuṇo yena yen'eva ḍeti, <b>sapattabhāro</b>’va ḍeti. evam’eva kho bhikkhu santuṭṭho hoti kāya-parihārikena cīvarena kucchi-parihārikena piṇḍapātena. 	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sapattabhāra&entry.1433863141=Anki"">Fix it here</a>."	54331	 Anupubba-sikkhā 
patta 2	nt							wing						pattra											MN 51	kandarakasuttaṃ	pakkhī sakuṇo yena yen'eva ḍeti, sa-<b>patta</b>-bhāro’va ḍeti. evam’eva kho bhikkhu santuṭṭho hoti kāya-parihārikena cīvarena kucchi-parihārikena piṇḍapātena. 	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:patta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=patta 2&entry.1433863141=Anki"">Fix it here</a>."	45648	 Anupubba-sikkhā 
bhāra 1	masc		bharati					anything to carry; weight; load; burden			√bhar 1 a (to carry, support)		√bhar + *a	bhāra	√bhṛ				SN 22.22	bhārasuttaṃ	 “<b>bhārā</b> have pañcakkhandhā, <b>bhāra</b>-hāro ca puggalo. <b>bhār</b>’ādānaṃ dukhaṃ loke, <b>bhāra</b>-nikkhepanaṃ sukhaṃ. 	Bhārā	The Burdens	Verses	MN 51	kandarakasuttaṃ	pakkhī sakuṇo yena yen'eva ḍeti, sa-patta-<b>bhāro</b>’va ḍeti. evam’eva kho bhikkhu santuṭṭho hoti kāya-parihārikena cīvarena kucchi-parihārikena piṇḍapātena. 	Anupubba-sikkhā	The Gradual Training	Teachings	SN 7.9	sundarikasuttaṃ	māno hi te brāhmaṇa khāri<b>bhāro</b>, kodho dhūmo bhasmani mosavajjaṃ. <br/>jivhā sujā hadayaṃ jotiṭhānaṃ, attā sudanto purisassa joti.				18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhāra 1&entry.1433863141=Anki"">Fix it here</a>."	13962	Bhārā Anupubba-sikkhā 
cīvara	nt							robe; cloth; robe-cloth; lit. rags						cīvara			(VIN 1.4.1.1) cīvaraṃ nāma channaṃ cīvarānaṃ aññataraṃ cīvaraṃ, vikappan'upagaṃ pacchimaṃ.		MN 2.4	sabbāsavasuttaṃ	paṭisaṅkhā yoniso <b>cīvaraṃ</b> paṭisevāmi yāva’d’eva sītassa paṭighātāya uṇhassa paṭighātāya ḍaṃsa-makasa-vāt’ātapa-siriṃsapa-samphassānaṃ paṭighātāya yāva’d’eva hirikopīna-paṭicchādan’atthaṃ	Cattaro_parikkhāra	The Four Requisites	Reflections	MN 51	kandarakasuttaṃ	pakkhī sakuṇo yena yen'eva ḍeti, sa-patta-bhāro’va ḍeti. evam’eva kho bhikkhu santuṭṭho hoti kāya-parihārikena <b>cīvarena</b> kucchi-parihārikena piṇḍapātena. 	Anupubba-sikkhā	The Gradual Training	Teachings	VIN 1.4.1.2	udositasikkhāpadaṃ	aparikkhittaṃ hoti, yasmiṃ gabbhe <b>cīvaraṃ</b> nikkhittaṃ hoti tasmiṃ gabbhe vatthabbaṃ, hatthapāsā vā na vijahitabbaṃ.				18n	55	[sound:cīvara.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=cīvara&entry.1433863141=Anki"">Fix it here</a>."	17386	Cattaro_parikkhāra Anupubba-sikkhā 
vihiṃsūparati	fem	comp						preventing harm; stopping discomfort					vihiṃsā + uparati	vihiṃsā + uparati											MN 107	gaṇakamoggallānasuttaṃ	paṭisaṅkhā yoniso āhāraṃ āharissāma n'eva davāya na madāya na maṇḍanāya na vibhūsanāya yāva'd'eva imassa kāyassa ṭhitiyā yāpanāya <b>vihiṃs'ūparatiyā</b> brahmacariy'ānuggahāya	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vihiṃsūparati&entry.1433863141=Anki"">Fix it here</a>."	66707	 Anupubba-sikkhā 
nela	adj		na eḷa	neg				polite; gentle; inoffensive; lit. without fault					na + eḷa	anena			(ANa) nelā'ti elaṃ vuccati doso, n'āssa elan'ti nelā, niddosā'ti attho. “nelaṅgo setapacchādo”ti								MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā <b>n’elā</b> kaṇṇasukhā pemanīyā hadayaṅ’gamā porī bahujanakantā bahujanamanāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nela&entry.1433863141=Anki"">Fix it here</a>."	36174	 Anupubba-sikkhā 
kaṇṇa 1	nt							ear						karṇa					AN 7.61	pacalāyamānasuttaṃ	tato tvaṃ, moggallāna, ubho <b>kaṇṇa</b>-sotāni āviñcheyyāsi, pāṇinā gattāni anumajjeyyāsi.				MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā <b>kaṇṇa</b>-sukhā pemanīyā hadayaṅ’gamā porī bahujanakantā bahujanamanāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kaṇṇa 1&entry.1433863141=Anki"">Fix it here</a>."	27338	 Anupubba-sikkhā 
kaṇṇasukha	adj	comp						easy on the ear; pleasant to hear					kaṇṇa + sukha	karṇa + sukha			(ANa) kaṇṇasukhā'ti byañjanamadhuratāya kaṇṇānaṃ sukhā, sūcivijjhanaṃ viya kaṇṇasūlaṃ na janeti.								MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā <b>kaṇṇasukhā</b> pemanīyā hadayaṅ’gamā porī bahujanakantā bahujanamanāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kaṇṇasukha&entry.1433863141=Anki"">Fix it here</a>."	27371	 Anupubba-sikkhā 
pemanīya	adj	ptp	pema					amiable; kind; affectionate; lit. can be dear			√pī 5 nā (to love, please)		√pī > pe + *ma + anīya	premaṇīya	√prī		(ANa) atthamadhuratāya sakalasarīre kopaṃ ajanetvā pemaṃ janetī'ti pemanīyā.								MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā kaṇṇasukhā <b>pemanīyā</b> hadayaṅ’gamā porī bahujanakantā bahujanamanāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pemanīya&entry.1433863141=Anki"">Fix it here</a>."	46252	 Anupubba-sikkhā 
hadayaṅgama	adj	comp						heart warming; from the heart; touching the heart; lit. going to the heart					hadayaṃ + gama	hṛdayaṃgama			(ANa) hadayaṃ gacchati appaṭihaññamānā sukhena cittaṃ pavisatī'ti hadayaṅgamā.								MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā kaṇṇasukhā pemanīyā <b>hadayaṅ’gamā</b> porī bahujanakantā bahujanamanāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hadayaṅgama&entry.1433863141=Anki"">Fix it here</a>."	23792	 Anupubba-sikkhā 
porī	adj		pura					urbane; polite; polished; refined						paura			(ANa) guṇaparipuṇṇatāya pure bhavā'ti porī.								MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā kaṇṇasukhā pemanīyā hadayaṅ’gamā <b>porī</b> bahujanakantā bahujanamanāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=porī&entry.1433863141=Anki"">Fix it here</a>."	47180	 Anupubba-sikkhā 
bahujana	masc	comp						multitude; many people; mass of people					bahu + jana	bahujana											MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā kaṇṇasukhā pemanīyā hadayaṅ’gamā porī <b>bahujana</b>-kantā <b>bahujana</b>-manāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings	DN 16.21	mahāparinibbānasuttaṃ	yatha'y'idaṃ brahmacariyaṃ addhaniyaṃ assa ciraṭṭhitikaṃ, tadassa <b>bahujana-</b>hitāya <b>bahujana</b>-sukhāya lok’ānukampāya atthāya hitāya sukhāya devamanussānaṃ	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings	18n	55	[sound:bahujana.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bahujana&entry.1433863141=Anki"">Fix it here</a>."	13267	 Anupubba-sikkhā Bodhipakkhiya-dhammā
bahujanakanta	adj	comp						pleasing to the people					bahu + jana + kanta	bahujana + kānta			(MNa) evarūpī kathā bahuno janassa kantā hotī'ti bahujanakantā								MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā kaṇṇasukhā pemanīyā hadayaṅ’gamā porī <b>bahujanakantā</b> bahujanamanāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bahujanakanta&entry.1433863141=Anki"">Fix it here</a>."	13274	 Anupubba-sikkhā 
kanta 1	adj	pp	kāmeti					charming; pleasant; desirable			√kam 8 *e (to desire)		√kam + ta	kānta	√kam				AN 6.63	nibbedhikasuttaṃ	pañcime kāmaguṇā - cakkhuviññeyyā rūpā iṭṭhā <b>kantā</b> manāpā piyarūpā kām’ūpasaṃhitā rajanīyā, … saddā … gandhā … rasā … phoṭṭhabbā				MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā kaṇṇasukhā pemanīyā hadayaṅ’gamā porī bahujana-<b>kantā</b> bahujanamanāpā tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings	MN 137	saḷāyatanavibhaṅgasuttaṃ	 cakkhuviññeyyānaṃ rūpānaṃ iṭṭhānaṃ <b>kantānaṃ </b>manāpānaṃ manoramānaṃ lok’āmisapaṭisaṃyuttānaṃ paṭilābhaṃ vā paṭilābhato samanupassato				18n	55	[sound:kanta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kanta 1&entry.1433863141=Anki"">Fix it here</a>."	27388	 Anupubba-sikkhā 
bahujanamanāpa	adj	comp						charming to the people; pleasing to the masses					bahu + jana + manāpa	bahujana + manāpa (bsk)			(MNa) kantabhāven'eva bahuno janassa manāpā cittavuddhikarā'ti bahujanamanāpā								MN 51	kandarakasuttaṃ	pharusaṃ vācaṃ pahāya pharusāya vācāya paṭivirato hoti, yā sā vācā n’elā kaṇṇasukhā pemanīyā hadayaṅ’gamā porī bahujanakantā <b>bahujanamanāpā</b> tathārūpiṃ vācaṃ bhāsitā hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bahujanamanāpa&entry.1433863141=Anki"">Fix it here</a>."	13275	 Anupubba-sikkhā 
ito 1	ind	adv, abl sg	ima					from this (person); from this (thing)					ima + to	itaḥ					SNP 50	cūḷabyūhasuttaṃ<br/>aṭṭhakavaggo 12	aññaṃ <b>ito</b> y'ābhivadanti dhammaṃ, aparaddhā suddhim'akevalī te,<br/>evam'pi titthyā puthuso vadanti, sandiṭṭhirāgena hi te'bhirattā.				MN 51	kandarakasuttaṃ	pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, <b>ito</b> sutvā na amutra akkhātā imesaṃ bhedāya, amutra vā sutvā na imesaṃ akkhātā amūsaṃ bhedāya	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:ito.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ito 1&entry.1433863141=Anki"">Fix it here</a>."	25017	 Anupubba-sikkhā 
na 1	ind	neg						(negative particle); no; not											MN 74	dīghanakhasuttaṃ	n'eva tasmiṃ samaye dukkhaṃ vedanaṃ vedeti, <b>na</b> adukkham'asukhaṃ vedanaṃ vedeti				MN 51	kandarakasuttaṃ	pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā <b>na</b> amutra akkhātā imesaṃ bhedāya, amutra vā sutvā <b>na</b> imesaṃ akkhātā amūsaṃ bhedāya	Anupubba-sikkhā	The Gradual Training	Teachings	SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, <b>na</b> tumhākaṃ, taṃ pajahatha. taṃ vo pahīnaṃ hitāya sukhāya bhavissati.				18n	55	[sound:na.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=na 1&entry.1433863141=Anki"">Fix it here</a>."	34693	 Anupubba-sikkhā 
imesaṃ 2	pron	masc & nt gen pl	ima					of these; their					ima + esaṃ	eṣām					SNP 50	cūḷabyūhasuttaṃ<br/>aṭṭhakavaggo 12	evam'pi viggayha vivādayanti, bālo paro akusalo'ti c'āhu,<br/>sacco nu vādo katamo <b>imesaṃ</b>, sabb'eva h'īme kusalā vadānā.				MN 51	kandarakasuttaṃ	pisuṇaṃ vācaṃ pahāya pisuṇāya vācāya paṭivirato hoti, ito sutvā na amutra akkhātā <b>imesaṃ</b> bhedāya, amutra vā sutvā na imesaṃ akkhātā amūsaṃ bhedāya	Anupubba-sikkhā	The Gradual Training	Teachings	MN 52	aṭṭhakanāgarasuttaṃ	evam'eva kho ahaṃ, bhante, <b>imesaṃ</b> ekādasannaṃ amatadvārānaṃ ekam'ekena'pi amatadvārena sakkuṇissāmi attānaṃ sotthiṃ kātuṃ.				18n	55	[sound:imesaṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=imesaṃ 2&entry.1433863141=Anki"">Fix it here</a>."	24735	 Anupubba-sikkhā 
