ID	Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	Tags
54962	satisampajañña	nt	abstr, comp						clear present moment awareness; mindful attentiveness					sati + sampajañña	smṛti + samprajñāna					AN 10.61	avijjāsuttaṃ	indriya-saṃvaram’p’āhaṃ, bhikkhave, sāhāraṃ vadāmi, no anāhāraṃ. ko c’āhāro indriya-saṃvarassa? ‘<b>satisampajaññan</b>’ti’ssa vacanīyaṃ.				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, <b>satisampajaññena</b> samannāgato hohi, abhikkante paṭikkante sampajānakārī, ālokite vilokite sampajānakārī, samiñjite pasārite sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=satisampajañña&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
68936	vivitta	adj	pp	viviccati					separated; secluded; solitary; aloof			√vic 1 a (to separate)		vi + √vic + ta	vivikta	√vic				DHP 271	dhammaṭṭhavaggo	na sīlabbata-mattena, bāhusaccena vā pana.<br/>atha vā samādhi-lābhena, <b>vivitta</b>-sayanena vā.				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, <b>vivittaṃ</b> sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ susānaṃ vanapatthaṃ abbhokāsaṃ palālapuñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vivitta&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
7904	anuyutta 1	adj	pp	anuyuñjati					devoted (to); applied oneself (to); practised; doing; lit. yoked near			√yuj 2 ṃa (to join, yoke)		anu + √yuj + ta	anu + yukta	√yuj				TH 257	pārāpariyattheragāthā	“n’<b>ānuyuttā</b> tathā eke, muṇḍā saṅghāṭi-pārutā.<br/>sambhāvanaṃ-yev’icchanti, lābhasakkāra-mucchitā.				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, jāgariyaṃ <b>anuyutto</b> viharāhi, divasaṃ caṅkamena nisajjāya āvaraṇīyehi dhammehi cittaṃ parisodhehi	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anuyutta 1&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
19826	divasaṃ	ind	adv, masc acc sg	divasa					by day; during the day; for a day			√div 3 ya (to shine)		√div + asa + aṃ	divasa	√div				MN 152	indriyabhāvanāsuttaṃ	balavā puriso <b>divasaṃ</b>santatte ayokaṭāhe dve vā tīṇi vā udakaphusitāni nipāteyya. dandho, ānanda, udaka-phusitānaṃ nipāto				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, jāgariyaṃ anuyutto viharāhi, <b>divasaṃ</b> caṅkamena nisajjāya āvaraṇīyehi dhammehi cittaṃ parisodhehi	Anupubba-sikkhā	The Gradual Training	Teachings	SN 12.63	puttamaṃsūpamasuttaṃ	taṃ kiṃ maññatha api nu so puriso <b>divasaṃ</b> tīhi satti-satehi haññamāno tatonidānaṃ dukkhaṃ domanassaṃ paṭisaṃvediyethā”ti?				18n	55	[sound:divasaṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=divasaṃ&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
15905	caṅkama 1	masc		caṅkamati		intens			walking meditation; walking up and down (in meditation)			√kam 1 a (to go)	√kam + kam + a > caṅkama (intens)	caṅkama + a	caṅkrama	√kram				AN 7.61	pacalāyamānasuttaṃ	moggallāna, pacchā-pure-saññī <b>caṅkamaṃ</b> adhiṭṭhaheyyāsi antogatehi indriyehi a’bahigatena mānasena				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, jāgariyaṃ anuyutto viharāhi, divasaṃ <b>caṅkamena</b> nisajjāya āvaraṇīyehi dhammehi cittaṃ parisodhehi	Anupubba-sikkhā	The Gradual Training	Teachings	AN 5.29	caṅkamasuttaṃ	addhānakkhamo hoti, padhānakkhamo hoti, appābādho hoti, asitaṃ pītaṃ khāyitaṃ sāyitaṃ sammā pariṇāmaṃ gacchati, <b>caṅkam</b>'ādhigato samādhi ciraṭṭhitiko hoti.				18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=caṅkama 1&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
18684	dhamma 05	masc		dharati					state of mind; mental states			√dhar 1 a (to hold, carry, endure)		√dhar + ma	dharma	√dhṛ				DHP 002	yamakavaggo	mano-pubbaṅ’gamā <b>dhammā</b>, mano-seṭṭhā mano-mayā. <br/>manasā ce pasannena, bhāsati vā karoti vā. <br/>tato naṃ sukham’anveti, chāyā’va anapāyinī				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, jāgariyaṃ anuyutto viharāhi, divasaṃ caṅkamena nisajjāya āvaraṇīyehi <b>dhammehi</b> cittaṃ parisodhehi	Anupubba-sikkhā	The Gradual Training	Teachings	DN 22.18	mahāsatipaṭṭhānasuttaṃ	anuppannānaṃ kusalānaṃ <b>dhammānaṃ</b> uppādāya chandaṃ janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	18n	55	[sound:dhamma.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dhamma 05&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā Ariy’aṭṭhaṅgika-magga
43292	parisodheti	pr		parisujjhati		caus	trans	+acc	cleans; purifies			√sudh 3 *e (to be pure)	√sudh + *e > sodhe (caus)	pari + sodhe + ti	pariśudhyati	√śudh										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, jāgariyaṃ anuyutto viharāhi, divasaṃ caṅkamena nisajjāya āvaraṇīyehi dhammehi cittaṃ <b>parisodhehi</b>	Anupubba-sikkhā	The Gradual Training	Teachings	MN 107	gaṇakamoggallānasuttaṃ	so abhijjhaṃ loke pahāya vigat’ābhijjhena cetasā viharati, abhijjhāya cittaṃ <b>parisodheti</b>;	Anupubba-sikkhā	The Gradual Training	Teachings	18n	55	[sound:parisodheti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=parisodheti&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā Anupubba-sikkhā
535	abhikkanta 2	nt	act, pp	abhikkamati					going forward; going along			√kam 1 a (to go)		abhi + √kam + ta	abhikram	√kram										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, satisampajaññena samannāgato hohi, <b>abhikkante</b> paṭikkante sampajānakārī, ālokite vilokite sampajānakārī, samiñjite pasārite sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:abhikkanta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhikkanta 2&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
44919	paṭikkanta 2	nt	act, pp	paṭikkamati				+abl	returning; going back			√kam 1 a (to go)		pati + √kam + ta	pratikṛta	√kram										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, satisampajaññena samannāgato hohi, abhikkante <b>paṭikkante</b> sampajānakārī, ālokite vilokite sampajānakārī, samiñjite pasārite sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paṭikkanta 2&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
4466	ālokita 1	nt	act, pp	āloketi					looking ahead; looking forward			√lok 8 *e (to look)		ā + √lok + ita	ālokita	√lok										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, satisampajaññena samannāgato hohi, abhikkante paṭikkante sampajānakārī, <b>ālokite</b> vilokite sampajānakārī, samiñjite pasārite sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ālokita 1&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
67175	vilokita 1	nt	act, pp	viloketi					looking around			√lok 8 *e (to look)		vi + √lok + ita	vilokita	√lok										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, satisampajaññena samannāgato hohi, abhikkante paṭikkante sampajānakārī, ālokite <b>vilokite</b> sampajānakārī, samiñjite pasārite sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vilokita 1&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
51661	samiñjita 1	nt	act, pp	sammiñjati					bending back; folding back; flexing			√iñj 1 a (to shake, move)		saṃ + √iñj + ita	saṃṛṇj	√iṅg √ṛñj √ṛju										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, satisampajaññena samannāgato hohi, abhikkante paṭikkante sampajānakārī, ālokite vilokite sampajānakārī, <b>samiñjite</b> pasārite sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:samiñjita.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samiñjita 1&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
43884	pasārita 2	nt	act, pp	pasāreti		caus			stretching out; straightening; extending; lit. causing to go forward			√sar 1 *e (to go, flow)	√sar + *e > sāre (caus)	pa + sāre + ita	prasṛta	√sṛ										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, satisampajaññena samannāgato hohi, abhikkante paṭikkante sampajānakārī, ālokite vilokite sampajānakārī, samiñjite <b>pasārite</b> sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pasārita 2&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
23444	gocara 2	masc	comp						field of work; range of activity; suitable place; suitable alms resort; lit. pasture					go + cara	gocara					MNa 1.1.10	catusampajaññapabbavaṇṇanā	tattha, sātthaka-sampajaññaṃ, sappāya-sampajaññaṃ, <b>gocara</b>-sampajaññaṃ, asammoha-sampajaññaṃ'ti catubbidhaṃ sampajaññaṃ;				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, sīlavā hohi, pātimokkhasaṃvarasaṃvuto viharāhi ācāra-<b>gocara</b>-sampanno aṇumattesu vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesū’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:gocara.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=gocara 2&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
13799	bhajati 2	pr					trans	+acc	goes (to); resorts (to); retires (to); lit. associates (with)			√bhaj 1 a (to associate, keep company)	√bhaj + a > bhaja	bhaja + ti	bhajati	√bhaj				DHP 303	pakiṇṇakavaggo	saddho sīlena sampanno, yasobhogasamappito,<br/>yaṃ yaṃ padesaṃ <b>bhajati</b>, tattha tatth'eva pūjito.				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ <b>bhajāhi</b> araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ susānaṃ vanapatthaṃ abbhokāsaṃ palālapuñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:bhajati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhajati 2&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
39392	pabbata 2	masc							mountain; hill					pabba + ta	parvata					DHP 127	pāpavaggo	na antalikkhe na samuddamajjhe, na <b>pabbatānaṃ</b> vivaraṃ pavissa. <br/>na vijjatī so jagatippadeso, yattha-ṭṭhito mucceyya pāpakammā.				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ <b>pabbataṃ</b> kandaraṃ giriguhaṃ susānaṃ vanapatthaṃ abbhokāsaṃ palālapuñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pabbata 2&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
23402	giri	masc							mountain						giri					TH 261	mahākassapattheragāthā	anuddhato acapalo, nipako saṃvut’indriyo, <br/>sobhati paṃsukūlena, sīho’va <b>giri</b>-gabbhare.				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ <b>giri</b>-guhaṃ susānaṃ vanapatthaṃ abbhokāsaṃ palālapuñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=giri&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
23412	giriguhā	fem	comp						mountain cave						giri + guhā											MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ <b>giriguhaṃ</b> susānaṃ vanapatthaṃ abbhokāsaṃ palālapuñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=giriguhā&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
57888	susāna	nt							cemetery; charnel ground						śmaśāna											MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ <b>susānaṃ</b> vanapatthaṃ abbhokāsaṃ palālapuñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=susāna&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
64843	vanapattha	nt	comp						secluded place in the wood; a place far away in the forest					vana + pattha	vanaprastha											MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ susānaṃ <b>vanapatthaṃ</b> abbhokāsaṃ palālapuñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vanapattha&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
45729	pattha 1	masc		patiṭṭhāti					isolated place; plateau; plain			√ṭhā 1 a (to stand)		pa + √ṭhā + a	prastha	√sthā										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ susānaṃ vana-<b>patthaṃ</b> abbhokāsaṃ palālapuñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pattha 1&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
40802	palāla	nt							straw						palāla											MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ susānaṃ vanapatthaṃ abbhokāsaṃ <b>palāla</b>-puñjan’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=palāla&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
40804	palālapuñja	masc	comp						heap of straw					palāla + puñja	palāla + puñja											MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ susānaṃ vanapatthaṃ abbhokāsaṃ <b>palālapuñjan</b>’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=palālapuñja&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
47586	puñja	masc							heap; pile						puñja					MN 10.8	mahāsatipaṭṭhānasuttaṃ	puna caparaṃ bhikkhu seyyathā’pi passeyya sarīraṃ sivathikāya chaḍḍitaṃ aṭṭhikāni <b>puñja</b>-kitāni tero-vassikāni				MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ sen'āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ susānaṃ vanapatthaṃ abbhokāsaṃ palāla-<b>puñjan</b>’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=puñja&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
44558	pati 3	masc							lord; master			√pat 3 ya (to control, to command)		√pat + i	pati	√pat										MN 27	cūḷahatthipadopamasuttaṃ	gaha-<b>pati</b> vā gahapatiputto vā aññatarasmiṃ vā kule paccājāto.	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pati 3&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
22950	gava	masc	in comps	go					ox; cattle; cow					go + ava	gava					TH 263	mahāmoggallāna-thera-gāthā	“evam’etaṃ mahāvīra, yathā samaṇa bhāsasi. <br/>ettha c’eke visīdanti, paṅkamh’iva jara-<b>ggavo</b>.				MN 51	kandarakasuttaṃ	hatthi-<b>gav’</b>assa-vaḷava-paṭiggahaṇā paṭivirato hoti, khetta-vatthu-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings	AN 3.83	gadrabhasuttaṃ	tassa na tādiso vaṇṇo hoti seyyathā'pi <b>gunnaṃ</b>, na tādiso saro hoti seyyathā'pi <b>gunnaṃ</b>, na tādisaṃ padaṃ hoti seyyathā'pi <b>gunnaṃ.</b>				18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=gava&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
22964	gavassa	nt	comp						cattle and horses					gava + assa	gava + aśva					SNP 39	kāmasuttaṃ<br/>aṭṭhakavaggo 1	khettaṃ vatthuṃ hiraññaṃ vā, <b>gav'assaṃ</b> dāsaporisaṃ,<br/>thiyo bandhū puthu kāme, yo naro anugijjhati.				MN 51	kandarakasuttaṃ	hatthi-<b>gav’assa</b>-vaḷava-paṭiggahaṇā paṭivirato hoti, khetta-vatthu-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=gavassa&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
10506	assa 1	masc							horse						aśva					DHP 380	bhikkhuvaggo	attā hi attano nātho, (ko hi nātho paro siyā), attā hi attano gati. <br/>tasmā saṃyamam’attānaṃ, <b>assaṃ</b> bhadraṃ’va vāṇijo.				MN 51	kandarakasuttaṃ	hatthi-gav’<b>assa</b>-vaḷava-paṭiggahaṇā paṭivirato hoti, khetta-vatthu-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:assa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=assa 1&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
64706	vaḷavā	fem							mare						vaḍabā, vadavā, baḍavā, baḍabā											MN 51	kandarakasuttaṃ	hatthi-gav’assa-<b>vaḷava</b>-paṭiggahaṇā paṭivirato hoti, khetta-vatthu-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vaḷavā&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā 
29158	khetta 1	nt							field; land			√khi 1 a (to live, abide peacefully)		√khi > khe + *tta	kṣetra	√kṣi										MN 51	kandarakasuttaṃ	hatthi-gav’assa-vaḷava-paṭiggahaṇā paṭivirato hoti, <b>khetta</b>-vatthu-paṭiggahaṇā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings	SN 11.3	dhajaggasuttaṃ	yad'idaṃ cattāri purisayugāni aṭṭha purisapuggalā esa bhagavato sāvakasaṅgho, āhuneyyo pāhuneyyo dakkhiṇeyyo añjalikaraṇīyo anuttaraṃ puñña-<b>kkhettaṃ</b> lokassā’ti.	Buddha-dhamma-saṅgha-guṇā		Protective Recitations	18n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=khetta 1&entry.1433863141=Anki"">Fix it here</a>."	 Anupubba-sikkhā Buddha-dhamma-saṅgha-guṇā
